record_type,draw,population,comparison,log_loss_improvement,brier_improvement,top_two_change,top_one_change,realised_class_probability_change,prediction_entropy_reduction,effective_candidate_count_change,metric,real_increment,null_draws_exceeded,exceeds_at_least_0_of_5,exceeds_at_least_3_of_5,exceeds_at_least_4_of_5,exceeds_all_5
draw,1,late_no_open,T1_minus_T0,-0.0003395060853784715,-0.00014828485676898762,-0.002692827512601026,0.002850251343221699,0.0008211022706572368,0.0031533546160048553,-0.006637377900976293,,,,,,,
draw,1,late_no_open,T2_minus_T1,-0.0001425521292057752,-0.00013209189539648003,1.8577967588861988e-05,-0.0006512066533741478,-2.0937471617687997e-05,0.00011064570316032807,-0.00023251412281988237,,,,,,,
draw,2,pooled,T1_minus_T0,-0.0007586589842371039,-0.00044920020749317224,8.799865906827797e-05,0.001149104182962768,0.00014943061314431905,0.001076192257713049,-0.0022177719965119636,,,,,,,
draw,2,pooled,T2_minus_T1,-7.814436329878216e-05,-3.853823181609872e-05,-0.0003226617499164641,0.0001821323009033593,4.912336601858858e-05,0.00021046794011791992,-0.00043344457108540624,,,,,,,
draw,2,opening,T1_minus_T0,-0.0006381396059662592,-0.00035681551043487136,0.00015923566878983664,0.002874622862889864,0.0002627624021019903,0.0012357513442214918,-0.002490486899315414,,,,,,,
draw,2,opening,T2_minus_T1,-0.0001263398027273599,-8.19173836889564e-05,-0.0001592356687896146,-0.00031009051290642464,7.8806149784727e-05,0.000403303523257903,-0.0008121369031597325,,,,,,,
draw,2,later,T1_minus_T0,-0.0008791783625082816,-0.0005415849045516952,1.676164934627522e-05,-0.0005764144969642171,3.609882418642574e-05,0.0009166331712046061,-0.0019315077920420975,,,,,,,
draw,2,later,T2_minus_T1,-2.994892386998238e-05,4.840920056925491e-06,-0.0004860878310425365,0.0006743551147132543,1.9440582252783223e-05,1.7632356977825836e-05,-3.713713329522861e-05,,,,,,,
draw,2,late_no_open,T1_minus_T0,-0.0010172745148259166,-0.0006635961558213443,0.00019360197802997803,-0.0006140507181965349,-1.677339500316677e-05,0.0009379615112953266,-0.0019764673860733772,,,,,,,
draw,2,late_no_open,T2_minus_T1,-3.0261276518395164e-05,8.767934810693934e-06,-0.0006776069231052562,0.0005408891863919463,2.4711356921836014e-05,2.9150879316652833e-05,-6.139687579764797e-05,,,,,,,
draw,3,pooled,T1_minus_T0,-0.0007126889611897003,-0.0003414318899315205,-0.0006155250121056,-0.0005744699265335385,-1.1894915087906632e-05,0.0006769128275495584,-0.0013952321206289753,,,,,,,
