record_type,trajectory_group,permutation_draw,sum_absolute_standardised_coefficients,signed_standardised_coefficient_sum,log_loss_deterioration,brier_deterioration,auc_deterioration
permutation_draw,TENSION_TRAJECTORY,8.0,,,0.00010626576816052946,3.990523126534695e-05,0.00028189851670246124
permutation_draw,TENSION_TRAJECTORY,9.0,,,-0.000102388227330108,-6.028032068156053e-05,5.071970366832268e-05
permutation_draw,TENSION_TRAJECTORY,10.0,,,-8.069829347312485e-05,-3.05489041909357e-05,-0.0001449904031596283
permutation_draw,TENSION_TRAJECTORY,11.0,,,2.7725221124930144e-05,3.0293818746113255e-05,0.00012586759608357312
permutation_draw,TENSION_TRAJECTORY,12.0,,,-3.3765008228936466e-05,-4.510158537307518e-06,4.293019054635305e-05
permutation_draw,TENSION_TRAJECTORY,13.0,,,0.00015401081453492171,7.184047880243183e-05,0.0004878139653970992
permutation_draw,TENSION_TRAJECTORY,14.0,,,8.997476320193876e-05,4.348327347586389e-05,0.0003010532755075568
permutation_draw,TENSION_TRAJECTORY,15.0,,,0.00012585837831669,5.6657977439339424e-05,0.00037303941317301526
permutation_draw,TENSION_TRAJECTORY,16.0,,,8.739755269604466e-05,2.990858136267538e-05,0.00040065289108015545
permutation_draw,TENSION_TRAJECTORY,17.0,,,-2.8020688440544284e-05,-1.2794571806723498e-05,4.8625293621151755e-05
permutation_draw,TENSION_TRAJECTORY,18.0,,,0.00011780688211737722,4.001238046297262e-05,0.0003208179154615687
permutation_draw,TENSION_TRAJECTORY,19.0,,,8.14996206487395e-05,3.9234162914070225e-05,0.00032050566298635896
permutation_summary,TENSION_TRAJECTORY,,0.023433142669606992,0.023433142669606992,6.192437357031011e-05,2.6247661264906796e-05,0.00022739877708191636
coefficient_summary,SIGNED_PRESSURE_TRAJECTORY,,0.23195054580645866,-0.23195054580645866,,,
permutation_draw,SIGNED_PRESSURE_TRAJECTORY,0.0,,,0.00105659450724227,0.0003114905228670528,0.004091303161816717
permutation_draw,SIGNED_PRESSURE_TRAJECTORY,1.0,,,-0.00010315376095726414,-0.00024270438501938774,0.0023292251821360743
permutation_draw,SIGNED_PRESSURE_TRAJECTORY,2.0,,,0.0008282308345144429,0.00022376724089773203,0.003744831048467012
permutation_draw,SIGNED_PRESSURE_TRAJECTORY,3.0,,,0.0003674280946609487,6.131813001453157e-05,0.0022227543124981874
permutation_draw,SIGNED_PRESSURE_TRAJECTORY,4.0,,,0.0012359409304502078,0.0003882550565621201,0.0037310123988059107
permutation_draw,SIGNED_PRESSURE_TRAJECTORY,5.0,,,0.0008957280595280892,0.00019714808968859798,0.003017348088010352
permutation_draw,SIGNED_PRESSURE_TRAJECTORY,6.0,,,0.0006588970869267907,0.00017273856653071684,0.002677843352979936
permutation_draw,SIGNED_PRESSURE_TRAJECTORY,7.0,,,0.0005488132268611778,5.198339624401527e-05,0.0032280325777745977
permutation_draw,SIGNED_PRESSURE_TRAJECTORY,8.0,,,0.000296271730510167,4.420039756655725e-05,0.002568680919024291
permutation_draw,SIGNED_PRESSURE_TRAJECTORY,9.0,,,0.0017620774308909626,0.0006360594243680906,0.004654168585947804
permutation_draw,SIGNED_PRESSURE_TRAJECTORY,10.0,,,0.0013594690134501874,0.0003876304171688827,0.003859543858739989
permutation_draw,SIGNED_PRESSURE_TRAJECTORY,11.0,,,0.0008457170589449836,0.00016840548882859907,0.0027340750819221382
permutation_draw,SIGNED_PRESSURE_TRAJECTORY,12.0,,,0.0009288101463313936,0.00019996670485034063,0.0034837487445997795
permutation_draw,SIGNED_PRESSURE_TRAJECTORY,13.0,,,0.0008857242285351674,0.00022454531798446475,0.003463570108896308
permutation_draw,SIGNED_PRESSURE_TRAJECTORY,14.0,,,0.0010835488558132989,0.0003597072216384445,0.002707410110708186
permutation_draw,SIGNED_PRESSURE_TRAJECTORY,15.0,,,0.00013579031324062463,-7.9315253722817e-05,0.0019875044680174314
