year_month,lookback_bars,precursor_type,events,observed_prevalence,mean_null_prevalence,enrichment
2025-04,3,hidden_4_7_4,63,0,0.0019047619047619,-0.0019047619047619
2025-04,3,hidden_other_unregistered_family,63,0.349206349206349,0.172063492063492,0.177142857142857
2025-04,3,any_hidden_unregistered_completion,63,0.365079365079365,0.222222222222222,0.142857142857143
2025-04,3,active_prefix_immediately_before_completion,63,1,0.832380952380952,0.167619047619048
2025-04,3,active_prefix_any,63,1,0.918730158730159,0.0812698412698413
2025-04,3,matching_prefix_any,63,1,0.389206349206349,0.610793650793651
2025-04,3,other_prefix_any,63,1,0.918730158730159,0.0812698412698413
2025-04,3,any_regime_transition,63,0.841269841269841,0.50984126984127,0.331428571428572
2025-04,3,no_identified_structural_precursor,63,0,0.0520634920634921,-0.0520634920634921
2025-04,6,same_registered_identity,63,0.0952380952380952,0.0349206349206349,0.0603174603174603
2025-04,6,same_registered_broad_family_different_identity,63,0,0.0520634920634921,-0.0520634920634921
2025-04,6,different_registered_broad_family,63,0,0,0
2025-04,6,any_prior_registered_completion,63,0.0952380952380952,0.086984126984127,0.00825396825396824
2025-04,6,hidden_5_6_5,63,0.0793650793650794,0.0933333333333333,-0.013968253968254
2025-04,6,hidden_2_3_2,63,0.111111111111111,0.0450793650793651,0.066031746031746
2025-04,6,hidden_2_5_2,63,0,0.0158730158730159,-0.0158730158730159
2025-04,6,hidden_4_7_4,63,0,0.00380952380952381,-0.00380952380952381
2025-04,6,hidden_other_unregistered_family,63,0.396825396825397,0.255238095238095,0.141587301587302
2025-04,6,any_hidden_unregistered_completion,63,0.507936507936508,0.348571428571429,0.159365079365079
2025-04,6,active_prefix_immediately_before_completion,63,1,0.832380952380952,0.167619047619048
2025-04,6,active_prefix_any,63,1,0.979047619047619,0.0209523809523808
2025-04,6,matching_prefix_any,63,1,0.474920634920635,0.525079365079365
2025-04,6,other_prefix_any,63,1,0.979047619047619,0.0209523809523808
2025-04,6,any_regime_transition,63,0.920634920634921,0.715555555555556,0.205079365079365
2025-04,6,no_identified_structural_precursor,63,0,0.0146031746031746,-0.0146031746031746
2025-04,12,same_registered_identity,63,0.126984126984127,0.0349206349206349,0.0920634920634921
2025-04,12,same_registered_broad_family_different_identity,63,0.0158730158730159,0.0895238095238095,-0.0736507936507936
2025-04,12,different_registered_broad_family,63,0.0158730158730159,0.00126984126984127,0.0146031746031746
2025-04,12,any_prior_registered_completion,63,0.158730158730159,0.125714285714286,0.033015873015873
2025-04,12,hidden_5_6_5,63,0.206349206349206,0.166349206349206,0.04
2025-04,12,hidden_2_3_2,63,0.111111111111111,0.0628571428571429,0.0482539682539682
2025-04,12,hidden_2_5_2,63,0.0158730158730159,0.0285714285714286,-0.0126984126984127
2025-04,12,hidden_4_7_4,63,0.0317460317460317,0.00380952380952381,0.0279365079365079
2025-04,12,hidden_other_unregistered_family,63,0.476190476190476,0.318095238095238,0.158095238095238
2025-04,12,any_hidden_unregistered_completion,63,0.634920634920635,0.45015873015873,0.184761904761905
2025-04,12,active_prefix_immediately_before_completion,63,1,0.832380952380952,0.167619047619048
2025-04,12,active_prefix_any,63,1,1,0
2025-04,12,matching_prefix_any,63,1,0.584761904761905,0.415238095238095
