record_type,draw,lookback_bars,precursor_type,observed_prevalence,null_prevalence,mean_null_prevalence,observed_minus_null_enrichment,null_percentile,null_90th_percentile
draw,15,3,hidden_5_6_5,0.0164670658682635,0.0374251497005988,,-0.0209580838323353,,
draw,16,3,hidden_5_6_5,0.0164670658682635,0.031437125748503,,-0.0149700598802395,,
draw,17,3,hidden_5_6_5,0.0164670658682635,0.0344311377245509,,-0.0179640718562874,,
draw,18,3,hidden_5_6_5,0.0164670658682635,0.031437125748503,,-0.0149700598802395,,
draw,19,3,hidden_5_6_5,0.0164670658682635,0.0329341317365269,,-0.0164670658682635,,
draw,20,3,hidden_5_6_5,0.0164670658682635,0.0374251497005988,,-0.0209580838323353,,
draw,21,3,hidden_5_6_5,0.0164670658682635,0.029940119760479,,-0.0134730538922156,,
draw,22,3,hidden_5_6_5,0.0164670658682635,0.0389221556886228,,-0.0224550898203593,,
draw,23,3,hidden_5_6_5,0.0164670658682635,0.0419161676646707,,-0.0254491017964072,,
draw,24,3,hidden_5_6_5,0.0164670658682635,0.0508982035928144,,-0.0344311377245509,,
summary,-1,3,hidden_5_6_5,0.0164670658682635,,0.0373053892215569,-0.0208383233532934,0,0.0458083832335329
draw,0,3,hidden_2_3_2,0.0119760479041916,0.0464071856287425,,-0.0344311377245509,,
draw,1,3,hidden_2_3_2,0.0119760479041916,0.0344311377245509,,-0.0224550898203593,,
draw,2,3,hidden_2_3_2,0.0119760479041916,0.0344311377245509,,-0.0224550898203593,,
draw,3,3,hidden_2_3_2,0.0119760479041916,0.0374251497005988,,-0.0254491017964072,,
draw,4,3,hidden_2_3_2,0.0119760479041916,0.0374251497005988,,-0.0254491017964072,,
draw,5,3,hidden_2_3_2,0.0119760479041916,0.0523952095808383,,-0.0404191616766467,,
draw,6,3,hidden_2_3_2,0.0119760479041916,0.0359281437125748,,-0.0239520958083832,,
draw,7,3,hidden_2_3_2,0.0119760479041916,0.0404191616766467,,-0.0284431137724551,,
draw,8,3,hidden_2_3_2,0.0119760479041916,0.0269461077844311,,-0.0149700598802395,,
draw,9,3,hidden_2_3_2,0.0119760479041916,0.0494011976047904,,-0.0374251497005988,,
draw,10,3,hidden_2_3_2,0.0119760479041916,0.0404191616766467,,-0.0284431137724551,,
draw,11,3,hidden_2_3_2,0.0119760479041916,0.0434131736526946,,-0.031437125748503,,
draw,12,3,hidden_2_3_2,0.0119760479041916,0.0464071856287425,,-0.0344311377245509,,
draw,13,3,hidden_2_3_2,0.0119760479041916,0.031437125748503,,-0.0194610778443114,,
draw,14,3,hidden_2_3_2,0.0119760479041916,0.0389221556886228,,-0.0269461077844311,,
draw,15,3,hidden_2_3_2,0.0119760479041916,0.0419161676646707,,-0.029940119760479,,
draw,16,3,hidden_2_3_2,0.0119760479041916,0.0404191616766467,,-0.0284431137724551,,
draw,17,3,hidden_2_3_2,0.0119760479041916,0.031437125748503,,-0.0194610778443114,,
draw,18,3,hidden_2_3_2,0.0119760479041916,0.0508982035928144,,-0.0389221556886228,,
draw,19,3,hidden_2_3_2,0.0119760479041916,0.0389221556886228,,-0.0269461077844311,,
draw,20,3,hidden_2_3_2,0.0119760479041916,0.029940119760479,,-0.0179640718562874,,
draw,21,3,hidden_2_3_2,0.0119760479041916,0.0344311377245509,,-0.0224550898203593,,
draw,22,3,hidden_2_3_2,0.0119760479041916,0.0389221556886228,,-0.0269461077844311,,
draw,23,3,hidden_2_3_2,0.0119760479041916,0.0419161676646707,,-0.029940119760479,,
draw,24,3,hidden_2_3_2,0.0119760479041916,0.0374251497005988,,-0.0254491017964072,,
summary,-1,3,hidden_2_3_2,0.0119760479041916,,0.0392814371257485,-0.0273053892215569,0,0.0482035928143713
draw,0,3,hidden_2_5_2,0.00449101796407186,0.00449101796407186,,0,,
draw,1,3,hidden_2_5_2,0.00449101796407186,0.00748502994011976,,-0.0029940119760479,,
draw,2,3,hidden_2_5_2,0.00449101796407186,0.00748502994011976,,-0.0029940119760479,,
draw,3,3,hidden_2_5_2,0.00449101796407186,0.00748502994011976,,-0.0029940119760479,,
draw,4,3,hidden_2_5_2,0.00449101796407186,0.00449101796407186,,0,,
