period,lookback_bars,precursor_kind,precursor_identity,target_semantic_loop_id,occurrences,eligible_events,prevalence,sessions,stocks,months,maximum_stock_share,maximum_month_share,development_occurrences,development_matched_occurrences,development_matched_prevalence,development_mean_null_occurrences,development_mean_null_prevalence,development_enrichment,matched_assessment_occurrences,matched_assessment_prevalence,mean_null_occurrences,mean_null_prevalence,assessment_enrichment,same_direction_development_assessment,support_passed,p_value,q_value,q_le_0_10
assessment,12,hidden,unregistered_primitive_like__2-5-2,loop_p_0-2-0,3,812,0.00369458128078818,2,2,2,0.666666666666667,0.666666666666667,4,4,0.00364630811303555,4.28,0.00390154968094804,-0.000255241567912489,3,0.00449101796407186,1.36,0.00203592814371258,0.00245508982035928,False,False,0.230769230769231,,False
assessment,12,hidden,unregistered_primitive_like__2-5-2,loop_p_1-2-1,3,812,0.00369458128078818,3,2,3,0.666666666666667,0.333333333333333,12,12,0.0109389243391067,7.16,0.00652689152233364,0.00441203281677302,3,0.00449101796407186,2.2,0.00329341317365269,0.00119760479041916,True,False,0.423076923076923,,False
assessment,12,hidden,unregistered_primitive_like__2-5-2,loop_p_2-5-6-2,1,812,0.00123152709359606,1,1,1,1,1,1,1,0.000911577028258888,2.8,0.00255241567912489,-0.001640838650866,1,0.00149700598802395,1.24,0.0018562874251497,-0.000359281437125748,False,False,0.769230769230769,,False
assessment,12,hidden,unregistered_primitive_like__2-5-2,loop_p_2-6-2,1,812,0.00123152709359606,1,1,1,1,1,0,0,0,1.8,0.001640838650866,-0.001640838650866,1,0.00149700598802395,1.8,0.00269461077844311,-0.00119760479041916,False,False,0.923076923076923,,False
assessment,12,hidden,unregistered_primitive_like__2-5-2,loop_p_4-5-4,3,812,0.00369458128078818,3,3,3,0.333333333333333,0.333333333333333,2,2,0.00182315405651778,1.44,0.0013126709206928,0.000510483135824977,3,0.00449101796407186,2.32,0.00347305389221557,0.00101796407185629,True,False,0.461538461538462,,False
assessment,12,hidden,unregistered_primitive_like__4-7-4,loop_p_4-6-4,4,812,0.00492610837438424,2,2,2,0.75,0.75,3,3,0.00273473108477666,4.6,0.00419325432999088,-0.00145852324521422,2,0.0029940119760479,4.28,0.00640718562874252,-0.00341317365269461,False,False,0.961538461538462,,False
assessment,12,hidden,unregistered_primitive_like__4-7-4,loop_p_6-7-6,1,812,0.00123152709359606,1,1,1,1,1,3,3,0.00273473108477666,0.88,0.000802187784867821,0.00193254329990884,1,0.00149700598802395,0.72,0.00107784431137725,0.000419161676646707,True,False,0.5,,False
assessment,12,hidden,unregistered_primitive_like__4-7-4,loop_r2_4-6-4,1,812,0.00123152709359606,1,1,1,1,1,0,0,0,0,0,0,1,0.00149700598802395,0.44,0.000658682634730539,0.000838323353293413,False,False,0.423076923076923,,False
assessment,12,hidden,unregistered_primitive_like__5-6-5,loop_p_0-1-0,4,812,0.00492610837438424,2,3,2,0.5,0.75,2,2,0.00182315405651778,16.24,0.0148040109389243,-0.0129808568824066,4,0.00598802395209581,6.92,0.0103592814371257,-0.00437125748502994,False,False,0.884615384615385,,False
assessment,12,hidden,unregistered_primitive_like__5-6-5,loop_p_0-2-0,8,812,0.00985221674876847,6,6,4,0.375,0.5,16,15,0.0136736554238833,12.84,0.0117046490428441,0.0019690063810392,7,0.0104790419161677,6.64,0.00994011976047904,0.000538922155688622,True,False,0.538461538461538,,False
assessment,12,hidden,unregistered_primitive_like__5-6-5,loop_p_1-2-1,3,812,0.00369458128078818,3,3,3,0.333333333333333,0.333333333333333,13,13,0.0118505013673655,20.2,0.0184138559708295,-0.00656335460346399,3,0.00449101796407186,11.48,0.017185628742515,-0.0126946107784431,False,False,1,,False
assessment,12,hidden,unregistered_primitive_like__5-6-5,loop_p_2-4-2,4,812,0.00492610837438424,4,3,4,0.5,0.25,0,0,0,1.72,0.00156791248860529,-0.00156791248860529,3,0.00449101796407186,2.96,0.0044311377245509,5.98802395209578e-05,False,False,0.653846153846154,,False
assessment,12,hidden,unregistered_primitive_like__5-6-5,loop_p_2-5-6-2,25,812,0.0307881773399015,20,12,7,0.24,0.24,42,34,0.0309936189608022,19.4,0.0176845943482224,0.0133090246125798,19,0.0284431137724551,10.24,0.0153293413173653,0.0131137724550898,True,True,0.0384615384615385,0.0384615384615385,True
assessment,12,hidden,unregistered_primitive_like__5-6-5,loop_p_2-6-2,28,812,0.0344827586206897,17,14,7,0.214285714285714,0.25,34,26,0.0237010027347311,22.32,0.0203463992707384,0.00335460346399271,25,0.0374251497005988,13.8,0.0206586826347305,0.0167664670658683,True,True,0.0384615384615385,0.0384615384615385,True
assessment,12,hidden,unregistered_primitive_like__5-6-5,loop_p_2-6-5-2,4,812,0.00492610837438424,4,4,3,0.25,0.5,9,7,0.00638103919781222,5.48,0.00499544211485871,0.00138559708295351,4,0.00598802395209581,2.12,0.00317365269461078,0.00281437125748503,True,False,0.153846153846154,,False
assessment,12,hidden,unregistered_primitive_like__5-6-5,loop_p_4-5-4,19,812,0.0233990147783251,12,8,5,0.315789473684211,0.315789473684211,17,17,0.0154968094804011,15.84,0.0144393801276208,0.00105742935278031,19,0.0284431137724551,15.6,0.0233532934131737,0.00508982035928144,True,False,0.153846153846154,,False
assessment,12,hidden,unregistered_primitive_like__5-6-5,loop_p_4-6-4,8,812,0.00985221674876847,7,6,5,0.25,0.5,8,8,0.0072926162260711,15.32,0.0139653600729262,-0.00667274384685506,7,0.0104790419161677,19.6,0.0293413173652695,-0.0188622754491018,False,False,1,,False
assessment,12,hidden,unregistered_primitive_like__5-6-5,loop_p_6-7-6,1,812,0.00123152709359606,1,1,1,1,1,3,2,0.00182315405651778,2.48,0.00226071103008204,-0.000437556973564266,1,0.00149700598802395,2.08,0.00311377245508982,-0.00161676646706587,False,False,0.846153846153846,,False
assessment,12,hidden,unregistered_primitive_like__5-6-5,loop_r2_4-5-4,4,812,0.00492610837438424,2,2,2,0.75,0.75,1,1,0.000911577028258888,0.24,0.000218778486782133,0.000692798541476755,4,0.00598802395209581,1.08,0.00161676646706587,0.00437125748502994,True,False,0.0384615384615385,,False
assessment,12,registered,loop_p_0-1-0,loop_p_0-1-0,26,812,0.0320197044334975,15,10,7,0.307692307692308,0.5,82,74,0.0674567000911577,22,0.0200546946216955,0.0474020054694622,25,0.0374251497005988,5.72,0.00856287425149701,0.0288622754491018,True,True,0.0384615384615385,0.0384615384615385,True
assessment,12,registered,loop_p_0-1-0,loop_p_0-2-0,3,812,0.00369458128078818,2,2,1,0.666666666666667,1,6,6,0.00546946216955333,9.36,0.00853236098450319,-0.00306289881494986,3,0.00449101796407186,2.6,0.00389221556886228,0.000598802395209581,False,False,0.538461538461538,,False
assessment,12,registered,loop_p_0-1-0,loop_p_1-2-1,4,812,0.00492610837438424,3,2,3,0.75,0.5,9,6,0.00546946216955333,7.96,0.00725615314494075,-0.00178669097538742,4,0.00598802395209581,1.96,0.00293413173652695,0.00305389221556886,False,False,0.115384615384615,,False
assessment,12,registered,loop_p_0-1-0,loop_r2_0-1-0,7,812,0.00862068965517241,4,4,2,0.428571428571429,0.714285714285714,26,26,0.0237010027347311,4.12,0.00375569735642662,0.0199453053783045,7,0.0104790419161677,0.48,0.000718562874251497,0.00976047904191617,True,False,0.0384615384615385,,False
assessment,12,registered,loop_p_0-2-0,loop_p_0-1-0,2,812,0.00246305418719212,1,1,1,1,1,13,13,0.0118505013673655,13.2,0.0120328167730173,-0.000182315405651777,2,0.0029940119760479,2.52,0.00377245508982036,-0.000778443113772455,False,False,0.615384615384615,,False
assessment,12,registered,loop_p_0-2-0,loop_p_0-2-0,14,812,0.0172413793103448,10,5,6,0.5,0.357142857142857,42,38,0.0346399270738377,10.08,0.00918869644484959,0.0254512306289882,14,0.0209580838323353,2.92,0.00437125748502994,0.0165868263473054,True,False,0.0384615384615385,,False
assessment,12,registered,loop_p_0-2-0,loop_p_1-2-1,1,812,0.00123152709359606,1,1,1,1,1,5,5,0.00455788514129444,7.24,0.00659981768459435,-0.00204193254329991,1,0.00149700598802395,2.32,0.00347305389221557,-0.00197604790419162,False,False,0.884615384615385,,False
assessment,12,registered,loop_p_0-2-0,loop_p_2-6-2,1,812,0.00123152709359606,1,1,1,1,1,0,0,0,0.68,0.000619872379216044,-0.000619872379216044,1,0.00149700598802395,0.2,0.00029940119760479,0.00119760479041916,False,False,0.230769230769231,,False
assessment,12,registered,loop_p_0-4-0,loop_p_0-4-0,2,812,0.00246305418719212,2,2,2,0.5,0.5,0,0,0,0.04,3.64630811303555e-05,-3.64630811303555e-05,2,0.0029940119760479,0.32,0.000479041916167665,0.00251497005988024,False,False,0.115384615384615,,False
assessment,12,registered,loop_p_1-2-1,loop_p_0-1-0,5,812,0.0061576354679803,5,4,3,0.4,0.6,19,18,0.01640838650866,13.36,0.0121786690975387,0.00422971741112124,5,0.00748502994011976,1.92,0.00287425149700599,0.00461077844311377,True,False,0.0769230769230769,,False
assessment,12,registered,loop_p_1-2-1,loop_p_0-2-0,2,812,0.00246305418719212,2,2,2,0.5,0.5,9,9,0.00820419325432999,7.64,0.0069644484958979,0.00123974475843209,2,0.0029940119760479,2,0.0029940119760479,0,False,False,0.615384615384615,,False
assessment,12,registered,loop_p_1-2-1,loop_p_1-2-1,27,812,0.0332512315270936,21,13,7,0.222222222222222,0.444444444444444,63,61,0.0556061987237922,11.6,0.0105742935278031,0.0450319051959891,26,0.0389221556886228,3.44,0.00514970059880239,0.0337724550898204,True,True,0.0384615384615385,0.0384615384615385,True
assessment,12,registered,loop_p_1-2-1,loop_r2_1-2-1,2,812,0.00246305418719212,2,2,1,0.5,1,16,16,0.0145852324521422,0.8,0.00072926162260711,0.0138559708295351,2,0.0029940119760479,0.08,0.000119760479041916,0.00287425149700599,True,False,0.0384615384615385,,False
assessment,12,registered,loop_p_2-4-2,loop_p_2-4-2,4,812,0.00492610837438424,3,3,2,0.5,0.75,2,2,0.00182315405651778,0.16,0.000145852324521422,0.00167730173199635,4,0.00598802395209581,0.48,0.000718562874251497,0.00526946107784431,True,False,0.0384615384615385,,False
assessment,12,registered,loop_p_2-4-2,loop_r2_2-4-2,1,812,0.00123152709359606,1,1,1,1,1,0,0,0,0,0,0,1,0.00149700598802395,0,0,0.00149700598802395,False,False,0.0384615384615385,,False
assessment,12,registered,loop_p_2-5-6-2,loop_p_0-1-0,1,812,0.00123152709359606,1,1,1,1,1,0,0,0,1.44,0.0013126709206928,-0.0013126709206928,1,0.00149700598802395,1.88,0.00281437125748503,-0.00131736526946108,False,False,0.846153846153846,,False
assessment,12,registered,loop_p_2-5-6-2,loop_p_0-2-0,1,812,0.00123152709359606,1,1,1,1,1,1,1,0.000911577028258888,1.6,0.00145852324521422,-0.000546946216955333,1,0.00149700598802395,0.92,0.00137724550898204,0.000119760479041916,False,False,0.576923076923077,,False
assessment,12,registered,loop_p_2-5-6-2,loop_p_1-2-1,1,812,0.00123152709359606,1,1,1,1,1,1,1,0.000911577028258888,1.2,0.00109389243391067,-0.000182315405651778,1,0.00149700598802395,1.48,0.00221556886227545,-0.000718562874251497,False,False,0.730769230769231,,False
assessment,12,registered,loop_p_2-5-6-2,loop_p_2-5-6-2,4,812,0.00492610837438424,4,4,3,0.25,0.5,7,5,0.00455788514129444,3.2,0.00291704649042844,0.001640838650866,3,0.00449101796407186,1.48,0.00221556886227545,0.00227544910179641,True,False,0.230769230769231,,False
assessment,12,registered,loop_p_2-5-6-2,loop_p_2-6-2,1,812,0.00123152709359606,1,1,1,1,1,0,0,0,1.48,0.00134913400182315,-0.00134913400182315,1,0.00149700598802395,0.8,0.00119760479041916,0.000299401197604791,False,False,0.653846153846154,,False
assessment,12,registered,loop_p_2-6-2,loop_p_0-2-0,1,812,0.00123152709359606,1,1,1,1,1,4,2,0.00182315405651778,3.08,0.00280765724703737,-0.000984503190519599,0,0,0.68,0.00101796407185629,-0.00101796407185629,False,False,1,,False
assessment,12,registered,loop_p_2-6-2,loop_p_1-2-1,1,812,0.00123152709359606,1,1,1,1,1,2,2,0.00182315405651778,3.88,0.00353691886964448,-0.00171376481312671,1,0.00149700598802395,2.12,0.00317365269461078,-0.00167664670658683,False,False,0.961538461538462,,False
assessment,12,registered,loop_p_2-6-2,loop_p_2-6-2,25,812,0.0307881773399015,17,13,7,0.2,0.32,37,24,0.0218778486782133,4.52,0.00412032816773017,0.0177575205104831,21,0.031437125748503,2.24,0.00335329341317365,0.0280838323353293,True,True,0.0384615384615385,0.0384615384615385,True
assessment,12,registered,loop_p_2-6-2,loop_p_2-6-5-2,2,812,0.00246305418719212,2,2,2,0.5,0.5,8,7,0.00638103919781222,0.88,0.000802187784867821,0.00557885141294439,2,0.0029940119760479,0.32,0.000479041916167665,0.00251497005988024,True,False,0.0384615384615385,,False
assessment,12,registered,loop_p_2-6-5-2,loop_p_2-6-2,3,812,0.00369458128078818,2,2,2,0.666666666666667,0.666666666666667,1,1,0.000911577028258888,0.44,0.000401093892433911,0.000510483135824977,1,0.00149700598802395,0.24,0.000359281437125748,0.0011377245508982,True,False,0.269230769230769,,False
assessment,12,registered,loop_p_2-6-5-2,loop_p_2-6-5-2,4,812,0.00492610837438424,4,4,4,0.25,0.25,5,5,0.00455788514129444,0.92,0.000838650865998177,0.00371923427529626,4,0.00598802395209581,0.28,0.000419161676646707,0.0055688622754491,True,False,0.0384615384615385,,False
assessment,12,registered,loop_p_4-5-4,loop_p_4-5-4,23,812,0.0283251231527094,15,11,6,0.260869565217391,0.347826086956522,19,18,0.01640838650866,2.84,0.00258887876025524,0.0138195077484047,23,0.0344311377245509,2.56,0.00383233532934132,0.0305988023952096,True,False,0.0384615384615385,,False
assessment,12,registered,loop_p_4-5-4,loop_p_4-6-4,2,812,0.00246305418719212,1,1,1,1,1,2,1,0.000911577028258888,1.2,0.00109389243391067,-0.000182315405651778,2,0.0029940119760479,2.08,0.00311377245508982,-0.000119760479041916,False,False,0.769230769230769,,False
assessment,12,registered,loop_p_4-5-4,loop_r2_4-5-4,7,812,0.00862068965517241,3,3,2,0.428571428571429,0.571428571428571,2,2,0.00182315405651778,0,0,0.00182315405651778,7,0.0104790419161677,0.24,0.000359281437125748,0.0101197604790419,True,False,0.0384615384615385,,False
assessment,12,registered,loop_p_4-6-4,loop_p_4-5-4,1,812,0.00123152709359606,1,1,1,1,1,3,3,0.00273473108477666,1.24,0.00113035551504102,0.00160437556973564,1,0.00149700598802395,1.4,0.00209580838323353,-0.000598802395209581,False,False,0.769230769230769,,False
assessment,12,registered,loop_p_4-6-4,loop_p_4-6-4,56,812,0.0689655172413793,30,16,8,0.125,0.285714285714286,35,32,0.0291704649042844,4.48,0.00408386508659982,0.0250865998176846,53,0.0793413173652695,6.16,0.00922155688622755,0.0701197604790419,True,True,0.0384615384615385,0.0384615384615385,True
assessment,12,registered,loop_p_4-6-4,loop_r2_4-6-4,13,812,0.0160098522167488,10,10,7,0.153846153846154,0.538461538461538,6,6,0.00546946216955333,0.36,0.0003281677301732,0.00514129443938013,13,0.0194610778443114,0.56,0.000838323353293413,0.018622754491018,True,False,0.0384615384615385,,False
assessment,12,registered,loop_p_6-7-6,loop_p_4-6-4,2,812,0.00246305418719212,1,1,1,1,1,5,5,0.00455788514129444,1.68,0.00153144940747493,0.00302643573381951,1,0.00149700598802395,1,0.00149700598802395,0,False,False,0.615384615384615,,False
assessment,12,registered,loop_p_6-7-6,loop_p_6-7-6,12,812,0.0147783251231527,8,8,5,0.333333333333333,0.416666666666667,17,7,0.00638103919781222,0.68,0.000619872379216044,0.00576116681859617,8,0.0119760479041916,0.72,0.00107784431137725,0.0108982035928144,True,False,0.0384615384615385,,False
assessment,12,registered,loop_r2_0-1-0,loop_p_0-1-0,1,812,0.00123152709359606,1,1,1,1,1,9,9,0.00820419325432999,2.6,0.00237010027347311,0.00583409298085688,1,0.00149700598802395,0.16,0.000239520958083832,0.00125748502994012,True,False,0.153846153846154,,False
assessment,12,registered,loop_r2_0-1-0,loop_r2_0-1-0,1,812,0.00123152709359606,1,1,1,1,1,9,9,0.00820419325432999,0.8,0.00072926162260711,0.00747493163172288,1,0.00149700598802395,0.04,5.98802395209581e-05,0.00143712574850299,True,False,0.0769230769230769,,False
assessment,12,registered,loop_r2_4-5-4,loop_p_4-5-4,4,812,0.00492610837438424,3,3,2,0.5,0.5,0,0,0,0.08,7.2926162260711e-05,-7.2926162260711e-05,4,0.00598802395209581,0.24,0.000359281437125748,0.00562874251497006,False,False,0.0384615384615385,,False
assessment,12,registered,loop_r2_4-5-4,loop_r2_4-5-4,4,812,0.00492610837438424,3,3,2,0.5,0.5,0,0,0,0,0,0,4,0.00598802395209581,0.24,0.000359281437125748,0.00562874251497006,False,False,0.0384615384615385,,False
assessment,12,registered,loop_r2_4-6-4,loop_p_4-5-4,1,812,0.00123152709359606,1,1,1,1,1,0,0,0,0,0,0,1,0.00149700598802395,0.16,0.000239520958083832,0.00125748502994012,False,False,0.192307692307692,,False
