record_type,draw,metric,value,lower_90,upper_90,lower_95,upper_95
draw,133,A2_minus_A1_log_loss_improvement,-0.00448248732795,,,,
draw,134,A2_minus_A1_log_loss_improvement,0.0114274441062,,,,
draw,135,A2_minus_A1_log_loss_improvement,-0.005248668261,,,,
draw,136,A2_minus_A1_log_loss_improvement,-0.00241435589265,,,,
draw,137,A2_minus_A1_log_loss_improvement,0.0070095650168,,,,
draw,138,A2_minus_A1_log_loss_improvement,0.00622528925196,,,,
draw,139,A2_minus_A1_log_loss_improvement,0.00560850334533,,,,
draw,140,A2_minus_A1_log_loss_improvement,-0.00554852480146,,,,
draw,141,A2_minus_A1_log_loss_improvement,0.00745240775516,,,,
draw,142,A2_minus_A1_log_loss_improvement,0.00644910355937,,,,
draw,143,A2_minus_A1_log_loss_improvement,0.00362519748038,,,,
draw,144,A2_minus_A1_log_loss_improvement,0.014640668003,,,,
draw,145,A2_minus_A1_log_loss_improvement,0.0149448067438,,,,
draw,146,A2_minus_A1_log_loss_improvement,-0.00257478165171,,,,
draw,147,A2_minus_A1_log_loss_improvement,0.000909307439351,,,,
draw,148,A2_minus_A1_log_loss_improvement,0.00792249764768,,,,
draw,149,A2_minus_A1_log_loss_improvement,0.00786178154464,,,,
draw,150,A2_minus_A1_log_loss_improvement,0.000324798490676,,,,
draw,151,A2_minus_A1_log_loss_improvement,-0.000499382018548,,,,
draw,152,A2_minus_A1_log_loss_improvement,0.0235172358322,,,,
draw,153,A2_minus_A1_log_loss_improvement,-0.00528259509827,,,,
draw,154,A2_minus_A1_log_loss_improvement,-0.00361195558058,,,,
draw,155,A2_minus_A1_log_loss_improvement,0.00178478035195,,,,
draw,156,A2_minus_A1_log_loss_improvement,0.00165091038509,,,,
draw,157,A2_minus_A1_log_loss_improvement,0.0100637982231,,,,
draw,158,A2_minus_A1_log_loss_improvement,0.000780261765495,,,,
draw,159,A2_minus_A1_log_loss_improvement,0.00474800635657,,,,
draw,160,A2_minus_A1_log_loss_improvement,0.00566017042984,,,,
draw,161,A2_minus_A1_log_loss_improvement,0.00289883440589,,,,
draw,162,A2_minus_A1_log_loss_improvement,0.00680690004506,,,,
draw,163,A2_minus_A1_log_loss_improvement,0.0092974026709,,,,
