detector,period,deleted_symbol,rows,target_first_precision,precision_lift,dynamic_mean_net_bps
H3_two_bar_reversal_confirmation_long,2025,AAOI,1217,0.45850451930977815,-0.020542317173377157,-15.386513151998095
H3_two_bar_reversal_confirmation_long,2025,APLD,1223,0.46116107931316436,-0.012264922322158627,-14.92582627320193
H3_two_bar_reversal_confirmation_long,2025,ASTS,1221,0.4594594594594595,-0.013923013923013924,-15.076564652284759
H3_two_bar_reversal_confirmation_long,2025,CIFR,1223,0.4578904333605887,-0.017988552739165987,-15.378921052448788
H3_two_bar_reversal_confirmation_long,2025,HIMS,1221,0.45536445536445536,-0.019656019656019656,-16.00993058159489
H3_two_bar_reversal_confirmation_long,2025,IONQ,1223,0.46116107931316436,-0.017170891251022075,-14.162024547660796
H3_two_bar_reversal_confirmation_long,2025,IREN,1213,0.4600164880461665,-0.01236603462489695,-15.119479336644837
H3_two_bar_reversal_confirmation_long,2025,MARA,1220,0.45491803278688525,-0.01639344262295082,-15.582875321828128
H3_two_bar_reversal_confirmation_long,2025,MP,1210,0.46033057851239667,-0.01652892561983471,-15.03639360492493
H3_two_bar_reversal_confirmation_long,2025,MRNA,1226,0.4567699836867863,-0.021207177814029365,-15.750728040886107
H3_two_bar_reversal_confirmation_long,2025,MSTR,1222,0.45499181669394434,-0.02536824877250409,-15.787275488227573
H3_two_bar_reversal_confirmation_long,2025,NVTS,1211,0.4649050371593724,-0.005780346820809248,-13.930245105609757
H3_two_bar_reversal_confirmation_long,2025,QBTS,1230,0.46016260162601624,-0.01788617886178862,-14.119641369440217
H3_two_bar_reversal_confirmation_long,2025,RGTI,1207,0.4623032311516156,-0.014913007456503728,-14.84703789154355
H3_two_bar_reversal_confirmation_long,2025,RIOT,1217,0.4527526705012325,-0.0238290879211175,-15.58257303255276
H3_two_bar_reversal_confirmation_long,2025,RIVN,1218,0.45894909688013136,-0.015599343185550082,-15.381519925592585
H3_two_bar_reversal_confirmation_long,2025,SMCI,1220,0.45819672131147543,-0.013934426229508197,-14.976537906922994
H3_two_bar_reversal_confirmation_long,2025,SOFI,1219,0.4593929450369155,-0.008203445447087777,-15.079783326198356
H3_two_bar_reversal_confirmation_long,2025,WULF,1211,0.4607762180016515,-0.011560693641618497,-14.170841195640012
H3_two_bar_reversal_confirmation_long,2026,AAOI,547,0.44789762340036565,-0.06581352833638025,-16.80458288351987
H3_two_bar_reversal_confirmation_long,2026,APLD,543,0.4530386740331492,-0.04788213627992634,-14.260985824725447
H3_two_bar_reversal_confirmation_long,2026,ASTS,550,0.4527272727272727,-0.04909090909090909,-14.363140871439569
H3_two_bar_reversal_confirmation_long,2026,CIFR,542,0.45387453874538747,-0.05719557195571956,-14.624546366664507
H3_two_bar_reversal_confirmation_long,2026,HIMS,542,0.45571955719557194,-0.055350553505535055,-14.856075021850778
H3_two_bar_reversal_confirmation_long,2026,IONQ,543,0.4419889502762431,-0.06077348066298342,-17.120242548658215
H3_two_bar_reversal_confirmation_long,2026,IREN,545,0.44954128440366975,-0.05321100917431193,-15.745079765021321
H3_two_bar_reversal_confirmation_long,2026,MARA,536,0.4496268656716418,-0.05037313432835821,-15.373131030959216
H3_two_bar_reversal_confirmation_long,2026,MP,551,0.4537205081669691,-0.0544464609800363,-15.696748974192449
H3_two_bar_reversal_confirmation_long,2026,MRNA,544,0.4540441176470588,-0.05698529411764706,-15.14925904605091
