symbol,con_id,original_opening_bars,recheck_complete,recheck_opening_bars,available_minutes_utc,checked_at_utc,broker_error
ARK,804727324,0,False,0,,2026-09-14T08:59:02.939890+00:00,IBKR historical data returned no bars for ARK
ARS,300356731,0,False,0,,2026-09-14T08:58:48.137164+00:00,IBKR historical data returned no bars for ARS
ASAI,325898804,0,True,5,2026-09-14T07:00:00+00:00;2026-09-14T07:01:00+00:00;2026-09-14T07:02:00+00:00;2026-09-14T07:03:00+00:00;2026-09-14T07:04:00+00:00,2026-09-14T08:58:49.539903+00:00,
ASHM,41957229,5,True,5,2026-09-14T07:00:00+00:00;2026-09-14T07:01:00+00:00;2026-09-14T07:02:00+00:00;2026-09-14T07:03:00+00:00;2026-09-14T07:04:00+00:00,2026-09-14T08:58:33.743939+00:00,
ASLI,299612177,0,False,2,2026-09-14T07:03:00+00:00;2026-09-14T07:04:00+00:00,2026-09-14T08:58:47.839882+00:00,
AT.,528621060,2,True,5,2026-09-14T07:00:00+00:00;2026-09-14T07:01:00+00:00;2026-09-14T07:02:00+00:00;2026-09-14T07:03:00+00:00;2026-09-14T07:04:00+00:00,2026-09-14T08:58:56.453682+00:00,
ATM,295514577,0,False,0,,2026-09-14T08:58:47.639160+00:00,IBKR historical data returned no bars for ATM
ATN,708858893,0,False,0,,2026-09-14T08:58:59.936359+00:00,IBKR historical data returned no bars for ATN
ATYM,300356747,5,True,5,2026-09-14T07:00:00+00:00;2026-09-14T07:01:00+00:00;2026-09-14T07:02:00+00:00;2026-09-14T07:03:00+00:00;2026-09-14T07:04:00+00:00,2026-09-14T08:58:48.237862+00:00,
AUTO,187511156,5,True,5,2026-09-14T07:00:00+00:00;2026-09-14T07:01:00+00:00;2026-09-14T07:02:00+00:00;2026-09-14T07:03:00+00:00;2026-09-14T07:04:00+00:00,2026-09-14T08:58:43.444756+00:00,
AV.,561966652,5,True,5,2026-09-14T07:00:00+00:00;2026-09-14T07:01:00+00:00;2026-09-14T07:02:00+00:00;2026-09-14T07:03:00+00:00;2026-09-14T07:04:00+00:00,2026-09-14T08:58:57.740755+00:00,
AVCT,435742381,0,False,0,,2026-09-14T08:58:52.355756+00:00,IBKR historical data returned no bars for AVCT
AXL,522982440,0,False,0,,2026-09-14T08:58:56.356761+00:00,IBKR historical data returned no bars for AXL
AYM,854486599,0,False,0,,2026-09-14T08:59:06.044754+00:00,IBKR historical data returned no bars for AYM
AZN,909330,5,True,5,2026-09-14T07:00:00+00:00;2026-09-14T07:01:00+00:00;2026-09-14T07:02:00+00:00;2026-09-14T07:03:00+00:00;2026-09-14T07:04:00+00:00,2026-09-14T08:58:26.343420+00:00,
BA.,908964,5,True,5,2026-09-14T07:00:00+00:00;2026-09-14T07:01:00+00:00;2026-09-14T07:02:00+00:00;2026-09-14T07:03:00+00:00;2026-09-14T07:04:00+00:00,2026-09-14T08:58:25.315260+00:00,
BAB,35156736,5,True,5,2026-09-14T07:00:00+00:00;2026-09-14T07:01:00+00:00;2026-09-14T07:02:00+00:00;2026-09-14T07:03:00+00:00;2026-09-14T07:04:00+00:00,2026-09-14T08:58:31.343090+00:00,
BARC,908940,5,True,5,2026-09-14T07:00:00+00:00;2026-09-14T07:01:00+00:00;2026-09-14T07:02:00+00:00;2026-09-14T07:03:00+00:00;2026-09-14T07:04:00+00:00,2026-09-14T08:58:25.252816+00:00,
BATS,908931,5,True,5,2026-09-14T07:00:00+00:00;2026-09-14T07:01:00+00:00;2026-09-14T07:02:00+00:00;2026-09-14T07:03:00+00:00;2026-09-14T07:04:00+00:00,2026-09-14T08:58:25.252638+00:00,
BBOX,180019314,5,True,5,2026-09-14T07:00:00+00:00;2026-09-14T07:01:00+00:00;2026-09-14T07:02:00+00:00;2026-09-14T07:03:00+00:00;2026-09-14T07:04:00+00:00,2026-09-14T08:58:42.939615+00:00,
BBY,12599244,5,True,5,2026-09-14T07:00:00+00:00;2026-09-14T07:01:00+00:00;2026-09-14T07:02:00+00:00;2026-09-14T07:03:00+00:00;2026-09-14T07:04:00+00:00,2026-09-14T08:58:27.436607+00:00,
BEM,709860979,0,False,0,,2026-09-14T08:59:00.139417+00:00,IBKR historical data returned no bars for BEM
