scope_type,scope_value,target,model,bin,lower_bound,upper_bound,row_count,mean_probability,observed_rate
pooled,all,large_remaining_move,P3,5,0.40000000000000002,0.5,390,0.44156664917693894,0.37692307692307692
pooled,all,large_remaining_move,P3,6,0.5,0.59999999999999998,213,0.54047030019626596,0.44131455399061031
pooled,all,large_remaining_move,P3,7,0.59999999999999998,0.69999999999999996,91,0.6471297493528203,0.58241758241758246
pooled,all,large_remaining_move,P3,8,0.69999999999999996,0.80000000000000004,35,0.74691323181835989,0.68571428571428572
pooled,all,large_remaining_move,P3,9,0.80000000000000004,0.90000000000000002,23,0.84500969005986848,0.47826086956521741
pooled,all,large_remaining_move,P3,10,0.90000000000000002,1,4,0.96410063938902568,0.5
pooled,all,up_given_large_move,D0,1,0,0.10000000000000001,0,,
pooled,all,up_given_large_move,D0,2,0.10000000000000001,0.20000000000000001,0,,
pooled,all,up_given_large_move,D0,3,0.20000000000000001,0.29999999999999999,0,,
pooled,all,up_given_large_move,D0,4,0.29999999999999999,0.40000000000000002,0,,
pooled,all,up_given_large_move,D0,5,0.40000000000000002,0.5,0,,
pooled,all,up_given_large_move,D0,6,0.5,0.59999999999999998,1308,0.55280942408755185,0.54357798165137616
pooled,all,up_given_large_move,D0,7,0.59999999999999998,0.69999999999999996,1,0.60165330531600059,0
pooled,all,up_given_large_move,D0,8,0.69999999999999996,0.80000000000000004,0,,
pooled,all,up_given_large_move,D0,9,0.80000000000000004,0.90000000000000002,0,,
pooled,all,up_given_large_move,D0,10,0.90000000000000002,1,0,,
pooled,all,up_given_large_move,D1,1,0,0.10000000000000001,0,,
pooled,all,up_given_large_move,D1,2,0.10000000000000001,0.20000000000000001,0,,
pooled,all,up_given_large_move,D1,3,0.20000000000000001,0.29999999999999999,2,0.26716010937098922,0
pooled,all,up_given_large_move,D1,4,0.29999999999999999,0.40000000000000002,15,0.36297205606084765,0.33333333333333331
pooled,all,up_given_large_move,D1,5,0.40000000000000002,0.5,246,0.47137849484904432,0.52032520325203258
pooled,all,up_given_large_move,D1,6,0.5,0.59999999999999998,691,0.55131128304039767,0.55137481910274966
pooled,all,up_given_large_move,D1,7,0.59999999999999998,0.69999999999999996,324,0.6341279926090323,0.53086419753086422
pooled,all,up_given_large_move,D1,8,0.69999999999999996,0.80000000000000004,29,0.72823710766696681,0.7931034482758621
pooled,all,up_given_large_move,D1,9,0.80000000000000004,0.90000000000000002,2,0.89478051358122968,1
pooled,all,up_given_large_move,D1,10,0.90000000000000002,1,0,,
pooled,all,up_given_large_move,D2,1,0,0.10000000000000001,0,,
pooled,all,up_given_large_move,D2,2,0.10000000000000001,0.20000000000000001,0,,
pooled,all,up_given_large_move,D2,3,0.20000000000000001,0.29999999999999999,5,0.27269726931145222,0.20000000000000001
pooled,all,up_given_large_move,D2,4,0.29999999999999999,0.40000000000000002,24,0.36751701805460907,0.41666666666666669
pooled,all,up_given_large_move,D2,5,0.40000000000000002,0.5,286,0.46373901647335092,0.52797202797202802
pooled,all,up_given_large_move,D2,6,0.5,0.59999999999999998,585,0.55228293888112501,0.54358974358974355
pooled,all,up_given_large_move,D2,7,0.59999999999999998,0.69999999999999996,340,0.63850810143709091,0.57352941176470584
pooled,all,up_given_large_move,D2,8,0.69999999999999996,0.80000000000000004,58,0.73730721601640747,0.53448275862068961
pooled,all,up_given_large_move,D2,9,0.80000000000000004,0.90000000000000002,9,0.84010731092151181,0.33333333333333331
pooled,all,up_given_large_move,D2,10,0.90000000000000002,1,2,0.95406812046496503,1
pooled,all,up_given_large_move,D3,1,0,0.10000000000000001,0,,
pooled,all,up_given_large_move,D3,2,0.10000000000000001,0.20000000000000001,0,,
pooled,all,up_given_large_move,D3,3,0.20000000000000001,0.29999999999999999,1,0.26888471831321481,0
pooled,all,up_given_large_move,D3,4,0.29999999999999999,0.40000000000000002,26,0.36629321072899607,0.53846153846153844
pooled,all,up_given_large_move,D3,5,0.40000000000000002,0.5,293,0.46249488939121652,0.52901023890784982
pooled,all,up_given_large_move,D3,6,0.5,0.59999999999999998,588,0.55023288184654462,0.53401360544217691
pooled,all,up_given_large_move,D3,7,0.59999999999999998,0.69999999999999996,319,0.63589863033844374,0.58620689655172409
pooled,all,up_given_large_move,D3,8,0.69999999999999996,0.80000000000000004,68,0.7338940549040226,0.52941176470588236
pooled,all,up_given_large_move,D3,9,0.80000000000000004,0.90000000000000002,12,0.83496641890472245,0.25
pooled,all,up_given_large_move,D3,10,0.90000000000000002,1,2,0.93101981734388661,1
checkpoint,6,large_remaining_move,P0,1,0,0.10000000000000001,0,,
checkpoint,6,large_remaining_move,P0,2,0.10000000000000001,0.20000000000000001,0,,
checkpoint,6,large_remaining_move,P0,3,0.20000000000000001,0.29999999999999999,3131,0.25044395075288456,0.20153305653145959
checkpoint,6,large_remaining_move,P0,4,0.29999999999999999,0.40000000000000002,0,,
checkpoint,6,large_remaining_move,P0,5,0.40000000000000002,0.5,0,,
checkpoint,6,large_remaining_move,P0,6,0.5,0.59999999999999998,0,,
checkpoint,6,large_remaining_move,P0,7,0.59999999999999998,0.69999999999999996,0,,
checkpoint,6,large_remaining_move,P0,8,0.69999999999999996,0.80000000000000004,0,,
checkpoint,6,large_remaining_move,P0,9,0.80000000000000004,0.90000000000000002,0,,
