scope_type,scope_value,target,model,bin,lower_bound,upper_bound,row_count,mean_probability,observed_rate
month,2025-01,large_remaining_move,P2,1,0,0.10000000000000001,12,0.084442824298074246,0.16666666666666666
month,2025-01,large_remaining_move,P2,2,0.10000000000000001,0.20000000000000001,153,0.16162933016869346,0.098039215686274508
month,2025-01,large_remaining_move,P2,3,0.20000000000000001,0.29999999999999999,318,0.25029287837099812,0.18238993710691823
month,2025-01,large_remaining_move,P2,4,0.29999999999999999,0.40000000000000002,152,0.34110412068292933,0.32236842105263158
month,2025-01,large_remaining_move,P2,5,0.40000000000000002,0.5,76,0.44094752803794357,0.43421052631578949
month,2025-01,large_remaining_move,P2,6,0.5,0.59999999999999998,44,0.54914717229829846,0.47727272727272729
month,2025-01,large_remaining_move,P2,7,0.59999999999999998,0.69999999999999996,24,0.6491539106965265,0.625
month,2025-01,large_remaining_move,P2,8,0.69999999999999996,0.80000000000000004,14,0.74991710395195699,0.7857142857142857
month,2025-01,large_remaining_move,P2,9,0.80000000000000004,0.90000000000000002,7,0.85608521207279453,0.5714285714285714
month,2025-01,large_remaining_move,P2,10,0.90000000000000002,1,0,,
month,2025-01,large_remaining_move,P3,1,0,0.10000000000000001,11,0.08815196266090583,0.18181818181818182
month,2025-01,large_remaining_move,P3,2,0.10000000000000001,0.20000000000000001,159,0.16194893257123377,0.1069182389937107
month,2025-01,large_remaining_move,P3,3,0.20000000000000001,0.29999999999999999,314,0.24890727242170721,0.19426751592356689
