scope_type,scope_value,target,model,brier_score,log_loss,auc,calibration_intercept,calibration_slope,expected_calibration_error,base_rate,row_count,session_count,stock_count
month,2025-03,up_given_large_move,D2,0.25017692486325765,0.69372093942438662,0.53907539900935608,0.080188695892709577,0.3611846997361462,0.054966685910263255,0.53801169590643272,171,21,20
month,2025-03,up_given_large_move,D3,0.25282149619924504,0.69932611794347688,0.52793065492570168,0.12182800287659901,0.15953696339228565,0.056160296851059346,0.53801169590643272,171,21,20
month,2025-04,large_remaining_move,P0,0.16473052008860603,0.51233957932402829,0.5019515191139905,3.1210457098708182,4.0943476755608819,0.04648747496714159,0.20431472081218274,788,20,20
month,2025-04,large_remaining_move,P1,0.16609283294895344,0.5118478886893908,0.6346102410175638,-0.74969154177100983,0.63267605586970632,0.07020901244863556,0.20431472081218274,788,20,20
month,2025-04,large_remaining_move,P2,0.16177538165329478,0.50130883190101816,0.63259928477319782,-0.55808669896918628,0.77135897104609197,0.057790411743296105,0.20431472081218274,788,20,20
month,2025-04,large_remaining_move,P3,0.16286946952634421,0.50366923018702414,0.6335998098011828,-0.62816318764829548,0.71203378440917309,0.059021962001587262,0.20431472081218274,788,20,20
month,2025-04,up_given_large_move,D0,0.25766407399986357,0.70853125175614562,0.56964006259780908,-2.3426602543681243,10.064884191086737,0.11096578307462307,0.44099378881987578,161,20,20
month,2025-04,up_given_large_move,D1,0.25866180175091835,0.71050663815988657,0.52472613458528949,-0.32663598546988892,0.45400593790213783,0.1387010473464437,0.44099378881987578,161,20,20
month,2025-04,up_given_large_move,D2,0.26483600674530561,0.72425060399328089,0.50594679186228475,-0.25596673010843984,0.091860316150324112,0.12556514804574007,0.44099378881987578,161,20,20
month,2025-04,up_given_large_move,D3,0.26611010862738083,0.72704753320231819,0.49405320813771519,-0.22690342421325288,-0.051741778860678302,0.13195690738289947,0.44099378881987578,161,20,20
month,2025-05,large_remaining_move,P0,0.16183684217707442,0.50598963355944726,0.48420697591365414,-37.681942756801305,-33.156985154734919,0.0523097334677666,0.19849246231155779,796,20,20
month,2025-05,large_remaining_move,P1,0.14060677627853108,0.45078118821191193,0.73594301813420104,-0.048610229750874985,1.363411236594096,0.069422857269960031,0.19849246231155779,796,20,20
month,2025-05,large_remaining_move,P2,0.13986278838129573,0.44522318380443798,0.73932582040395212,0.011592779280100619,1.3250048984845058,0.051826935280838829,0.19849246231155779,796,20,20
month,2025-05,large_remaining_move,P3,0.13946547416422694,0.44383159895346008,0.74041704694258159,0.016672296563592752,1.3169794083857003,0.053484876785817426,0.19849246231155779,796,20,20
month,2025-05,up_given_large_move,D0,0.24173637385130384,0.67652254995988481,0.59454094292803961,-1.4498725854429682,8.4173657503148878,0.034754181658928296,0.58860759493670889,158,20,19
month,2025-05,up_given_large_move,D1,0.23273388578234944,0.65666015306564629,0.62233250620347391,0.00038957824520055438,1.4169126006158086,0.067309168225581181,0.58860759493670889,158,20,19
month,2025-05,up_given_large_move,D2,0.24094396611691044,0.67548020344820381,0.58395368072787424,0.18688049000300286,0.52403426832410938,0.075723137301714372,0.58860759493670889,158,20,19
month,2025-05,up_given_large_move,D3,0.24386252814050952,0.68280865828012516,0.56939619520264673,0.2383767404107798,0.37109108646651445,0.063772182257587934,0.58860759493670889,158,20,19
month,2025-06,large_remaining_move,P0,0.16131350771281003,0.50482718439218188,0.54732047793682714,107.92174879496827,99.909330175783097,0.053302195779324324,0.19750000000000001,800,20,20
month,2025-06,large_remaining_move,P1,0.14707767268632088,0.46688523953462485,0.71569265349580036,-0.25019466775595933,1.1351923490271816,0.062979352384377463,0.19750000000000001,800,20,20
month,2025-06,large_remaining_move,P2,0.14432576238860848,0.4565031498954738,0.71538704207579162,-0.24341296551852246,1.0499923868501335,0.055882893890224945,0.19750000000000001,800,20,20
month,2025-06,large_remaining_move,P3,0.14517126138899816,0.45832002277797457,0.70815095232461855,-0.28090741983547252,1.004564609035046,0.051742829632939129,0.19750000000000001,800,20,20
month,2025-06,up_given_large_move,D0,0.24675599034950904,0.68663565519604886,0.55399061032863861,-0.91427167245597041,5.1841707650056899,0.0031342596280834467,0.55063291139240511,158,20,19
month,2025-06,up_given_large_move,D1,0.2527774455887708,0.69964679327587076,0.48842480168366526,0.25461448551904237,-0.22282022976925711,0.066754977997420209,0.55063291139240511,158,20,19
month,2025-06,up_given_large_move,D2,0.25880104930806419,0.71589194740329909,0.4858345475149749,0.28936959709728199,-0.30048122283414125,0.080849381415193752,0.55063291139240511,158,20,19
month,2025-06,up_given_large_move,D3,0.26006782172254245,0.71843600761214388,0.48696778371377691,0.30896338841520737,-0.36990757963611254,0.070752474103215196,0.55063291139240511,158,20,19
month,2025-07,large_remaining_move,P0,0.16315981914685979,0.50888442957161173,0.53148175909840467,71.095461711028491,66.230912839104647,0.049611719588848135,0.2011904761904762,840,21,20
