symbol,con_id,original_opening_bars,recheck_complete,recheck_opening_bars,available_minutes_utc,checked_at_utc,broker_error
101490,465131411,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:15.142152+00:00,
101730,798523549,,False,3,2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:03.421176+00:00,
104620,852101664,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:01:56.582737+00:00,
115440,852105992,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:01:57.781679+00:00,
115570,852100742,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:04.103173+00:00,
117670,852104724,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:01:58.564296+00:00,
126340,852105300,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:12.035407+00:00,
126640,852103012,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:10.318210+00:00,
130660,839404331,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:17.095102+00:00,
134580,852105277,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:03.122847+00:00,
140430,852104697,,False,3,2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:02.126023+00:00,
150900,852102689,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:01:57.541151+00:00,
160550,852105487,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:01:59.951432+00:00,
173130,852105280,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:04.115334+00:00,
184230,852106468,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:01:58.023726+00:00,
187660,852104818,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:14.655645+00:00,
192250,852106297,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:00.440116+00:00,
196450,852101150,,False,3,2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:07.443557+00:00,
200350,852101739,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:01:57.345707+00:00,
200710,852105220,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:16.825322+00:00,
201490,852101310,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:04.531350+00:00,
203650,852104932,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:01:58.572249+00:00,
206400,852105111,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:12.764357+00:00,
214680,852103919,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:16.367102+00:00,
215360,852102858,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:11.509492+00:00,
215480,852106647,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:05.091707+00:00,
216080,852101245,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:06.768481+00:00,
217590,839404380,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:00.271451+00:00,
217820,852105051,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:09.189165+00:00,
224060,852101610,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:01.663458+00:00,
224110,852104749,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:04.825686+00:00,
225430,852102878,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:01:58.746904+00:00,
228340,852105502,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:11.069997+00:00,
243840,476388361,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:16.102952+00:00,
256840,543663058,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:01:58.088854+00:00,
263860,852104959,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:01:56.581765+00:00,
263920,852103647,,False,0,,2026-09-14T09:02:06.275287+00:00,IBKR historical data returned no bars for 263920
285800,852103471,,False,3,2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:07.305321+00:00,
288620,852105499,,False,3,2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:07.297019+00:00,
