signature_id,direction,stage,condition_count,rows,sessions,stocks,mean_directional_net_bps,directional_lift,raw_p_value,fdr_q_value,discovery_score,discovery_supported_effect,discovery_eligible,rejection_reasons_json,conditions_json
short__return_6_cross_sectional_rank_bin__top_20__eac2858ee8,SHORT,univariate,1,1956,249,20,-15.5161183247,0.00398773006135,0.9452850217,0.999955450325,-0.161758691207,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]","[{""family"":""cross_sectional"",""feature"":""return_6_cross_sectional_rank_bin"",""operator"":""=="",""value"":""top_20""}]"
short__rolling_high_low_location_bin__high__123d9d5179,SHORT,univariate,1,3326,252,20,-20.3439509021,-0.0135625369678,0.647483709774,0.999955450325,-0.168504821036,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]","[{""family"":""price_location"",""feature"":""rolling_high_low_location_bin"",""operator"":""=="",""value"":""high""}]"
short__rolling_high_low_location_bin__low__83f9908031,SHORT,univariate,1,3577,250,20,-2.9863133214,0.00841987521961,0.889340081764,0.999955450325,-0.15,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]","[{""family"":""price_location"",""feature"":""rolling_high_low_location_bin"",""operator"":""=="",""value"":""low""}]"
short__rolling_high_low_location_bin__middle__c4feba6b8b,SHORT,univariate,1,2877,251,20,-10.4844731777,0.00521067233037,0.964573620665,0.999955450325,-0.15,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]","[{""family"":""price_location"",""feature"":""rolling_high_low_location_bin"",""operator"":""=="",""value"":""middle""}]"
short__same_orientation_repeat_bin__0__fa3f56721d,SHORT,univariate,1,6367,252,20,-11.261233849,-0.00121917299162,0.951769965731,0.999955450325,-0.15,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]","[{""family"":""state_history"",""feature"":""same_orientation_repeat_bin"",""operator"":""=="",""value"":""0""}]"
short__same_orientation_repeat_bin__1__ed67f729ee,SHORT,univariate,1,2417,249,20,-7.26512000473,0.0145489981073,0.744341060607,0.999955450325,-0.15,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]","[{""family"":""state_history"",""feature"":""same_orientation_repeat_bin"",""operator"":""=="",""value"":""1""}]"
short__same_orientation_repeat_bin__2_plus__48ed4991e3,SHORT,univariate,1,996,244,20,-19.3270901762,-0.0275125040037,0.843764665867,0.999955450325,-0.168632813462,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]","[{""family"":""state_history"",""feature"":""same_orientation_repeat_bin"",""operator"":""=="",""value"":""2_plus""}]"
short__scheduled_bars_remaining_bin__41__b9f115cd4f,SHORT,univariate,1,4846,249,20,-9.95755475579,-0.0109791812783,0.878265922757,0.999955450325,-0.152251978525,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]","[{""family"":""clock"",""feature"":""scheduled_bars_remaining_bin"",""operator"":""=="",""value"":""41""}]"
short__scheduled_bars_remaining_bin__65__2b4f19e9b6,SHORT,univariate,1,4934,252,20,-12.2123109925,0.010783362885,0.917261984901,0.999955450325,-0.15,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]","[{""family"":""clock"",""feature"":""scheduled_bars_remaining_bin"",""operator"":""=="",""value"":""65""}]"
short__session_return_bin__above_plus_one_scale__03b8cb8334,SHORT,univariate,1,3709,248,20,-13.6827319934,0.00141095472738,0.492488091313,0.999955450325,-0.155814216345,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]","[{""family"":""price_location"",""feature"":""session_return_bin"",""operator"":""=="",""value"":""above_plus_one_scale""}]"
short__session_return_bin__below_minus_one_scale__6662af731f,SHORT,univariate,1,4155,247,20,-9.16318717457,-0.0020416675895,0.9827295577,0.999955450325,-0.15,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]","[{""family"":""price_location"",""feature"":""session_return_bin"",""operator"":""=="",""value"":""below_minus_one_scale""}]"
short__session_return_bin__minus_one_to_zero__347ad83d0b,SHORT,univariate,1,951,237,20,-7.76142946268,0.0266600220627,0.337078311001,0.999955450325,-0.15,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]","[{""family"":""price_location"",""feature"":""session_return_bin"",""operator"":""=="",""value"":""minus_one_to_zero""}]"
short__session_return_bin__zero_to_plus_one__a325a6eb82,SHORT,univariate,1,965,231,20,-12.7527851716,-0.0229054748509,0.754761062772,0.999955450325,-0.169933352406,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]","[{""family"":""price_location"",""feature"":""session_return_bin"",""operator"":""=="",""value"":""zero_to_plus_one""}]"
short__state_age_bin__1__e5488a63b1,SHORT,univariate,1,2262,251,20,-11.4338827257,-0.0134136683428,0.893872034308,0.999955450325,-0.160606011294,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]","[{""family"":""structural_state"",""feature"":""state_age_bin"",""operator"":""=="",""value"":""1""}]"
short__state_age_bin__2_3__4dc804bb4d,SHORT,univariate,1,2590,252,20,-4.62115136081,0.0159726334573,0.800514856251,0.999955450325,-0.15,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]","[{""family"":""structural_state"",""feature"":""state_age_bin"",""operator"":""=="",""value"":""2_3""}]"
short__state_age_bin__4_6__3c4a4b0fb8,SHORT,univariate,1,1979,249,20,-5.7492477017,-0.00697761051367,0.87068614018,0.999955450325,-0.15,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]","[{""family"":""structural_state"",""feature"":""state_age_bin"",""operator"":""=="",""value"":""4_6""}]"
short__state_age_bin__7_plus__3228d577c4,SHORT,univariate,1,2949,250,20,-20.1084662027,0.000943129312838,0.961302606861,0.999955450325,-0.162845677125,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]","[{""family"":""structural_state"",""feature"":""state_age_bin"",""operator"":""=="",""value"":""7_plus""}]"
short__state_motif_2__0gt1__93152cbecc,SHORT,univariate,1,177,118,17,-5.50315333095,0.00202939239541,1,1,-0.15,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff"",""stock_concentration""]","[{""family"":""state_history"",""feature"":""state_motif_2"",""operator"":""=="",""value"":""0>1""}]"
short__state_motif_2__0gt3__c4ba041a93,SHORT,univariate,1,201,113,17,1.229063874,0.0263147452919,0.701103495784,0.999955450325,-0.098802035588,True,False,"[""fdr_not_passed""]","[{""family"":""state_history"",""feature"":""state_motif_2"",""operator"":""=="",""value"":""0>3""}]"
short__state_motif_2__0gt4__f9489c84b4,SHORT,univariate,1,82,57,20,-5.99888088072,-0.0222230535189,0.394896537676,0.999955450325,-0.160012968228,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]","[{""family"":""state_history"",""feature"":""state_motif_2"",""operator"":""=="",""value"":""0>4""}]"
