signature_id,rejection_reasons_json
long__close_location_bin__low__state_motif_2__7gt5__ffe8aef3c4,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_rows"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__close_location_bin__low__state_motif_3__4gt2gt1__d80586a1fb,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""stock_concentration""]"
long__close_location_bin__low__stock_vs_market_return_bin__minus_one_to_zero__512f8b1ed4,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]"
long__close_location_bin__middle__5a9659c936,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]"
long__close_location_bin__middle__departure_probability_bin__high__realised_volatility_bin__middle__22dfa444d9,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]"
long__close_location_bin__middle__historical_activity_bin__high__previous_state__6.0__6328fe4b89,"[""fdr_not_passed"",""insufficient_rows""]"
long__close_location_bin__middle__realised_volatility_bin__middle__3c0c880aa8,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__close_location_bin__middle__return_12_bin__zero_to_plus_one__return_6_cross_sectional_rank_bin__middle_60__d4e8a4ff66,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]"
long__close_location_bin__middle__state_motif_2__1gt0__b93a5eedd1,"[""fdr_not_passed"",""non_positive_discovery_payoff"",""stock_concentration""]"
long__close_location_bin__middle__state_motif_3__1gt2gt1__ffeb1a97d6,"[""fdr_not_passed"",""insufficient_rows"",""non_positive_discovery_payoff""]"
long__close_location_bin__middle__state_motif_3__4gt1gt3__3781ab51dc,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_rows"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__close_location_bin__middle__state_motif_3__6gt4gt3__9ac17e8bec,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_rows"",""insufficient_sessions"",""non_positive_discovery_payoff""]"
long__close_location_bin__middle__top_parent_loop__cycle_06__ac7f6a3cd8,"[""fdr_not_passed"",""insufficient_rows""]"
long__compatibility_entropy_bin__concentrated__3dccd78e7d,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]"
long__compatibility_entropy_bin__concentrated__opening_range_position_bin__above_range__prior_completed_dwell_bin__missing__3c8275c692,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_months"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""zero_discovery_support""]"
