dimension,subgroup,model_id,primary_log_loss,primary_brier_score,primary_auc,primary_average_precision,primary_accuracy,primary_balanced_accuracy,primary_matthews_correlation_coefficient,primary_up_base_rate,primary_predicted_up_rate,primary_calibration_intercept,primary_calibration_slope,primary_expected_calibration_error,primary_episodes,selective_horizon_minutes,selective_total_episodes,selective_actions,selective_abstentions,selective_action_coverage,selective_call_count,selective_put_count,selective_call_put_balance,selective_directional_accuracy,selective_balanced_accuracy,selective_mean_aligned_return,selective_median_aligned_return,selective_positive_aligned_return_rate,selective_trimmed_mean_aligned_return,selective_mean_winning_aligned_return,selective_mean_losing_aligned_return,selective_payoff_ratio,selective_mean_maximum_favourable_excursion,selective_mean_maximum_adverse_excursion,selective_favourable_adverse_excursion_ratio
m1_probability,low_m1_probability,Q1,0.737866714017095,0.269187602326655,0.508482911236784,0.650071386877676,0.537878787878788,0.540570445045488,0.0784030428497788,0.628787878787879,0.5,0.524247070748764,-0.104816668970746,0.155249361557567,132,10,135,39,96,0.288888888888889,19,20,0.487179487179487,0.461538461538462,0.459415584415584,-0.000406544704622599,-0.000402495477359719,0.461538461538462,-0.000976464661405238,0.00930390301584437,-0.00872978560788,1.06576535023336,0.00893148116344088,0.00980342428474778,0.911057290189564
transition_probability,high_transition_probability,Q0,0.752752359042372,0.276526961007869,0.467619047619048,0.590840978366066,0.504347826086956,0.505555555555556,0.0108457937864457,0.608695652173913,0.495652173913044,0.448467345431128,-0.470416396176791,0.139807110175762,115,10,118,37,81,0.313559322033898,18,19,0.486486486486487,0.351351351351351,0.328671328671329,-0.00333882863621591,-0.0036920982922704,0.351351351351351,-0.00358585232105619,0.011648378442131,-0.0114568991369871,1.01671301308097,0.00824410441931128,0.013474570380501,0.611826884754802
transition_probability,high_transition_probability,QS,0.729949406761572,0.267924473351591,0.40031746031746,0.589208348778193,0.452173913043478,0.446825396825397,-0.103841155187086,0.608695652173913,0.51304347826087,0.477602817260002,-1.00220707365196,0.115321306992718,115,10,118,34,84,0.288135593220339,22,12,0.647058823529412,0.441176470588235,0.335555555555556,-0.000321527450189509,-0.00133568951170204,0.441176470588235,-0.00123350190129826,0.0112407923606005,-0.00944967466923429,1.1895427889383,0.0107029919965326,0.0111174985620512,0.962715842668647
transition_probability,high_transition_probability,Q1,0.762621020952638,0.280626368049493,0.455238095238095,0.580239541722882,0.504347826086956,0.497619047619048,-0.00465665630189261,0.608695652173913,0.530434782608696,0.445592839844273,-0.470164814812033,0.16336566284038,115,10,118,38,80,0.322033898305085,21,17,0.552631578947368,0.394736842105263,0.355769230769231,-0.00187769430377992,-0.00203949785237236,0.394736842105263,-0.00184303581113719,0.0123437759719201,-0.0111525662227147,1.1068103721975,0.0102282667466949,0.0117966079804384,0.867051508675696
transition_probability,low_transition_probability,Q0,0.715826996124762,0.259771921098041,0.522007042253521,0.530871094515698,0.577777777777778,0.573943661971831,0.1495083272641,0.525925925925926,0.577777777777778,0.0945420016616384,0.115405638591892,0.133060817843039,135,10,135,35,100,0.259259259259259,22,13,0.628571428571429,0.457142857142857,0.46078431372549,-0.000529947071376031,-0.00123123350729862,0.457142857142857,-0.00143071622000589,0.00956707681139698,-0.00903270402529015,1.05915978035046,0.0104444676875024,0.0117679819491263,0.887532606070821
transition_probability,low_transition_probability,QS,0.702061805347591,0.25413184679068,0.535431338028169,0.519870443302861,0.525925925925926,0.529269366197183,0.0589290816784243,0.525925925925926,0.437037037037037,0.107979104583867,0.135720155072528,0.0897362235354317,135,10,135,37,98,0.274074074074074,15,22,0.405405405405405,0.459459459459459,0.424679487179487,-0.00134625638875591,-0.00123123350729862,0.459459459459459,-0.00214683906956713,0.00918690586593195,-0.0102994443052406,0.89198073154854,0.0106455737277808,0.0135235685233387,0.787186733250839
transition_probability,low_transition_probability,Q1,0.716381205243755,0.259906021745327,0.529489436619718,0.53098464764503,0.540740740740741,0.538732394366197,0.0776186754525661,0.525925925925926,0.540740740740741,0.096458938458035,0.116373456842253,0.0770501338648261,135,10,135,39,96,0.288888888888889,24,15,0.615384615384615,0.512820512820513,0.515789473684211,-0.000851780868123282,0.000237986782672524,0.512820512820513,-0.000445103457998258,0.007141721301778,-0.00926599367854569,0.770745324196995,0.0108854978027782,0.0110866312168875,0.981858022498036
quiet_score,strong_accumulation,Q0,0.718469997541024,0.262314147040184,0.481818181818182,0.541893241911495,0.523809523809524,0.527272727272727,0.055048188256318,0.476190476190476,0.571428571428571,-0.092515149085293,-0.0247655756339511,0.0628748552474825,42,10,43,6,37,0.13953488372093,5,1,0.833333333333333,0.5,0.375,-0.000315521327424315,-0.000108898946682706,0.5,-0.000315521327424315,0.0085716413094654,-0.00920268396431403,0.931428411831193,0.00904643694433854,0.00991028048210849,0.912833593425586
quiet_score,strong_accumulation,QS,0.708887145155968,0.257830591420242,0.484090909090909,0.562098006348366,0.476190476190476,0.477272727272727,-0.0454545454545455,0.476190476190476,0.523809523809524,-0.0946111777360036,-0.0167882878621187,0.109127440569166,42,10,43,14,29,0.325581395348837,10,4,0.714285714285714,0.5,0.5,0.00287799371192854,-0.00023661301682985,0.5,0.000496013549365127,0.0139954878297978,-0.00823950040594077,1.69858451851121,0.012549195808514,0.00912832435179438,1.37475349526194
quiet_score,strong_accumulation,Q1,0.720095319545362,0.263180372457864,0.486363636363636,0.549620724092157,0.404761904761905,0.409090909090909,-0.184998916025152,0.476190476190476,0.595238095238095,-0.104194869708324,0.0613133303731298,0.183182899172244,42,10,43,12,31,0.27906976744186,10,2,0.833333333333333,0.583333333333333,0.388888888888889,0.00135597236704529,0.00123946779338736,0.583333333333333,0.00156614793353607,0.00917932506763936,-0.00959672141378641,0.956506360021307,0.0113095446602593,0.00745234361762595,1.51758228559275
