row_type,draw,interval_level,bound,metric,value,q1_minus_q0_log_loss_improvement,q1_minus_q0_brier_improvement,q1_minus_q0_auc_improvement,q1_selective_action_coverage,q1_selective_accuracy,q1_selective_balanced_accuracy,mean_aligned_ten_minute_return,median_aligned_ten_minute_return,positive_aligned_return_rate,mean_remaining_fraction,quiet_absorption_score_monotonic_slope,iv_excess_subgroup_accuracy,largest_movement_quartile_accuracy
draw,23,,,,,-0.00509007180942067,-0.00167064697576397,0.000385802469135721,0.286764705882353,0.448717948717949,0.441176470588235,-0.00160203451721146,-0.000571655176746274,0.448717948717949,0.575083463965229,0.000637957410832346,0.459459459459459,0.428571428571429
draw,24,,,,,-0.00766007449932149,-0.002387269956862,-0.00432810137143458,0.275985663082437,0.506493506493506,0.492013888888889,0.000959815336591667,0.000237986782672524,0.506493506493506,0.536388466135064,0.00133232718359087,0.540540540540541,0.526315789473684
draw,25,,,,,0.00485448609338435,0.00265075031754081,0.0162518772795538,0.296428571428571,0.409638554216867,0.402618135376756,-0.0021484207873671,-0.00289845627547296,0.409638554216867,0.566061623268413,0.000993517716364799,0.408163265306122,0.434782608695652
draw,26,,,,,0.00010757564845354,0.000233561698807006,0.00162813415825463,0.273381294964029,0.421052631578947,0.414376321353066,-0.00206737595341176,-0.000986428665487466,0.421052631578947,0.556261530129868,-7.6015776661343e-05,0.388888888888889,0.25
draw,27,,,,,-0.00303958753744593,-0.00123654973540482,0.000244051250762545,0.256704980842912,0.567164179104478,0.541203703703704,-0.000228852903713631,0.000801442992913361,0.567164179104478,0.55069200087699,-0.00024747893660676,0.466666666666667,0.428571428571429
draw,28,,,,,-0.00903280526452255,-0.00400257170916168,-0.0116573407940314,0.313253012048193,0.397435897435897,0.373713109128346,-0.00352843684320846,-0.00289845627547296,0.397435897435897,0.5099943504362,-0.000172088922940626,0.324324324324324,0.266666666666667
draw,29,,,,,-0.00446249059052639,-0.0010657868705346,0.0133500957854407,0.263358778625954,0.449275362318841,0.454545454545455,-3.22064806277617e-05,-0.00159641251139287,0.449275362318841,0.53006377536934,0.000197840739199206,0.472222222222222,0.5
draw,30,,,,,0.00751584645178627,0.00367237759628591,0.0343528368794326,0.345833333333333,0.469879518072289,0.440251572327044,-0.000330721748756889,-0.00078950414338748,0.469879518072289,0.61804988212117,-0.000177000668572786,0.476190476190476,0.526315789473684
draw,31,,,,,0.0008438200837253,0.000406094002795787,0.00384424603174605,0.282945736434109,0.452054794520548,0.426448170731707,-0.00121673391268741,-0.00078950414338748,0.452054794520548,0.538248332240745,-0.00078590280390568,0.454545454545455,0.6
draw,32,,,,,-0.00393430569284414,-0.00124333473778471,-5.69605832763109e-05,0.29368029739777,0.468354430379747,0.463735558408216,-0.0013641699963969,-0.000740814876132829,0.468354430379747,0.590611896778998,-4.61510084378266e-05,0.422222222222222,0.473684210526316
draw,33,,,,,-8.15908882098038e-05,0.000345275094976893,0.00728715728715734,0.343096234309623,0.463414634146341,0.432282003710575,-0.00182074842069792,-0.00159893218972665,0.463414634146341,0.562993679534149,0.000944137544327132,0.42,0.464285714285714
draw,34,,,,,-0.001709527191461,-0.00038720071126902,0.00299102691924225,0.305019305019305,0.455696202531646,0.438953488372093,-0.00240145435580648,-0.00078950414338748,0.455696202531646,0.569753396198475,-6.17545111819249e-05,0.404761904761905,0.3125
draw,35,,,,,-0.00523203983277298,-0.00134508909928888,0.0057456082419759,0.281746031746032,0.492957746478873,0.484959349593496,-0.000632915164414892,-0.000315308236275162,0.492957746478873,0.474762133629877,0.000456273442087195,0.5,0.4
draw,36,,,,,-0.00316065039216151,-0.000877632161212727,0.00146627565982405,0.285140562248996,0.535211267605634,0.522608695652174,-0.000664757688856841,0.000237986782672524,0.535211267605634,0.550403427563233,-0.000372189563391744,0.475,0.421052631578947
draw,37,,,,,-0.00556656935755384,-0.00261100465217817,0.000523756079311599,0.319148936170213,0.386666666666667,0.371212121212121,-0.00396868306913567,-0.0036920982922704,0.386666666666667,0.58639416997939,-0.000425467624043101,0.297297297297297,0.266666666666667
draw,38,,,,,-0.0147295602405582,-0.00722770295781561,-0.0420239529445113,0.345833333333333,0.493975903614458,0.485119047619048,2.9582393524949e-05,-0.000315308236275162,0.493975903614458,0.56433105504809,4.94386940483004e-05,0.5,0.55
draw,39,,,,,-0.00709164463496281,-0.0027697129283254,-0.00129032258064521,0.299625468164794,0.375,0.390625,-0.00381507400047127,-0.0036920982922704,0.375,0.561770232311011,0.000207152859817507,0.326086956521739,0.318181818181818
draw,40,,,,,-0.0156008770360994,-0.0067503055634055,-0.020969933250635,0.27037037037037,0.465753424657534,0.438492063492063,-0.00153904018865932,-0.000315308236275162,0.465753424657534,0.496032018407342,-0.00160373141609632,0.46875,0.388888888888889
draw,41,,,,,-0.0110851434760827,-0.00443396364166643,-0.0175191815856777,0.2734375,0.485714285714286,0.488095238095238,-0.00017250144472948,-0.000315308236275162,0.485714285714286,0.52900859011705,0.000182107738690149,0.545454545454545,0.428571428571429
draw,42,,,,,-0.00663889554139874,-0.00293740722804392,-0.0179516560266274,0.295620437956204,0.407407407407407,0.37843137254902,-0.00174902114645393,-0.00159641251139287,0.407407407407407,0.515065012944166,-0.000682601283219739,0.375,0.428571428571429
draw,43,,,,,-0.0122676648297562,-0.00582080315370598,-0.0113378684807256,0.303643724696356,0.466666666666667,0.446947674418605,-0.000832965179563527,-0.00157036185361521,0.466666666666667,0.539899139142861,-0.0013234972118813,0.512820512820513,0.5
draw,44,,,,,-0.00450773419968775,-0.00177658318717139,0.00443485556754164,0.294776119402985,0.379746835443038,0.370748299319728,-0.00327705176137018,-0.00248258319335186,0.379746835443038,0.507768158009583,-0.000498889234084878,0.375,0.294117647058824
draw,45,,,,,-0.00457208767160433,-0.00179972184810495,-0.00622301244602491,0.294117647058824,0.413333333333333,0.407142857142857,-0.00358954067385363,-0.003354668000645,0.413333333333333,0.564499315380444,-0.000715017917624003,0.365853658536585,0.294117647058824
draw,46,,,,,-0.00994612702219544,-0.00367565866144304,-0.00906900050735671,0.36046511627907,0.494623655913978,0.475146198830409,0.0003345926929719,-0.000315308236275162,0.494623655913978,0.501805731981693,3.3822023726321e-05,0.48,0.555555555555556
draw,47,,,,,-0.011490350284044,-0.00464972364016042,-0.00750517598343681,0.28125,0.530864197530864,0.5,-0.00032102815669401,0.000237986782672524,0.530864197530864,0.516944484792339,-0.000347440619604811,0.538461538461538,0.444444444444444
draw,48,,,,,-0.00845404906606306,-0.00365987445196764,-0.0142026323844505,0.3,0.487179487179487,0.460597826086957,-0.000509456629918879,-0.000402495477359719,0.487179487179487,0.555121712213418,-0.000539819181674034,0.470588235294118,0.5625
draw,49,,,,,0.00193558652441561,0.00137785256181194,0.0176157082748948,0.268382352941176,0.452054794520548,0.44922480620155,-0.00201454041545877,-0.00157036185361521,0.452054794520548,0.597268106106926,0.000223631895176236,0.432432432432432,0.368421052631579
draw,50,,,,,0.0049227265274624,0.00246459249883668,0.00938578329882678,0.329218106995885,0.3875,0.375319693094629,-0.00166722219393282,-0.00162750252583809,0.3875,0.538820904035994,0.000403567536655323,0.380952380952381,0.45
draw,51,,,,,-0.000240928853515343,2.19991992116975e-05,0.00216372160115391,0.265151515151515,0.485714285714286,0.477477477477477,-0.000776705619727557,-0.000528061556203996,0.485714285714286,0.551036305343617,0.000418828571284651,0.454545454545455,0.571428571428571
draw,52,,,,,-0.00580138072281944,-0.00208939154753307,-0.00496495327102808,0.33195020746888,0.4125,0.401909150757077,-0.000348325470750751,-0.00078950414338748,0.4125,0.519952743607008,0.000633450910234667,0.48936170212766,0.571428571428571
draw,53,,,,,-0.00564315081416189,-0.00186512234904335,0.00504404660414892,0.33739837398374,0.44578313253012,0.445626477541371,-0.000980511785980481,-0.00157036185361521,0.44578313253012,0.525422293546137,0.000441403468240757,0.469387755102041,0.444444444444444
draw,54,,,,,-0.0175656787136816,-0.00776531310878886,-0.0245011366506693,0.287937743190661,0.405405405405405,0.40285071267817,-0.00246082535822295,-0.00303553691631264,0.405405405405405,0.545129602654314,-0.00135867889933052,0.351351351351351,0.266666666666667
draw,55,,,,,-0.010137023076811,-0.00438566889136599,-0.0105995886726783,0.321739130434783,0.459459459459459,0.43944099378882,-0.000756631859528934,-0.000402495477359719,0.459459459459459,0.519127705526496,-4.51390969107987e-05,0.484848484848485,0.5
draw,56,,,,,-0.0307175091516257,-0.0129329397313713,-0.032642089093702,0.323636363636364,0.404494382022472,0.397536687631027,-0.00211593248404932,-0.00159641251139287,0.404494382022472,0.534869445762018,0.000543906979331588,0.372093023255814,0.461538461538462
draw,57,,,,,0.00106053141969165,0.000661447814220562,-0.00472375029897149,0.305660377358491,0.444444444444444,0.388888888888889,-0.00218602162609635,-0.00162750252583809,0.444444444444444,0.547777455368023,0.000686541386234768,0.404761904761905,0.3125
draw,58,,,,,-0.011671608708353,-0.00515738964269902,-0.0196470196470198,0.304,0.473684210526316,0.472626472626473,0.00126397946232298,-0.000571655176746274,0.473684210526316,0.537989380497105,2.27990925829393e-05,0.538461538461538,0.666666666666667
draw,59,,,,,-0.000549783898350142,0.000528806245803537,0.0257116004296455,0.306451612903226,0.5,0.494444444444444,0.00025079974817595,-0.000449981309419431,0.5,0.608003448313194,0.000791653308084515,0.435897435897436,0.444444444444444
draw,60,,,,,-0.00706737083009135,-0.00241432620256654,-0.00160098522167484,0.296577946768061,0.5,0.491763898421414,0.00141661276953292,-3.86607268013191e-05,0.5,0.556883043694329,0.000260384563182267,0.511111111111111,0.6
draw,61,,,,,-0.0137319723987321,-0.0061095919963487,-0.0313617261494072,0.364341085271318,0.5,0.482613015399901,-0.000693939970322388,-3.86607268013191e-05,0.5,0.522401950453879,-0.00121975780836485,0.431818181818182,0.368421052631579
draw,62,,,,,-0.0114845588164602,-0.00479310673912536,-0.00553278688524589,0.361788617886179,0.382022471910112,0.379432624113475,-0.00247407129833689,-0.00162750252583809,0.382022471910112,0.496214475488388,0.000489154461301378,0.404761904761905,0.363636363636364
draw,63,,,,,0.00176634095020267,0.00113472682033972,0.0103855552538691,0.315789473684211,0.423076923076923,0.424342105263158,-0.00193070939781611,-0.00248258319335186,0.423076923076923,0.562782586533091,1.40384075979731e-05,0.384615384615385,0.294117647058824
draw,64,,,,,-0.00233540604097882,-0.000854688388061187,-0.0012193556667951,0.366795366795367,0.326315789473684,0.288095238095238,-0.00334520614681755,-0.0036920982922704,0.326315789473684,0.55007412540912,7.91216087614567e-05,0.294117647058824,0.318181818181818
draw,65,,,,,-0.00128147923462685,-0.000143368332052585,0.0172424044235686,0.250950570342205,0.484848484848485,0.488970588235294,-0.00146463833006974,-0.00119295832739017,0.484848484848485,0.605154903091322,0.000533626550663829,0.4375,0.363636363636364
draw,66,,,,,0.00162380667068807,0.00116500834906347,0.016902404526167,0.302904564315353,0.438356164383562,0.417682926829268,-0.00302462939253033,-0.00078950414338748,0.438356164383562,0.526668699050458,-0.00107146567007756,0.378378378378378,0.35
draw,67,,,,,0.00297477744016872,0.00136510987338345,0.0107060185185185,0.344398340248963,0.433734939759036,0.429941860465116,-0.00252926968420071,-0.003354668000645,0.433734939759036,0.540107347140266,-0.000375469074550842,0.382978723404255,0.357142857142857
draw,68,,,,,-0.0131359774117685,-0.00598851695918878,-0.0273531175059952,0.383966244725738,0.505494505494505,0.51625386996904,-0.000709440200634682,0.000237986782672524,0.505494505494505,0.530140027977583,6.02198010198023e-06,0.466666666666667,0.476190476190476
draw,69,,,,,-0.00251960355490555,-0.000850304219609688,0.00235849056603776,0.295546558704453,0.356164383561644,0.347542242703533,-0.00292583535683162,-0.00289845627547296,0.356164383561644,0.541527438842199,-7.73361383955385e-05,0.352941176470588,0.266666666666667
draw,70,,,,,0.00219070859309767,0.0009445822803687,0.00468729074594876,0.308,0.506493506493506,0.460729312762973,0.00204900508085496,0.000571706250022069,0.506493506493506,0.549725190493894,-0.000428566246483329,0.657894736842105,0.705882352941177
draw,71,,,,,0.00158439443829572,0.00155191333530674,0.0171109300430683,0.350746268656716,0.414893617021277,0.407888736890105,-0.00215186114873061,-0.00117993299850135,0.414893617021277,0.53269617828495,0.000573010076906842,0.377358490566038,0.4
draw,72,,,,,-0.0120262205935863,-0.00527971796763976,-0.0246623605402231,0.324894514767932,0.376623376623377,0.372289972899729,-0.00239008937913553,-0.00159641251139287,0.376623376623377,0.481142313417413,-0.000694587831793054,0.379310344827586,0.333333333333333
draw,73,,,,,-0.0128187367834182,-0.00546954727866097,-0.0167702667702668,0.262745098039216,0.552238805970149,0.553030303030303,0.00161410087126996,0.00220940324118753,0.552238805970149,0.579098247260375,0.000455959734446771,0.55,0.578947368421053
draw,74,,,,,0.007042815008519,0.00403129999433371,0.0367039025097926,0.258333333333333,0.403225806451613,0.402702702702703,-0.001875948905871,-0.00203949785237236,0.403225806451613,0.551575874120218,-0.00132166109465374,0.432432432432432,0.416666666666667
draw,75,,,,,0.0058173022297765,0.00313213888043262,0.0179200201207244,0.31640625,0.444444444444444,0.421290322580645,-0.00214433657741068,-0.00162750252583809,0.444444444444444,0.514343349864064,0.000523699214008438,0.4,0.3125
draw,76,,,,,-0.0104273942952433,-0.00522486736467143,-0.0363229004005703,0.299595141700405,0.432432432432432,0.421474358974359,-0.00234298419968225,-0.00247554025601893,0.432432432432432,0.568295135608093,0.000582036978251737,0.358974358974359,0.357142857142857
draw,77,,,,,0.00804544386436723,0.00372680032345796,0.0216346153846154,0.283950617283951,0.463768115942029,0.447089947089947,-0.000404663104045377,-0.00159641251139287,0.463768115942029,0.508847913461551,-0.00100340629562967,0.459459459459459,0.571428571428571
draw,78,,,,,-0.00518306787997291,-0.00194672067630092,0.00128269477441312,0.315018315018315,0.465116279069767,0.46482683982684,-0.00130766547031888,-0.00158338718250404,0.465116279069767,0.520164531130505,0.000567454784113114,0.465116279069767,0.421052631578947
draw,79,,,,,-0.0121882609653088,-0.00498403304731604,-0.0294745115652369,0.276752767527675,0.413333333333333,0.401515151515151,-0.00212551185875685,-0.00078950414338748,0.413333333333333,0.546100547749594,-0.000803407472109128,0.435897435897436,0.421052631578947
draw,80,,,,,-0.00560625470876253,-0.00252343081727263,-0.0100801068090787,0.27710843373494,0.521739130434783,0.469545454545455,-0.00114588440832529,0.000571706250022069,0.521739130434783,0.565006071208596,-0.000413270419730709,0.444444444444444,0.461538461538462
draw,81,,,,,-0.000587722206632613,0.000161418098167831,0.00977826745627319,0.252032520325203,0.629032258064516,0.604864864864865,0.00272718118656554,0.00482351329869838,0.629032258064516,0.612308261102945,0.000465087860260868,0.628571428571429,0.625
