period,analysis_level,subgroup_type,subgroup,quantity,estimate_type,n,sessions,estimate,lower_95,upper_95,status
assessment,fresh_high_tail_episode,phase_x_movement_consumed_bucket,PERSISTENT|HIGH,post_share_of_local_range_v1,median,0,0,,,,blocked_insufficient_support
assessment,fresh_high_tail_episode,phase_x_movement_consumed_bucket,RE_ENTRY|LOW_OR_EQUAL,future_absolute_10m,mean,3,3,0.003542398328657706,,,blocked_insufficient_support
assessment,fresh_high_tail_episode,phase_x_movement_consumed_bucket,RE_ENTRY|LOW_OR_EQUAL,future_absolute_10m,median,3,3,0.003781608416755335,,,blocked_insufficient_support
assessment,fresh_high_tail_episode,phase_x_movement_consumed_bucket,RE_ENTRY|LOW_OR_EQUAL,future_absolute_15m,mean,3,3,0.0028948555010934736,,,blocked_insufficient_support
assessment,fresh_high_tail_episode,phase_x_movement_consumed_bucket,RE_ENTRY|LOW_OR_EQUAL,future_absolute_15m,median,3,3,0.0030341110124010103,,,blocked_insufficient_support
assessment,fresh_high_tail_episode,phase_x_movement_consumed_bucket,RE_ENTRY|LOW_OR_EQUAL,post_share_of_local_range_v1,mean,3,3,0.45626725407529634,,,blocked_insufficient_support
assessment,fresh_high_tail_episode,phase_x_movement_consumed_bucket,RE_ENTRY|LOW_OR_EQUAL,post_share_of_local_range_v1,median,3,3,0.469010035032569,,,blocked_insufficient_support
assessment,fresh_high_tail_episode,phase_x_movement_consumed_bucket,RE_ENTRY|HIGH,future_absolute_10m,mean,43,31,0.00822128045138354,0.004899772430522057,0.011753933311052128,descriptive_support_available
assessment,fresh_high_tail_episode,phase_x_movement_consumed_bucket,RE_ENTRY|HIGH,future_absolute_10m,median,43,31,0.005969850376272778,0.0035439613834880373,0.00911448758392187,descriptive_support_available
assessment,fresh_high_tail_episode,phase_x_movement_consumed_bucket,RE_ENTRY|HIGH,future_absolute_15m,mean,43,31,0.007228551564842903,0.005263790071503093,0.009206830937007195,descriptive_support_available
assessment,fresh_high_tail_episode,phase_x_movement_consumed_bucket,RE_ENTRY|HIGH,future_absolute_15m,median,43,31,0.005831010279308274,0.0034964389714163824,0.00731856822105965,descriptive_support_available
assessment,fresh_high_tail_episode,phase_x_movement_consumed_bucket,RE_ENTRY|HIGH,post_share_of_local_range_v1,mean,43,31,0.4005403198849542,0.36031395087681345,0.43333307807321414,descriptive_support_available
assessment,fresh_high_tail_episode,phase_x_movement_consumed_bucket,RE_ENTRY|HIGH,post_share_of_local_range_v1,median,43,31,0.41597748535101964,0.34024779479211564,0.46166079445346553,descriptive_support_available
stress,high_tail_checkpoint,overall,ALL,future_absolute_10m,mean,1146,67,0.010486385949458993,0.009487822780161043,0.01152102264339223,descriptive_support_available
stress,high_tail_checkpoint,overall,ALL,future_absolute_10m,median,1146,67,0.008192907967029128,0.007306035966897143,0.009076280763837674,descriptive_support_available
stress,high_tail_checkpoint,overall,ALL,future_absolute_15m,mean,1146,67,0.012601271034953447,0.011411757013561286,0.013724242327025045,descriptive_support_available
