period,analysis_level,exclusion_dimension,excluded,subgroup_type,subgroup,quantity,n,sessions,mean,median,status
assessment,high_tail_checkpoint,stock,AAL,movement_consumed_bucket,HIGH,future_absolute_10m,806,125,0.010304679033939449,0.007921087825776522,descriptive_support_available
assessment,high_tail_checkpoint,stock,AAL,movement_consumed_bucket,HIGH,future_absolute_15m,806,125,0.012332021562131047,0.009654060739027866,descriptive_support_available
assessment,high_tail_checkpoint,stock,AAL,movement_consumed_bucket,HIGH,post_share_of_local_range_v1,806,125,0.4138697463299783,0.40815183087617246,descriptive_support_available
assessment,high_tail_checkpoint,stock,AAOI,phase,FIRST_ENTRY,future_absolute_10m,357,124,0.009959978736100503,0.007640705327911892,descriptive_support_available
assessment,high_tail_checkpoint,stock,AAOI,phase,FIRST_ENTRY,future_absolute_15m,357,124,0.0113003885342764,0.008447352538457685,descriptive_support_available
assessment,high_tail_checkpoint,stock,AAOI,phase,FIRST_ENTRY,post_share_of_local_range_v1,357,124,0.42134788029804987,0.4215770430914057,descriptive_support_available
assessment,high_tail_checkpoint,stock,AAOI,phase,PERSISTENT,future_absolute_10m,447,79,0.009906312012911452,0.007930517544873875,descriptive_support_available
assessment,high_tail_checkpoint,stock,AAOI,phase,PERSISTENT,future_absolute_15m,447,79,0.012572551136914483,0.009816174106191256,descriptive_support_available
assessment,high_tail_checkpoint,stock,AAOI,phase,PERSISTENT,post_share_of_local_range_v1,447,79,0.41236464063519485,0.4039587941182495,descriptive_support_available
assessment,high_tail_checkpoint,stock,AAOI,phase,RE_ENTRY,future_absolute_10m,64,43,0.008252312830191165,0.005547499292584137,descriptive_support_available
assessment,high_tail_checkpoint,stock,AAOI,phase,RE_ENTRY,future_absolute_15m,64,43,0.008361913940699182,0.006379304845957848,descriptive_support_available
assessment,high_tail_checkpoint,stock,AAOI,phase,RE_ENTRY,post_share_of_local_range_v1,64,43,0.4040202377312172,0.41384812623420364,descriptive_support_available
assessment,high_tail_checkpoint,stock,AAOI,movement_consumed_bucket,LOW_OR_EQUAL,future_absolute_10m,20,17,0.005926770515816667,0.004172831496079089,blocked_insufficient_support
assessment,high_tail_checkpoint,stock,AAOI,movement_consumed_bucket,LOW_OR_EQUAL,future_absolute_15m,20,17,0.007526530652811898,0.004391076866437823,blocked_insufficient_support
assessment,high_tail_checkpoint,stock,AAOI,movement_consumed_bucket,LOW_OR_EQUAL,post_share_of_local_range_v1,20,17,0.5363480355108735,0.5321633498169792,blocked_insufficient_support
assessment,high_tail_checkpoint,stock,AAOI,movement_consumed_bucket,HIGH,future_absolute_10m,848,124,0.009897932180866983,0.007709397047477311,descriptive_support_available
assessment,high_tail_checkpoint,stock,AAOI,movement_consumed_bucket,HIGH,future_absolute_15m,848,124,0.011838208660478727,0.009051616657316661,descriptive_support_available
assessment,high_tail_checkpoint,stock,AAOI,movement_consumed_bucket,HIGH,post_share_of_local_range_v1,848,124,0.41259259685721267,0.40815183087617246,descriptive_support_available
assessment,high_tail_checkpoint,stock,APLD,phase,FIRST_ENTRY,future_absolute_10m,358,125,0.009941008342484996,0.007576588240423432,descriptive_support_available
assessment,high_tail_checkpoint,stock,APLD,phase,FIRST_ENTRY,future_absolute_15m,358,125,0.01145424977761989,0.009020453655535348,descriptive_support_available
assessment,high_tail_checkpoint,stock,APLD,phase,FIRST_ENTRY,post_share_of_local_range_v1,358,125,0.42261445586496105,0.4218487055640322,descriptive_support_available
assessment,high_tail_checkpoint,stock,APLD,phase,PERSISTENT,future_absolute_10m,430,78,0.009594563613725612,0.007791314309733529,descriptive_support_available
assessment,high_tail_checkpoint,stock,APLD,phase,PERSISTENT,future_absolute_15m,430,78,0.012040004537125299,0.009400740048106693,descriptive_support_available
assessment,high_tail_checkpoint,stock,APLD,phase,PERSISTENT,post_share_of_local_range_v1,430,78,0.4115406339654942,0.403459033886261,descriptive_support_available
assessment,high_tail_checkpoint,stock,APLD,phase,RE_ENTRY,future_absolute_10m,64,43,0.008142397340199921,0.00528775622172032,descriptive_support_available
assessment,high_tail_checkpoint,stock,APLD,phase,RE_ENTRY,future_absolute_15m,64,43,0.008308774814908488,0.006379304845957848,descriptive_support_available
assessment,high_tail_checkpoint,stock,APLD,phase,RE_ENTRY,post_share_of_local_range_v1,64,43,0.4020648550483904,0.4103964945452278,descriptive_support_available
assessment,high_tail_checkpoint,stock,APLD,movement_consumed_bucket,LOW_OR_EQUAL,future_absolute_10m,20,17,0.005926770515816667,0.004172831496079089,blocked_insufficient_support
assessment,high_tail_checkpoint,stock,APLD,movement_consumed_bucket,LOW_OR_EQUAL,future_absolute_15m,20,17,0.007526530652811898,0.004391076866437823,blocked_insufficient_support
assessment,high_tail_checkpoint,stock,APLD,movement_consumed_bucket,LOW_OR_EQUAL,post_share_of_local_range_v1,20,17,0.5363480355108735,0.5321633498169792,blocked_insufficient_support
assessment,high_tail_checkpoint,stock,APLD,movement_consumed_bucket,HIGH,future_absolute_10m,832,125,0.009720097788423202,0.007635275910274104,descriptive_support_available
assessment,high_tail_checkpoint,stock,APLD,movement_consumed_bucket,HIGH,future_absolute_15m,832,125,0.011609440320252047,0.008982955160941473,descriptive_support_available
