period,analysis_level,comparison,group_a,group_b,quantity,estimate_type,n_a,n_b,sessions_a,sessions_b,estimate_a_minus_b,lower_95,upper_95,status
assessment,fresh_high_tail_episode,LOW_OR_EQUAL_minus_HIGH,LOW_OR_EQUAL,HIGH,future_absolute_15m,mean,8,409,8,126,-0.0025390075175323844,,,blocked_insufficient_support
assessment,fresh_high_tail_episode,LOW_OR_EQUAL_minus_HIGH,LOW_OR_EQUAL,HIGH,future_absolute_15m,median,8,409,8,126,-0.0020601362724611176,,,blocked_insufficient_support
assessment,fresh_high_tail_episode,LOW_OR_EQUAL_minus_HIGH,LOW_OR_EQUAL,HIGH,post_share_of_local_range_v1,mean,8,409,8,126,0.13139613290992286,,,blocked_insufficient_support
assessment,fresh_high_tail_episode,LOW_OR_EQUAL_minus_HIGH,LOW_OR_EQUAL,HIGH,post_share_of_local_range_v1,median,8,409,8,126,0.13528799812432635,,,blocked_insufficient_support
stress,high_tail_checkpoint,FIRST_ENTRY_minus_PERSISTENT,FIRST_ENTRY,PERSISTENT,future_absolute_10m,mean,455,594,67,57,0.00014439413432553588,-0.00187160410934305,0.0022510198317904156,descriptive_support_available
stress,high_tail_checkpoint,FIRST_ENTRY_minus_PERSISTENT,FIRST_ENTRY,PERSISTENT,future_absolute_10m,median,455,594,67,57,0.0003938635415692733,-0.0013936537462282271,0.0020364201192210637,descriptive_support_available
stress,high_tail_checkpoint,FIRST_ENTRY_minus_PERSISTENT,FIRST_ENTRY,PERSISTENT,future_absolute_15m,mean,455,594,67,57,-0.0004055188969677905,-0.0025325631975185434,0.0018327825950380427,descriptive_support_available
stress,high_tail_checkpoint,FIRST_ENTRY_minus_PERSISTENT,FIRST_ENTRY,PERSISTENT,future_absolute_15m,median,455,594,67,57,-0.00062544284904603,-0.0022700242379454978,0.0016144203697401828,descriptive_support_available
stress,high_tail_checkpoint,FIRST_ENTRY_minus_PERSISTENT,FIRST_ENTRY,PERSISTENT,post_share_of_local_range_v1,mean,455,594,67,57,-0.0021459227609754716,-0.014955656191657066,0.012262087301440657,descriptive_support_available
stress,high_tail_checkpoint,FIRST_ENTRY_minus_PERSISTENT,FIRST_ENTRY,PERSISTENT,post_share_of_local_range_v1,median,455,594,67,57,0.003551346550443313,-0.016081318854568122,0.02324088356890331,descriptive_support_available
stress,high_tail_checkpoint,FIRST_ENTRY_minus_RE_ENTRY,FIRST_ENTRY,RE_ENTRY,future_absolute_10m,mean,455,97,67,43,0.0027523501415492643,0.0008290150033430089,0.004913509184514171,descriptive_support_available
stress,high_tail_checkpoint,FIRST_ENTRY_minus_RE_ENTRY,FIRST_ENTRY,RE_ENTRY,future_absolute_10m,median,455,97,67,43,0.004136955197549034,0.001545225539552564,0.005393871768930519,descriptive_support_available
stress,high_tail_checkpoint,FIRST_ENTRY_minus_RE_ENTRY,FIRST_ENTRY,RE_ENTRY,future_absolute_15m,mean,455,97,67,43,0.003399725146319749,0.0009830917433678234,0.0055105644553944,descriptive_support_available
stress,high_tail_checkpoint,FIRST_ENTRY_minus_RE_ENTRY,FIRST_ENTRY,RE_ENTRY,future_absolute_15m,median,455,97,67,43,0.002558446033069188,5.927208132013252e-05,0.004511060399336405,descriptive_support_available
stress,high_tail_checkpoint,FIRST_ENTRY_minus_RE_ENTRY,FIRST_ENTRY,RE_ENTRY,post_share_of_local_range_v1,mean,455,97,67,43,0.004505983049923279,-0.02140843523812363,0.032211118948545406,descriptive_support_available
stress,high_tail_checkpoint,FIRST_ENTRY_minus_RE_ENTRY,FIRST_ENTRY,RE_ENTRY,post_share_of_local_range_v1,median,455,97,67,43,-0.0023991668898544205,-0.03218920759122601,0.039157910534932894,descriptive_support_available
stress,high_tail_checkpoint,PERSISTENT_minus_RE_ENTRY,PERSISTENT,RE_ENTRY,future_absolute_10m,mean,594,97,57,43,0.0026079560072237284,0.0005471880602065034,0.004644036181271147,descriptive_support_available
stress,high_tail_checkpoint,PERSISTENT_minus_RE_ENTRY,PERSISTENT,RE_ENTRY,future_absolute_10m,median,594,97,57,43,0.0037430916559797606,0.0010694473463958272,0.004948809520510793,descriptive_support_available
stress,high_tail_checkpoint,PERSISTENT_minus_RE_ENTRY,PERSISTENT,RE_ENTRY,future_absolute_15m,mean,594,97,57,43,0.0038052440432875395,0.0015388901056913571,0.0058673356890758255,descriptive_support_available
stress,high_tail_checkpoint,PERSISTENT_minus_RE_ENTRY,PERSISTENT,RE_ENTRY,future_absolute_15m,median,594,97,57,43,0.003183888882115218,0.0008677588956604104,0.00479359427174813,descriptive_support_available
stress,high_tail_checkpoint,PERSISTENT_minus_RE_ENTRY,PERSISTENT,RE_ENTRY,post_share_of_local_range_v1,mean,594,97,57,43,0.0066519058108987505,-0.016810401826129008,0.03254517963633607,descriptive_support_available
stress,high_tail_checkpoint,PERSISTENT_minus_RE_ENTRY,PERSISTENT,RE_ENTRY,post_share_of_local_range_v1,median,594,97,57,43,-0.005950513440297733,-0.03283544951322951,0.03208427049066603,descriptive_support_available
stress,high_tail_checkpoint,LOW_OR_EQUAL_minus_HIGH,LOW_OR_EQUAL,HIGH,future_absolute_10m,mean,35,1111,22,67,-0.004042081673488889,-0.0060252318511809,-0.0014663842361612575,descriptive_support_available
stress,high_tail_checkpoint,LOW_OR_EQUAL_minus_HIGH,LOW_OR_EQUAL,HIGH,future_absolute_10m,median,35,1111,22,67,-0.002671298601015187,-0.00567130638487626,0.0013803526106888223,descriptive_support_available
stress,high_tail_checkpoint,LOW_OR_EQUAL_minus_HIGH,LOW_OR_EQUAL,HIGH,future_absolute_15m,mean,35,1111,22,67,-0.005581911296929455,-0.007969235020788947,-0.0024736300615494115,descriptive_support_available
stress,high_tail_checkpoint,LOW_OR_EQUAL_minus_HIGH,LOW_OR_EQUAL,HIGH,future_absolute_15m,median,35,1111,22,67,-0.003855020468334136,-0.006087695752860977,0.000772152846566902,descriptive_support_available
stress,high_tail_checkpoint,LOW_OR_EQUAL_minus_HIGH,LOW_OR_EQUAL,HIGH,post_share_of_local_range_v1,mean,35,1111,22,67,0.10540996850437101,0.06885347951910997,0.15337923189783806,descriptive_support_available
stress,high_tail_checkpoint,LOW_OR_EQUAL_minus_HIGH,LOW_OR_EQUAL,HIGH,post_share_of_local_range_v1,median,35,1111,22,67,0.11385517158328268,0.0727843865097352,0.15308999395747247,descriptive_support_available
stress,fresh_high_tail_episode,FIRST_ENTRY_minus_PERSISTENT,FIRST_ENTRY,PERSISTENT,future_absolute_10m,mean,455,0,67,0,,,,blocked_insufficient_support
stress,fresh_high_tail_episode,FIRST_ENTRY_minus_PERSISTENT,FIRST_ENTRY,PERSISTENT,future_absolute_10m,median,455,0,67,0,,,,blocked_insufficient_support
