model_name,target_lead_sessions,probability_bin,forecasts,mean_predicted_probability,observed_positive_rate,mean_target_payoff_bps
v1_60_session_selector,0,"(0.2, 0.3]",35,0.274236713214,0.542857142857,46.5538306434
v1_60_session_selector,0,"(0.3, 0.4]",243,0.361238887746,0.452674897119,-17.456954385
v1_60_session_selector,0,"(0.4, 0.5]",1128,0.45572296483,0.460992907801,-4.2405208379
v1_60_session_selector,0,"(0.5, 0.6]",1012,0.539839955009,0.47233201581,-1.73389265808
v1_60_session_selector,0,"(0.6, 0.7]",294,0.649793804574,0.513605442177,10.8193704538
v1_60_session_selector,0,"(0.7, 0.8]",72,0.727890469491,0.347222222222,-53.0883968937
v1_60_session_selector,0,"(0.8, 0.9]",17,0.82093600294,0.588235294118,-51.0017203321
v1_60_session_selector,1,"(0.2, 0.3]",38,0.274944428063,0.473684210526,14.2207918442
v1_60_session_selector,1,"(0.3, 0.4]",237,0.36162872835,0.476793248945,-3.60665424731
v1_60_session_selector,1,"(0.4, 0.5]",1135,0.455999546599,0.459030837004,-4.4386429806
v1_60_session_selector,1,"(0.5, 0.6]",998,0.540067220048,0.468937875752,-4.73167435914
v1_60_session_selector,1,"(0.6, 0.7]",289,0.650966918976,0.498269896194,13.0136654043
v1_60_session_selector,1,"(0.7, 0.8]",72,0.728684447891,0.444444444444,-34.3641327163
v1_60_session_selector,1,"(0.8, 0.9]",18,0.823036436312,0.5,-84.7007195047
v1_60_session_selector,2,"(0.2, 0.3]",37,0.274747533706,0.432432432432,21.3502601432
v1_60_session_selector,2,"(0.3, 0.4]",236,0.361880228765,0.457627118644,-17.0645366663
v1_60_session_selector,2,"(0.4, 0.5]",1136,0.455835575068,0.463908450704,-2.25640654665
v1_60_session_selector,2,"(0.5, 0.6]",984,0.539669795388,0.468495934959,-3.85966403652
v1_60_session_selector,2,"(0.6, 0.7]",283,0.650981157499,0.480565371025,3.54611662869
v1_60_session_selector,2,"(0.7, 0.8]",74,0.729809320787,0.472972972973,-20.212451037
v1_60_session_selector,2,"(0.8, 0.9]",19,0.827068097358,0.421052631579,-110.385574522
v1_60_session_selector,3,"(0.2, 0.3]",38,0.275288418699,0.5,43.9838157047
v1_60_session_selector,3,"(0.3, 0.4]",229,0.362305689185,0.458515283843,-17.9692331341
v1_60_session_selector,3,"(0.4, 0.5]",1135,0.455818811543,0.460792951542,-3.46043658002
v1_60_session_selector,3,"(0.5, 0.6]",981,0.539935386945,0.470948012232,-2.96739240699
v1_60_session_selector,3,"(0.6, 0.7]",278,0.65144227211,0.482014388489,1.19551682395
v1_60_session_selector,3,"(0.7, 0.8]",70,0.729429789064,0.5,-2.45760835306
v1_60_session_selector,3,"(0.8, 0.9]",21,0.824726801515,0.380952380952,-113.399823923
v1_60_session_selector,5,"(0.2, 0.3]",39,0.276177756021,0.461538461538,21.3872717625
v1_60_session_selector,5,"(0.3, 0.4]",226,0.361399019484,0.46017699115,-11.5212771489
v1_60_session_selector,5,"(0.4, 0.5]",1109,0.455037292764,0.455365193868,-5.9813922909
v1_60_session_selector,5,"(0.5, 0.6]",982,0.539487375641,0.479633401222,-0.306541502124
v1_60_session_selector,5,"(0.6, 0.7]",275,0.651336823525,0.450909090909,-11.0170831582
v1_60_session_selector,5,"(0.7, 0.8]",69,0.729146574095,0.492753623188,-8.14728257867
v1_60_session_selector,5,"(0.8, 0.9]",22,0.824949898948,0.454545454545,-73.3451897871
