symbol,signal_date,required_options_date,previous_close_underlying_price,price_source,source_available,inferred_split_on_signal_date,split_boundary_ambiguous,provider_moneyness_check
APLD,2024-08-29,2024-08-28,4.409999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-08-30,2024-08-29,3.819999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-09-03,2024-08-30,3.65,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-09-04,2024-09-03,3.15,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-09-05,2024-09-04,3.24,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-09-06,2024-09-05,5.369999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-09-09,2024-09-06,4.55,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-09-10,2024-09-09,6.579999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-09-11,2024-09-10,6.44,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-09-12,2024-09-11,5.869999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-09-13,2024-09-12,6.019999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-09-16,2024-09-13,6.09,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-09-17,2024-09-16,5.889999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-09-18,2024-09-17,5.809999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-09-19,2024-09-18,6.07,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-09-20,2024-09-19,5.559999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-09-23,2024-09-20,6.019999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-09-24,2024-09-23,6.699999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-09-25,2024-09-24,7.079999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-09-26,2024-09-25,7.67,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-09-27,2024-09-26,8.25,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-09-30,2024-09-27,8.189999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-10-01,2024-09-30,8.25,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-10-02,2024-10-01,8.079999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-10-03,2024-10-02,8.189999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-10-04,2024-10-03,8.039999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-10-07,2024-10-04,7.449999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-10-08,2024-10-07,7.099999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-10-09,2024-10-08,7.849999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-10-10,2024-10-09,7.4,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-10-11,2024-10-10,6.889999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-10-14,2024-10-11,7.28,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-10-15,2024-10-14,7.55,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-10-16,2024-10-15,7.3,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-10-17,2024-10-16,8.05,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-10-18,2024-10-17,7.949999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
