strategy,period,scope,group_type,group_value,status,blocker,trades,sessions,stocks,months,total_entry_debit,mean_net_pnl,median_net_pnl,trimmed_mean_net_pnl,mean_return_on_debit,median_return_on_debit,win_rate,full_loss_rate,maximum_gain,maximum_loss,return_p05,return_p25,return_p75,return_p95,matched_control_excess,maximum_stock_share,maximum_month_share,top_5pct_positive_pnl_contribution
S1,assessment,subgroup,spread_group,tight,not_supported,,161,76,15,8,75994.5,-26.7142857142857,-19,-22.6201550387597,-0.0871312842799666,-0.135593220338983,0.180124223602484,0,1737,-788,-0.31937984496124,-0.214886137857252,-0.0421052631578947,0.318840579710145,,0.124223602484472,0.211180124223602,0.932317778634786
S1,assessment,subgroup,spread_group,wide,not_supported,,35,26,9,8,5752.5,-5.22857142857143,-12.0000000000001,-11.3103448275862,-0.049573906107177,-0.102189781021898,0.228571428571429,0,178,-72,-0.36297520661157,-0.198460757119975,-0.0106542792333917,0.379758890442537,,0.314285714285714,0.2,0.72
S1,assessment,subgroup,large_underlying_movement,False,not_supported,,157,77,15,8,67354.5,-52.2866242038217,-21,-25.7086614173228,-0.15181171171621,-0.154874328054627,0.089171974522293,0,847.000000000001,-788,-0.353575278476464,-0.229299363057325,-0.0786369593709042,0.0222024160484854,,0.127388535031847,0.222929936305732,0.98922056384743
S1,assessment,subgroup,large_underlying_movement,True,not_supported,,39,26,12,8,14392.5,95.5128205128205,11,30.2727272727273,0.206954237349209,0.0693333333333334,0.58974358974359,0,1737,-318,-0.232868217054264,-0.0797814207650272,0.315688349665742,0.879680748309695,,0.205128205128205,0.256410256410256,0.68568129330254
S1,assessment,subgroup,previous_close_iv_group,low,not_supported,,68,52,13,8,12482,-16.5,-16,-18.6428571428571,-0.0830906357418881,-0.1299727759726,0.220588235294118,0,178,-155,-0.387140429748087,-0.210111893907998,-0.0237424731552075,0.259602731843995,,0.294117647058824,0.176470588235294,0.78441127694859
S1,assessment,subgroup,previous_close_iv_group,very_low,not_supported,,128,65,12,8,69265,-26.265625,-19,-21.2980769230769,-0.0790082832216986,-0.129107006725188,0.171875,0,1737,-788,-0.310063474389921,-0.216293907312627,-0.0343514193316564,0.427928392114429,,0.140625,0.2421875,0.9353334684776
S1,assessment,subgroup,recent_registered_completion_prior_6,False,not_supported,,173,78,15,8,70580.5,-12.9421965317919,-17.9999999999999,-18.7913669064748,-0.0692640693982544,-0.120857699805068,0.202312138728324,0,1737,-788,-0.324224592059617,-0.201729106628242,-0.028436018957346,0.338704050649267,,0.132947976878613,0.213872832369942,0.904674273095326
S1,assessment,subgroup,recent_registered_completion_prior_6,True,not_supported,,23,19,9,7,11166.5,-97.6086956521739,-22,-53.2105263157895,-0.164371281605556,-0.210526315789474,0.0869565217391304,0,91,-703,-0.343781309599491,-0.26280193236715,-0.113315452308647,0.10162449000025,,0.217391304347826,0.391304347826087,1
S2_ALL,development,overall,overall,all,blocked_direction_mapping_unavailable,blocked_direction_mapping_unavailable,,,,,,,,,,,,,,,,,,,,,,
S2_ALL,assessment,overall,overall,all,blocked_direction_mapping_unavailable,blocked_direction_mapping_unavailable,,,,,,,,,,,,,,,,,,,,,,
