scope,period,horizon_bars,direction,events,sessions,stocks,mean_bps,median_bps,trimmed_mean_10pct_bps,positive_rate,standard_error_bps,raw_opening_pressure_return_after_20bps,cohort_relative_return_after_20bps,excess_vs_matched_control_bps,matched_control_coverage,maximum_stock_share,maximum_month_share,hidden_family_class,assessment_events,rough_screen_positive,q_value
OTHER_UNREGISTERED_FAMILY,development,12,opposite_opening_pressure_direction,1038,227,20,-31.2917661783247,-20,-29.2320498587119,0.421001926782274,5.11932346965982,-8.70823382167528,-12.0367932673102,2.29969700374845,0.991329479768786,0.081888246628131,0.161302057835527,,,,
unregistered_primitive_like__5-6-5,assessment,6,opening_pressure_direction,597,125,20,-0.308789995446492,4.75852230022779,3.38927399582117,0.512562814070352,7.17027382739924,-0.308789995446492,-10.384894668955,15.9426065225383,0.988274706867672,0.0820770519262982,0.250854746641306,unregistered_primitive_like__5-6-5,597,False,1
unregistered_primitive_like__2-3-2,assessment,6,opening_pressure_direction,211,94,20,-27.8825489607104,-24.9122805786395,-29.8930037868566,0.322274881516588,5.62753723887084,-27.8825489607104,-24.0798995823752,-6.11406829631755,0.995260663507109,0.151658767772512,0.216196636412084,unregistered_primitive_like__2-3-2,211,False,1
unregistered_primitive_like__2-5-2,assessment,6,opening_pressure_direction,75,52,20,-23.6242879802476,-19.3537964458801,-19.7356415439613,0.426666666666667,13.9418856149699,-23.6242879802476,-20.2116917498018,-2.28501071238488,0.986666666666667,0.213333333333333,0.388817391919941,unregistered_primitive_like__2-5-2,75,False,1
unregistered_primitive_like__4-7-4,assessment,6,opening_pressure_direction,74,53,17,-14.5861784079475,-2.82433454390494,-9.81158162929533,0.472972972972973,21.3142311056449,-14.5861784079475,-4.10117474354654,19.104777012105,0.986486486486487,0.135135135135135,0.390283535535945,unregistered_primitive_like__4-7-4,74,False,1
OTHER_UNREGISTERED_FAMILY,assessment,6,opening_pressure_direction,684,147,20,-16.1901508583575,-18.6347410391402,-15.3293765447665,0.412280701754386,4.5589654438088,-16.1901508583575,-16.9385370877046,3.07601192413064,0.994152046783626,0.0774853801169591,0.216463561730738,,,,
unregistered_primitive_like__5-6-5,assessment,6,completion_momentum_direction,597,125,20,-14.7697557756003,-12.4442429737081,-15.0808266362149,0.462311557788945,7.21231620980502,-0.308789995446492,-10.384894668955,15.9426065225383,0.988274706867672,0.0820770519262982,0.250854746641306,unregistered_primitive_like__5-6-5,597,False,1
unregistered_primitive_like__2-3-2,assessment,6,completion_momentum_direction,211,94,20,-23.2191047547526,-17.2461452986283,-21.7057393980015,0.383886255924171,5.64939894460772,-27.8825489607104,-24.0798995823752,-6.11406829631755,0.995260663507109,0.151658767772512,0.216196636412084,unregistered_primitive_like__2-3-2,211,False,1
unregistered_primitive_like__2-5-2,assessment,6,completion_momentum_direction,75,52,20,-19.1911981666097,-19.3537964458801,-14.6991058546032,0.453333333333333,13.9479332073643,-23.6242879802476,-20.2116917498018,-2.28501071238488,0.986666666666667,0.213333333333333,0.388817391919941,unregistered_primitive_like__2-5-2,75,False,1
unregistered_primitive_like__4-7-4,assessment,6,completion_momentum_direction,74,53,17,-14.6514179942869,-11.6170851599123,-15.7157608131716,0.459459459459459,21.314456735024,-14.5861784079475,-4.10117474354654,19.104777012105,0.986486486486487,0.135135135135135,0.390283535535945,unregistered_primitive_like__4-7-4,74,False,1
OTHER_UNREGISTERED_FAMILY,assessment,6,completion_momentum_direction,684,147,20,-28.7677718593054,-23.9986458016977,-27.9567204407069,0.385964912280702,4.54894102988811,-16.1901508583575,-16.9385370877046,3.07601192413064,0.994152046783626,0.0774853801169591,0.216463561730738,,,,
unregistered_primitive_like__5-6-5,assessment,6,opposite_opening_pressure_direction,597,125,20,-39.6912100045535,-44.7585223002278,-43.3892739958212,0.38358458961474,7.17027382739924,-0.308789995446492,-10.384894668955,15.9426065225383,0.988274706867672,0.0820770519262982,0.250854746641306,unregistered_primitive_like__5-6-5,597,False,1
