experiment_model_version,data_snapshot_id,contract_hash,experiment_run_id,dimension,key,net_contribution_bps,absolute_contribution_share,rank,herfindahl
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,source_state_vector,"{""two_transition_return_cycle__state_0"":[""active""],""two_transition_return_cycle__state_3"":[""active""],""two_transition_return_cycle__state_4"":[""active""],""two_transition_return_cycle__state_5"":[""active""]}",-281.274006084,0.00911891201705,5,0.337364361299
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,source_state_vector,"{""two_transition_return_cycle__state_3"":[""active""],""two_transition_return_cycle__state_4"":[""active""],""two_transition_return_cycle__state_5"":[""active""],""two_transition_return_cycle__state_7"":[""active""]}",-397.344969563,0.0128819362596,6,0.337364361299
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,source_state_vector,"{""two_transition_return_cycle__state_0"":[""newly_decaying""],""two_transition_return_cycle__state_3"":[""newly_decaying""],""two_transition_return_cycle__state_4"":[""active""],""two_transition_return_cycle__state_5"":[""active""]}",-423.47305781,0.0137290096924,7,0.337364361299
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,source_state_vector,"{""two_transition_return_cycle__state_5"":[""active""]}",-1514.09462817,0.0490869948916,8,0.337364361299
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,source_state_vector,"{""two_transition_return_cycle__state_4"":[""newly_decaying""],""two_transition_return_cycle__state_5"":[""newly_decaying""]}",-1683.89591149,0.054591957773,9,0.337364361299
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,source_state_vector,"{""two_transition_return_cycle__state_0"":[""newly_retired""]}",-2357.73270126,0.0764377674347,10,0.337364361299
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,source_state_vector,"{""two_transition_return_cycle__state_4"":[""active""],""two_transition_return_cycle__state_5"":[""active""]}",-3406.71098805,0.110445676087,11,0.337364361299
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,source_state_vector,{},-17121.4374324,0.555077533558,12,0.337364361299
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,pair,cycle_10,233.652076975,0.00972357359669,1,0.793298889917
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,pair,cycle_09,17.6706035433,0.000735372936869,2,0.793298889917
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,pair,cycle_13,-170.655812954,0.00710194567255,3,0.793298889917
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,pair,cycle_11,-434.2984516,0.0180735947727,4,0.793298889917
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,pair,cycle_07,-1857.9776949,0.07732087423,5,0.793298889917
directed_economic_loop_regime_rotation_v1.0.0,728b145c73c2f82fe2ba707a077a9ff52f597e065876ded40790f0818c5de684,f982891bfb8e3b539ed5f6816b71b94a92979b57ae8a29dd121cfa888805a813,directed-rotation-02cbec96e5441a5217116e74,pair,cycle_06,-21315.1903631,0.887044638791,6,0.793298889917
