partition,session,checkpoint,market_proxy_v1,market_shock_state_v1,market_shock_event_id_v1,shock_sign_v1,market_return_w0_v1,market_range_w0_v1,market_return_w1_v1,market_range_w1_v1,fresh_high_m1c_episode_count,represented_stock_count,amplifying_episode_count,resisting_episode_count,neutral_exact_episode_count
development,2024-03-06,10,VTI,POSITIVE_SHOCK_ONSET,market-shock-v1-7db92949ea986ea80d4109df,1.0,0.0015409237162172136,0.0027270168771192215,-0.002290778732899302,0.002722094446106641,0,0,0,0,0
development,2024-03-08,20,VTI,NEGATIVE_SHOCK_ONSET,market-shock-v1-7dbad4fca0feb1ec412ac2ee,-1.0,-0.003619846978718189,0.004085959475767374,0.000621853881078331,0.001710473193832863,0,0,0,0,0
development,2024-03-08,30,VTI,NEGATIVE_SHOCK_ONSET,market-shock-v1-a32c276a77fc949e380615db,-1.0,-0.001642028636001225,0.0019550170328670627,0.0006252354473707467,0.0022671693679205407,0,0,0,0,0
development,2024-03-08,34,VTI,NEGATIVE_SHOCK_ONSET,market-shock-v1-f0c2e1fc4615fe8b3214d4a2,-1.0,-0.0010366000585475053,0.0024197684508975854,0.0003127690799148611,0.0022488907102182092,0,0,0,0,0
development,2024-03-11,18,VTI,POSITIVE_SHOCK_ONSET,market-shock-v1-e62ebdedfa575b9334ce811a,1.0,0.0020124900701300507,0.0029596912192146087,0.0007903145769912243,0.0017774855038808612,0,0,0,0,0
development,2024-03-11,28,VTI,POSITIVE_SHOCK_ONSET,market-shock-v1-b6dc9fa24ee2ad677e0b8452,1.0,0.0015390385657211387,0.0017985611000835495,-0.0010656970732384914,0.0016385241007381198,0,0,0,0,0
development,2024-03-12,8,VTI,POSITIVE_SHOCK_ONSET,market-shock-v1-d272ad06b30581004d7782a2,1.0,0.002926175234466669,0.0034544629180133513,0.0011413229163121114,0.0024806777872466105,0,0,0,0,0
development,2024-03-12,12,VTI,POSITIVE_SHOCK_ONSET,market-shock-v1-48ba6f84e6c147eb614e586a,1.0,0.0027022829769895555,0.0028591994769842765,0.00011765466962453862,0.0017061219458055971,0,0,0,0,0
development,2024-03-12,22,VTI,POSITIVE_SHOCK_ONSET,market-shock-v1-80184ea9275f5593b360f469,1.0,0.0014399450315741072,0.0020978740928239772,-0.000972383993399242,0.0016395983007748336,0,0,0,0,0
development,2024-03-12,28,VTI,NEGATIVE_SHOCK_ONSET,market-shock-v1-74843d324fb6ee71468c2a78,-1.0,-0.0013280164121513638,0.00222654723722289,-0.0004245585543150324,0.001053677383856547,0,0,0,0,0
development,2024-03-14,24,VTI,NEGATIVE_SHOCK_ONSET,market-shock-v1-429afa95c5837438e5d5b66c,-1.0,-0.001450876119043036,0.00239024041833253,0.0007029947587315227,0.0014094159406507307,0,0,0,0,0
development,2024-03-14,32,VTI,NEGATIVE_SHOCK_ONSET,market-shock-v1-e26e70938782b1f497782386,-1.0,-0.0014700840998733591,0.002429829505160568,5.875797109394754e-05,0.001175376263424513,0,0,0,0,0
development,2024-03-14,34,VTI,NEGATIVE_SHOCK_ONSET,market-shock-v1-5e7f3674586a4e5464e6a925,-1.0,-0.0012937959100445691,0.0016467969498677357,0.00021548378416466667,0.0014885814494013125,0,0,0,0,0
development,2024-03-15,16,VTI,POSITIVE_SHOCK_ONSET,market-shock-v1-3949f0d363c5c76bc3d3d507,1.0,0.0024101802626114925,0.002633066237501024,0.0002363088700336609,0.0015355845248814825,0,0,0,0,0
development,2024-03-15,20,VTI,NEGATIVE_SHOCK_ONSET,market-shock-v1-89ee1007bbb451b38c4879f9,-1.0,-0.001415372765595271,0.0020836987719491324,0.0009826851755410063,0.0013682730661357394,0,0,0,0,0
development,2024-03-15,28,VTI,NEGATIVE_SHOCK_ONSET,market-shock-v1-ab32a62872d9514a3e357680,-1.0,-0.0016248362796885214,0.0017134510888999561,0.00028536872729022493,0.0014168807833613063,0,0,0,0,0
development,2024-03-19,26,VTI,POSITIVE_SHOCK_ONSET,market-shock-v1-1d44987675a2b3e8bafe5d6b,1.0,0.0014907415538778425,0.002235307487850941,-0.00025755546158273565,0.0007064955747376367,0,0,0,0,0
development,2024-04-02,10,VTI,NEGATIVE_SHOCK_ONSET,market-shock-v1-ce647aa2df67329141837594,-1.0,-0.002302723069824525,0.0029621956386043907,0.0014017408168708397,0.002298912015374334,0,0,0,0,0
development,2024-04-03,8,VTI,POSITIVE_SHOCK_ONSET,market-shock-v1-2374bf340306ab7cac89b4b2,1.0,0.002214355088858144,0.004193609634463132,-0.00019438860044035118,0.0008521417016641984,0,0,0,0,0
development,2024-04-05,16,VTI,POSITIVE_SHOCK_ONSET,market-shock-v1-bae6062f6f1e08609173f2a5,1.0,0.0017111754175288196,0.0023611784670998725,0.0003652614003096067,0.0023455550657696185,0,0,0,0,0
development,2024-04-05,24,VTI,POSITIVE_SHOCK_ONSET,market-shock-v1-52d5b6164a8a076fb6c2cde4,1.0,0.0013634031483182227,0.0026895959032027226,-0.0018051094425820852,0.0019473443701516478,0,0,0,0,0
development,2024-04-05,26,VTI,POSITIVE_SHOCK_ONSET,market-shock-v1-a0ed8a7bb406f58c67861dd3,1.0,0.0017132037986390294,0.0019273822773465963,-0.00028716504727783717,0.00237806388477293,0,0,0,0,0
development,2024-04-08,26,VTI,NEGATIVE_SHOCK_ONSET,market-shock-v1-2b05c8dbb1808e6f5fc2fab4,-1.0,-0.0013961025820905643,0.0024056933796689477,0.00015506376113531115,0.0009691238092112317,0,0,0,0,0
development,2024-04-09,12,VTI,NEGATIVE_SHOCK_ONSET,market-shock-v1-543ebc6176c75bc48ddfaf32,-1.0,-0.002681287106983225,0.0033179879648494327,0.0003298795822734821,0.0009704780959865033,0,0,0,0,0
development,2024-04-09,14,VTI,NEGATIVE_SHOCK_ONSET,market-shock-v1-7b5ed955f5fdaa4d79cce42f,-1.0,-0.0061503387331208305,0.0063068949710014055,0.0004463334353568938,0.0012574620823974756,0,0,0,0,0
development,2024-04-09,18,VTI,POSITIVE_SHOCK_ONSET,market-shock-v1-b4d64ca81a4510e076d9448e,1.0,0.001250858147396908,0.0023074845581649212,-0.00516906739619493,0.005932144885857215,0,0,0,0,0
development,2024-04-09,20,VTI,POSITIVE_SHOCK_ONSET,market-shock-v1-38cff0c75c1f6b6bc34272ca,1.0,0.0027751467962407114,0.0031851906656696284,-0.0024236916169396105,0.003205538140732554,0,0,0,0,0
development,2024-04-09,28,VTI,POSITIVE_SHOCK_ONSET,market-shock-v1-8d6bb19cec6f147c09a8acd3,1.0,0.002145306827458496,0.0026132076371956736,-0.0012855216980025,0.0012876954995213422,0,0,0,0,0
development,2024-04-10,10,VTI,POSITIVE_SHOCK_ONSET,market-shock-v1-187b0957b467eac1c8aaf8b6,1.0,0.002783233047280477,0.0029800830036628896,0.0009621114435121795,0.0034750994147143485,0,0,0,0,0
