period,horizon,selector,score_sessions,accepted_signals,filled_trades,active_signal_fraction,individualized_decision_fraction,mean_net_trade_bps,median_net_trade_bps,win_rate,profit_factor,cumulative_return,annualized_return,annualized_volatility,descriptive_sharpe_zero_rate,maximum_drawdown,mean_daily_return
2025,24,loop_only,190,1785,1702,0.3392246294184721,0.0,-4.319546788757596,-12.351121430228531,0.4770857814336075,0.9651261375714701,-0.04245735389303007,-0.055917985577286666,0.10678381134994196,-0.48552235552866885,-0.13894027526246866,-0.00020573780801171754
2025,24,loop_current_regime,190,1964,1888,0.3732421132649183,0.9599011782592171,-0.013584101252852188,-8.625311868594157,0.4867584745762712,0.9998907116032472,-0.007158574773592052,-0.00948342346914921,0.11716654364847821,-0.022724435007780572,-0.10764355725857899,-1.0565648834230668e-05
2025,24,loop_previous_regime,190,2023,1952,0.3844545800076017,0.8827442037248194,-7.27629631491447,-15.158067660487875,0.47438524590163933,0.9427230090237364,-0.07731845001716087,-0.10123179786197978,0.12494226952010412,-0.7916434433257669,-0.16116171951589997,-0.0003924989224596477
2025,24,loop_regime_path,190,2116,2039,0.40212846826301785,0.8762827822120867,-3.352151106324924,-10.0,0.48258950465914663,0.9736125043832198,-0.04319558942531199,-0.05688323342183854,0.1297615771164466,-0.3864084338606945,-0.11141147502016846,-0.00019897209440023752
2025,24,loop_direction,190,1926,1844,0.3660205245153934,0.9348156594450779,2.599299473285757,-6.1031955432555485,0.49023861171366595,1.0215563740871756,0.016641368811826984,0.02213141626693682,0.12004046599719341,0.242324903978777,-0.1162597436640953,0.00011543172379499022
2025,24,loop_volatility,190,2081,1987,0.39547700494108706,0.9452679589509693,-0.4419934763918347,-5.581737849779103,0.49119275289380976,0.9962840518498408,-0.01092160966397393,-0.014459627349125093,0.11497683897511854,-0.06915170461930077,-0.10128707442172158,-3.155096986852502e-05
2025,24,loop_range,190,1897,1813,0.3605093120486507,0.9521094640820981,-8.633003967577723,-12.76440092165986,0.4760066188637617,0.9310354947350825,-0.08120557505015868,-0.10625028031348216,0.11159574647714691,-0.9506268245259866,-0.17637778845854046,-0.000420975833746735
2025,24,loop_session,190,1969,1890,0.3741923223109084,0.942987457240593,-8.474968790147983,-15.767016787654455,0.4687830687830688,0.9325014473979615,-0.08303147321346505,-0.10860522200025335,0.11449125216132153,-0.9467428612693103,-0.17745101285636022,-0.00043013403040283984
2025,24,loop_volume,190,2325,2230,0.4418472063854048,0.9388065374382364,6.5662037073154185,-4.184145418394394,0.49327354260089684,1.0559609035593973,0.06618510603908878,0.08871656783395165,0.12563572262625874,0.7387042162888287,-0.08552475705249674,0.00036828427785917114
2025,24,loop_joint_all,190,2318,2221,0.44051691372101864,0.6505131128848347,3.860586321681239,-1.630022321429383,0.49572264745610084,1.0321543462327527,0.036220147709073336,0.04832097255734258,0.12156015631356885,0.4486336054201386,-0.0860304369226107,0.00021641258413647622
2023,6,unfiltered,190,8513,7822,1.0,0.0,-0.8239771710847716,-9.116992903893664,0.4795448734339044,0.9885785159620546,-0.039002272229898494,-0.051397217257981076,0.1468419865066325,-0.2864813076029037,-0.12259921821335173,-0.00016693446152947624
2023,6,loop_only,190,3527,3255,0.4143075296605192,0.0,-2.2365884267881873,-8.159325045919976,0.4835637480798771,0.9702740536082867,-0.03797888912088776,-0.05005716217031797,0.09600019421045054,-0.4872543103077695,-0.09793854060946006,-0.00018562106515644842
2023,6,loop_current_regime,190,3699,3421,0.43451192294138374,0.9766239868436509,-1.1934335782370618,-5.832026499975598,0.4881613563285589,0.9837722090328067,-0.02380769776271352,-0.0314532067881228,0.09571485445219274,-0.28635491150778314,-0.062159933258016165,-0.0001087635661771349
2023,6,loop_previous_regime,190,4120,3788,0.48396569951838364,0.9239985903911665,-0.47386594365918905,-3.94642717432391,0.49023231256599786,0.9937793914571511,-0.012236505735064962,-0.01619697941559539,0.10472982505364847,-0.1039089771304016,-0.07859211672312705,-4.318400395385127e-05
2023,6,loop_regime_path,190,3889,3586,0.45683072947257136,0.9088452954305181,-2.080393890138792,-3.721295647965963,0.4913552704963748,0.9726698394301233,-0.04082063235114475,-0.05377709538877462,0.10347954992252285,-0.4827226502258938,-0.06326341213251108,-0.00019822191501104328
2023,6,loop_direction,190,3847,3551,0.4518970985551509,0.9709855515094561,0.4617800409051789,-6.600441351013444,0.48690509715573077,1.0063663924025912,0.007803540325346026,0.010363113393004886,0.10057326713147573,0.15244887489037168,-0.08715462116034545,6.084238658032647e-05
2023,6,loop_volatility,190,3311,3059,0.3889345706566428,0.9688711382591331,-4.222876488384089,-9.401197246226003,0.4808761033017326,0.9450917726950693,-0.06446750052391137,-0.08459151350498129,0.09096190082476747,-0.9263101287882792,-0.10679399073661044,-0.00033436083360244853
2023,6,loop_range,190,3606,3320,0.4235874544813814,0.9805004111359098,-2.825416668447254,-8.187407504395274,0.4831325301204819,0.9627234758662913,-0.04792131950162881,-0.06305639497482984,0.09885250169694312,-0.6097120810322363,-0.09967433557283167,-0.0002391728750987534
2023,6,loop_session,190,4131,3816,0.4852578409491366,0.9652296487724656,-0.5945618868413324,-6.575551120053804,0.4861111111111111,0.9921599567412825,-0.014347090331526924,-0.01898408472996982,0.10236861589207491,-0.13637860926058964,-0.08938023987750587,-5.540035502893916e-05
2023,6,loop_volume,190,3552,3284,0.4172442147304123,0.9658169857864443,1.4996865507273014,-3.721295647965963,0.49086479902557856,1.020433610964826,0.023592547471893432,0.031410985727475804,0.08745999034048346,0.3970543160632633,-0.0526327225998916,0.00013780304225214393
2023,6,loop_joint_all,190,3801,3509,0.44649359802654764,0.5021731469517209,0.2528177638161063,-6.632996632996981,0.4853234539754916,1.003480718187597,0.0017239515433913333,0.002287147042924431,0.0961296493870322,0.07156636159945406,-0.06398106622508692,2.7300195430401123e-05
2023,12,unfiltered,190,6610,6205,1.0,0.0,-1.8870997620689796,-10.0,0.4767123287671233,0.9805583914488608,-0.06832959140386119,-0.0896003008496491,0.16753973117881202,-0.47713186677628283,-0.1545409965714437,-0.0003172164472085046
2023,12,loop_only,190,2934,2774,0.4438729198184569,0.0,-5.328649091107522,-14.505283849221552,0.46611391492429705,0.9450757678296257,-0.0740171548269768,-0.09696423023898326,0.10300749100498707,-0.9389536547415472,-0.12258697527540086,-0.00038380658787654626
2023,12,loop_current_regime,190,2906,2762,0.4396369137670197,0.9777609682299546,-7.499001245536523,-14.447989668901474,0.46270818247646633,0.9228609819431324,-0.103255155239805,-0.13458583439714544,0.10193010994414042,-1.3669650422785309,-0.14430555696098624,-0.0005529162581319333
2023,12,loop_previous_regime,190,3030,2877,0.4583963691376702,0.900302571860817,-10.23696194817063,-14.664179104478805,0.46472019464720193,0.9000590285632017,-0.14075957964219743,-0.18225991914499584,0.10705822977742464,-1.8256180325413216,-0.1494039205355001,-0.0007755850587842012
2023,12,loop_regime_path,190,2934,2781,0.4438729198184569,0.8913767019667171,-10.471262253842994,-13.337116377644112,0.46601941747572817,0.8953805522955713,-0.1402824554129084,-0.18165761155315696,0.09905835708974017,-1.9736676811699376,-0.1552468524678805,-0.0007758264997532187
2023,12,loop_direction,190,3222,3043,0.4874432677760968,0.9531013615733737,1.9854686736435412,-9.600048029453347,0.48471902727571475,1.021146376470076,0.02544794935614214,0.03389136412578142,0.11283429391610474,0.35146735264503703,-0.08851413271667607,0.0001573713117867672
2023,12,loop_volatility,190,2881,2717,0.43585476550680785,0.9641452344931921,-5.610539072475148,-11.559251721335864,0.4681634155318366,0.9419503102640282,-0.07625547921856257,-0.09985824385641828,0.09155218426027292,-1.1033641908936318,-0.11328529728437653,-0.0004008547686939711
2023,12,loop_range,190,2957,2795,0.4473524962178517,0.9757942511346445,-4.905910042992815,-13.51602895553249,0.4669051878354204,0.9492083275672182,-0.06876688107928908,-0.09016700018614221,0.10227718103247392,-0.8730894890457835,-0.1166302725650763,-0.0003543536973360546
2023,12,loop_session,190,2995,2843,0.45310136157337366,0.9726172465960665,-9.877869031294273,-16.254534474956497,0.4607808652831516,0.9040801664792986,-0.13488619607761887,-0.17483794842847566,0.10803438056961841,-1.7245969740461253,-0.14116041242100308,-0.0007393482770766326
2023,12,loop_volume,190,2771,2615,0.41921331316187593,0.9627836611195159,0.4099109273111819,-10.0,0.47877629063097515,1.0042627320674882,0.000933666605339889,0.0012385253633568905,0.09272541042317715,0.05929299120470181,-0.06818734668920146,2.1817329145530985e-05
2023,12,loop_joint_all,190,2961,2792,0.4479576399394856,0.5664145234493192,-5.74702239734294,-13.201831131645072,0.4688395415472779,0.9405781935924403,-0.08147629204078943,-0.10659953250571164,0.10380480254168416,-1.0340502745049087,-0.12695301383538016,-0.0004259499387426839
2023,24,unfiltered,190,5120,4859,1.0,0.0,-0.1332963203866245,-10.869565973535824,0.4735542292652809,0.9989387002065575,-0.024852414046370064,-0.032827738219442515,0.20116636447619707,-0.06640290852907893,-0.14695780558106353,-5.3008062299366144e-05
2023,24,loop_only,190,2556,2432,0.49921875,0.0,-7.325484953040193,-20.93688123590453,0.4609375,0.9431957633277729,-0.09384493957684126,-0.12252040389980612,0.13020372324789636,-0.938919903286644,-0.17320152452932047,-0.0004851224890455389
2023,24,loop_current_regime,190,2450,2342,0.478515625,0.9798828125,1.250786937187527,-15.18785756396689,0.4713919726729291,1.0098965643280855,0.004933407465490314,0.006548517220958505,0.13893905872050374,0.1156647928813186,-0.1279740828867315,6.377125972235091e-05
2023,24,loop_previous_regime,190,2712,2596,0.5296875,0.8646484375,-6.697777010593753,-22.201380926712968,0.45801232665639446,0.9497486734222602,-0.09472706224940652,-0.12365317309733836,0.14481774031469213,-0.8393152957304334,-0.1974645059080128,-0.0004823323196001545
2023,24,loop_regime_path,190,2423,2313,0.4732421875,0.8646484375,1.0178811602325417,-20.371745878955394,0.4638996973627324,1.0078445540169836,0.000388193584347718,0.0005148998875210697,0.14470664975282313,0.07513436849861181,-0.12598023434316297,4.3144614074318114e-05
2023,24,loop_direction,190,2424,2302,0.4734375,0.9357421875,-2.884762369535542,-17.738818487746933,0.46568201563857514,0.9761874337857299,-0.03978658913063393,-0.052423915222986506,0.12267925939893876,-0.3779568528780105,-0.14138036746534788,-0.0001839978841104285
2023,24,loop_volatility,190,2775,2639,0.5419921875,0.9541015625,-2.1786828076036104,-11.960931090790874,0.4744221295945434,0.9827061158334153,-0.03770891285325084,-0.0497035678481168,0.1339249836485672,-0.31431620793367077,-0.09270568242779575,-0.0001670428293968115
2023,24,loop_range,190,2557,2438,0.4994140625,0.9701171875,-6.014373593703291,-20.219064976378924,0.4634946677604594,0.9529438575632806,-0.07931724767724779,-0.10381321406893629,0.12967454221392305,-0.7806909220947613,-0.16598730783141424,-0.000401729118782554
2023,24,loop_session,190,2788,2670,0.54453125,0.951953125,-2.749662110830111,-17.685134431048567,0.46629213483146065,0.978701674330535,-0.04442664944209762,-0.05849231201820715,0.14802144614110477,-0.33370197401371576,-0.17330392450111987,-0.00019601209830814113
2023,24,loop_volume,190,2856,2716,0.5578125,0.951171875,-1.8866991859799336,-15.190531771210317,0.47091310751104565,0.9850406919547738,-0.03644647350312913,-0.04804969155888683,0.1400115808813957,-0.2823987986408881,-0.10118271499923981,-0.00015690119935205427
2023,24,loop_joint_all,190,2668,2535,0.52109375,0.62890625,-4.848146643601535,-19.630818619581483,0.4642998027613412,0.9622766475405728,-0.06945346002004016,-0.0910565872019028,0.14534558014470073,-0.5849278647789652,-0.16037585746116656,-0.00033736777717896727
