stock,session,checkpoint,M1C_probability,m1_probability,episode_impact
IONQ,2025-05-13,6,0.5378382658690046,0.5123460706715195,shared
IONQ,2025-05-14,6,0.5577960100692508,0.5242246810364559,shared
IONQ,2025-05-15,6,0.49281353238398673,,M1C_only
IONQ,2025-05-20,6,0.5481528246550904,,M1C_only
IONQ,2025-05-21,6,0.5539681669086575,0.5409203753869508,shared
IONQ,2025-05-22,6,0.6724248067068547,0.6575023218952899,shared
IONQ,2025-06-02,6,0.5337480347619934,,M1C_only
IONQ,2025-06-03,6,0.5788922449916959,0.5084799985924406,shared
IONQ,2025-06-20,6,0.5263703664160547,,M1C_only
IONQ,2025-06-23,6,0.5759569048986315,0.5368266151745621,shared
IONQ,2025-06-26,6,0.566124615720047,0.5354058913052421,shared
IONQ,2025-06-30,6,0.7020422783456561,0.6462500069765341,shared
IONQ,2025-06-30,14,,0.5052172667376941,archived_M1_only
IONQ,2025-08-07,6,0.534913522941413,0.504587190176343,shared
IONQ,2025-08-08,6,0.5006284701257149,0.5006682723099429,shared
IONQ,2025-08-11,6,0.5476256034653645,0.5383153140039059,shared
IONQ,2025-08-12,6,0.5241649512714188,,M1C_only
IREN,2024-01-30,6,0.4949747943608697,,M1C_only
IREN,2024-01-31,6,0.49331944364951785,,M1C_only
IREN,2024-02-23,6,0.5189383897886803,,M1C_only
IREN,2024-02-26,6,0.7025941374426318,0.657662989923919,shared
IREN,2024-04-25,6,0.4903959026404007,,M1C_only
IREN,2024-06-10,6,0.578069240686551,0.5337314072368711,shared
IREN,2024-06-10,14,0.48851228198525787,,M1C_only
IREN,2024-06-11,6,0.6605097885355156,0.5419294679151979,shared
IREN,2024-06-21,6,0.5337299568310063,,M1C_only
IREN,2024-06-24,6,0.6073686750977026,0.5637961184823252,shared
