archetype,metric,interval_level_percent,lower,median,upper,draws,seed,unit,models_refit
C1,positive_return_rate,95,0.42587343289085544,0.5154704944178629,0.6461142150577028,100,20260726,whole_session,False
C1,remaining_movement_fraction,80,0.5114869134466402,0.5429862325559223,0.5746369786759162,100,20260726,whole_session,False
C1,remaining_movement_fraction,90,0.5007003958369829,0.5429862325559223,0.5828922340851043,100,20260726,whole_session,False
C1,remaining_movement_fraction,95,0.4959986501649757,0.5429862325559223,0.5924345680241375,100,20260726,whole_session,False
C1,iv_excess_subgroup_accuracy,80,0.37911515940143137,0.48552522746071136,0.6213550600343053,100,20260726,whole_session,False
C1,iv_excess_subgroup_accuracy,90,0.3477075098814229,0.48552522746071136,0.6666666666666666,100,20260726,whole_session,False
C1,iv_excess_subgroup_accuracy,95,0.3331479421579533,0.48552522746071136,0.6765454545454546,100,20260726,whole_session,False
C1,largest_movement_quartile_accuracy,80,0.41968810916179333,0.5741758241758241,0.7067226890756304,100,20260726,whole_session,False
C1,largest_movement_quartile_accuracy,90,0.3634545454545455,0.5741758241758241,0.7420370370370369,100,20260726,whole_session,False
C1,largest_movement_quartile_accuracy,95,0.34464285714285714,0.5741758241758241,0.783424764890282,100,20260726,whole_session,False
A1,log_loss_improvement_vs_B0,80,-0.03086774442908897,-0.013646898012332931,0.000569480175683313,100,20260726,whole_session,False
A1,log_loss_improvement_vs_B0,90,-0.03363431554188116,-0.013646898012332931,0.0020927263108226775,100,20260726,whole_session,False
A1,log_loss_improvement_vs_B0,95,-0.03485043934582118,-0.013646898012332931,0.004993845821553639,100,20260726,whole_session,False
A1,brier_improvement_vs_B0,80,-0.014137118709488205,-0.00622559207254425,0.00044094095382189643,100,20260726,whole_session,False
A1,brier_improvement_vs_B0,90,-0.015528183775255774,-0.00622559207254425,0.0012118764766960856,100,20260726,whole_session,False
A1,brier_improvement_vs_B0,95,-0.016366791007765502,-0.00622559207254425,0.0025538026438735326,100,20260726,whole_session,False
A1,auc_improvement_vs_B0,80,-0.04090716432343215,0.0038308053218157057,0.044018018034087815,100,20260726,whole_session,False
A1,auc_improvement_vs_B0,90,-0.04640699433052392,0.0038308053218157057,0.04886116079732534,100,20260726,whole_session,False
A1,auc_improvement_vs_B0,95,-0.053723593012918014,0.0038308053218157057,0.05564820329579055,100,20260726,whole_session,False
A1,action_coverage,80,0.2997757200566602,0.3348849293121739,0.3703448275862069,100,20260726,whole_session,False
A1,action_coverage,90,0.28305982840897553,0.3348849293121739,0.379247175588639,100,20260726,whole_session,False
A1,action_coverage,95,0.27436716999155003,0.3348849293121739,0.38432307692307693,100,20260726,whole_session,False
A1,directional_accuracy,80,0.46834498834498833,0.5342563178606989,0.5887800397979488,100,20260726,whole_session,False
A1,directional_accuracy,90,0.45821078431372547,0.5342563178606989,0.5978985381134703,100,20260726,whole_session,False
A1,directional_accuracy,95,0.434469804871101,0.5342563178606989,0.6130040322580645,100,20260726,whole_session,False
A1,balanced_accuracy,80,0.48080279860870184,0.5399159949577546,0.5962044534412956,100,20260726,whole_session,False
A1,balanced_accuracy,90,0.4718374355697535,0.5399159949577546,0.5995144278195126,100,20260726,whole_session,False
A1,balanced_accuracy,95,0.45437549412901523,0.5399159949577546,0.6104364272809395,100,20260726,whole_session,False
A1,mean_aligned_return,80,0.00031563619105463863,0.001952004199750146,0.00343629534226497,100,20260726,whole_session,False
A1,mean_aligned_return,90,0.0001312718049426096,0.001952004199750146,0.0037837176069357736,100,20260726,whole_session,False
A1,mean_aligned_return,95,-3.005936084785472e-05,0.001952004199750146,0.003980929572353969,100,20260726,whole_session,False
A1,median_aligned_return,80,-0.0008800701978656256,0.0005717062500220685,0.0022764553167933022,100,20260726,whole_session,False
A1,median_aligned_return,90,-0.0014257368112086293,0.0005717062500220685,0.002499278070464942,100,20260726,whole_session,False
