diagnostic_type,period,regime,rows,posterior_mass,hard_top_regime_rows,stocks,sessions,months,maximum_stock_share,maximum_month_share,entropy_mean,entropy_q10,entropy_q50,entropy_q90,margin_mean,margin_q10,margin_q50,margin_q90,mahalanobis_mean,mahalanobis_q90,mean_daily_compression,mean_daily_directional_efficiency,mean_daily_trend_persistence,mean_daily_extension,mean_daily_rejection,mean_daily_volatility_acceleration,mean_daily_relative_strength,mean_daily_activity_acceleration,group,posterior_mass_regime_0,posterior_mass_regime_1,posterior_mass_regime_2,posterior_mass_regime_3,development_mean,assessment_mean,mean_difference
support_by_stock,development,,,,,,,,,,,,,,,,,,,,,,,,,,,,HIMS,0.24003327619411946,0.27333011988945183,0.11550826828770369,0.371128335628725,,,
support_by_stock,development,,,,,,,,,,,,,,,,,,,,,,,,,,,,IONQ,0.19362323713365012,0.3170730242519916,0.10023881028113786,0.3890649283332202,,,
support_by_stock,development,,,,,,,,,,,,,,,,,,,,,,,,,,,,IREN,0.19217514097622376,0.26907682715898845,0.13117769278780775,0.40757033907698004,,,
support_by_stock,development,,,,,,,,,,,,,,,,,,,,,,,,,,,,MARA,0.11589241154712324,0.3131525930460246,0.1587628273147479,0.4121921680921042,,,
support_by_stock,development,,,,,,,,,,,,,,,,,,,,,,,,,,,,MP,0.12078147480368132,0.21821776047666686,0.16108635133308788,0.49991441338656395,,,
support_by_stock,development,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRNA,0.06659937920062353,0.19085841617893243,0.3037922718956088,0.43874993272483526,,,
support_by_stock,development,,,,,,,,,,,,,,,,,,,,,,,,,,,,MSTR,0.2656912692506014,0.2690571683737478,0.12154403910087835,0.34370752327477244,,,
support_by_stock,development,,,,,,,,,,,,,,,,,,,,,,,,,,,,NVTS,0.13471697094275126,0.25301261013111737,0.25540140434635905,0.3568690145797722,,,
support_by_stock,development,,,,,,,,,,,,,,,,,,,,,,,,,,,,QBTS,0.2328338792772513,0.2937024513770916,0.1234237228173415,0.3500399465283157,,,
support_by_stock,development,,,,,,,,,,,,,,,,,,,,,,,,,,,,RGTI,0.24315150877480335,0.313214901465654,0.12270170593973538,0.3209318838198073,,,
support_by_stock,development,,,,,,,,,,,,,,,,,,,,,,,,,,,,RIOT,0.16235602202488703,0.23565479955403731,0.15793639523351088,0.4440527831875648,,,
support_by_stock,development,,,,,,,,,,,,,,,,,,,,,,,,,,,,RIVN,0.11397556868365952,0.24847286051862988,0.16382260461881903,0.47372896617889165,,,
