diagnostic_type,target,model,feature,value,feature_2,checkpoint,quintile,row_count,movement_rate,mean_absolute_future_movement_bps,direction_rate_among_large_moves,threshold_q20,threshold_q40,threshold_q60,threshold_q80,original_brier,permuted_brier,permutation
assessment_dimension_correlation,,,independence,-0.08408567121689306,exhaustion_magnitude,,,,,,,,,,,,,
assessment_dimension_correlation,,,independence,0.010074656655304983,signed_exhaustion,,,,,,,,,,,,,
assessment_dimension_correlation,,,independence,1,independence,,,,,,,,,,,,,
assessment_dimension_correlation,,,independence,0.21698312381439055,signed_independence,,,,,,,,,,,,,
assessment_dimension_correlation,,,signed_independence,0.12491019017739781,arousal,,,,,,,,,,,,,
assessment_dimension_correlation,,,signed_independence,0.023328704421802154,conviction,,,,,,,,,,,,,
assessment_dimension_correlation,,,signed_independence,-0.1118577411863988,frustration,,,,,,,,,,,,,
assessment_dimension_correlation,,,signed_independence,-0.23137470013643011,tension,,,,,,,,,,,,,
assessment_dimension_correlation,,,signed_independence,0.73181714103534612,signed_pressure,,,,,,,,,,,,,
assessment_dimension_correlation,,,signed_independence,0.16531659437784155,pressure_magnitude,,,,,,,,,,,,,
assessment_dimension_correlation,,,signed_independence,0.041756800552296282,exhaustion_magnitude,,,,,,,,,,,,,
assessment_dimension_correlation,,,signed_independence,0.036232622503942193,signed_exhaustion,,,,,,,,,,,,,
assessment_dimension_correlation,,,signed_independence,0.21698312381439055,independence,,,,,,,,,,,,,
assessment_dimension_correlation,,,signed_independence,1,signed_independence,,,,,,,,,,,,,
condition_number,,,dimension_group,11.449787587872754,,,,,,,,,,,,,,
variance_inflation_factor,,,arousal,8.995442590833056,,,,,,,,,,,,,,
variance_inflation_factor,,,conviction,5.3821285791406481,,,,,,,,,,,,,,
variance_inflation_factor,,,frustration,16.981597781449022,,,,,,,,,,,,,,
variance_inflation_factor,,,tension,12.489684830109153,,,,,,,,,,,,,,
variance_inflation_factor,,,signed_pressure,2.2277696301595142,,,,,,,,,,,,,,
variance_inflation_factor,,,pressure_magnitude,5.60099081071718,,,,,,,,,,,,,,
variance_inflation_factor,,,exhaustion_magnitude,1.1390947204931534,,,,,,,,,,,,,,
variance_inflation_factor,,,signed_exhaustion,1.0143356935130765,,,,,,,,,,,,,,
variance_inflation_factor,,,independence,2.3314537353289388,,,,,,,,,,,,,,
variance_inflation_factor,,,signed_independence,2.1884781429836662,,,,,,,,,,,,,,
