record_type,draw,metric,value,interval_90_lower,interval_90_upper,interval_95_lower,interval_95_upper
draw,165,D2_minus_D1_brier_improvement,-0.0021456190685053,,,,
draw,166,D2_minus_D1_brier_improvement,-0.0065296518792187785,,,,
draw,167,D2_minus_D1_brier_improvement,-0.0019065023142759707,,,,
draw,168,D2_minus_D1_brier_improvement,-0.0032509579189262949,,,,
draw,169,D2_minus_D1_brier_improvement,0.00012944018326233042,,,,
draw,170,D2_minus_D1_brier_improvement,-0.0027983397091483342,,,,
draw,171,D2_minus_D1_brier_improvement,0.0011987642982938529,,,,
draw,172,D2_minus_D1_brier_improvement,-0.00046111091997608211,,,,
draw,173,D2_minus_D1_brier_improvement,-0.0031069719982698418,,,,
draw,174,D2_minus_D1_brier_improvement,-0.0020094316728065387,,,,
draw,175,D2_minus_D1_brier_improvement,0.0018409251014673,,,,
draw,176,D2_minus_D1_brier_improvement,-0.0041629596247244882,,,,
draw,177,D2_minus_D1_brier_improvement,-0.0024941089034698771,,,,
draw,178,D2_minus_D1_brier_improvement,0.00042081412781377892,,,,
draw,179,D2_minus_D1_brier_improvement,-0.00088883904639985856,,,,
draw,180,D2_minus_D1_brier_improvement,-0.005166824509621526,,,,
draw,181,D2_minus_D1_brier_improvement,-0.0058644842978728406,,,,
draw,182,D2_minus_D1_brier_improvement,-0.0056757060106121249,,,,
draw,183,D2_minus_D1_brier_improvement,-0.0049368137625950548,,,,
draw,184,D2_minus_D1_brier_improvement,0.0003345497682686327,,,,
draw,185,D2_minus_D1_brier_improvement,-0.006632710534609787,,,,
draw,186,D2_minus_D1_brier_improvement,-0.0017419080504731121,,,,
draw,187,D2_minus_D1_brier_improvement,-0.006396349794724282,,,,
draw,188,D2_minus_D1_brier_improvement,-0.0038516782625279966,,,,
draw,189,D2_minus_D1_brier_improvement,-0.0060501501061208385,,,,
draw,190,D2_minus_D1_brier_improvement,-0.0066029041257605892,,,,
draw,191,D2_minus_D1_brier_improvement,-0.0067068997504071692,,,,
draw,192,D2_minus_D1_brier_improvement,-0.003747104408910823,,,,
draw,193,D2_minus_D1_brier_improvement,-0.001454136964000069,,,,
draw,194,D2_minus_D1_brier_improvement,-0.0053435034206007759,,,,
draw,195,D2_minus_D1_brier_improvement,-0.00096808332366044025,,,,
draw,196,D2_minus_D1_brier_improvement,-0.0032290106995538359,,,,
draw,197,D2_minus_D1_brier_improvement,-0.0039286006115394623,,,,
draw,198,D2_minus_D1_brier_improvement,-0.0019421002987714542,,,,
draw,199,D2_minus_D1_brier_improvement,-0.0022115797473649945,,,,
draw,0,D2_minus_D1_log_loss_improvement,-0.011100612137756594,,,,
draw,1,D2_minus_D1_log_loss_improvement,-0.0061891400702366317,,,,
draw,2,D2_minus_D1_log_loss_improvement,-0.010906846894842448,,,,
draw,3,D2_minus_D1_log_loss_improvement,-0.0056338069750984099,,,,
draw,4,D2_minus_D1_log_loss_improvement,-0.0094135698844853843,,,,
draw,5,D2_minus_D1_log_loss_improvement,-0.0040827817558677371,,,,
draw,6,D2_minus_D1_log_loss_improvement,-0.013063795250939703,,,,
draw,7,D2_minus_D1_log_loss_improvement,-0.012512085522721095,,,,
draw,8,D2_minus_D1_log_loss_improvement,-0.010865311779350462,,,,
draw,9,D2_minus_D1_log_loss_improvement,-0.0033319378249574427,,,,
draw,10,D2_minus_D1_log_loss_improvement,-0.0017041217869021574,,,,
draw,11,D2_minus_D1_log_loss_improvement,-0.0066092719182073711,,,,
draw,12,D2_minus_D1_log_loss_improvement,-0.0072703815668937466,,,,
draw,13,D2_minus_D1_log_loss_improvement,-0.0078835892281188258,,,,
draw,14,D2_minus_D1_log_loss_improvement,-0.0074654763418086079,,,,
draw,15,D2_minus_D1_log_loss_improvement,-0.0083353167415572971,,,,
draw,16,D2_minus_D1_log_loss_improvement,-0.0061658207314577718,,,,
draw,17,D2_minus_D1_log_loss_improvement,-0.013268049694845629,,,,
draw,18,D2_minus_D1_log_loss_improvement,-0.0051466622101210557,,,,
draw,19,D2_minus_D1_log_loss_improvement,-0.012526167890206663,,,,
draw,20,D2_minus_D1_log_loss_improvement,-0.013514588089355684,,,,
draw,21,D2_minus_D1_log_loss_improvement,-0.011850083693339175,,,,
draw,22,D2_minus_D1_log_loss_improvement,-0.012328431646474458,,,,
draw,23,D2_minus_D1_log_loss_improvement,-0.0093180785379080033,,,,
draw,24,D2_minus_D1_log_loss_improvement,-0.010803943709272956,,,,
draw,25,D2_minus_D1_log_loss_improvement,-0.01638411610525714,,,,
draw,26,D2_minus_D1_log_loss_improvement,-0.0063339576937172515,,,,
draw,27,D2_minus_D1_log_loss_improvement,-0.00088197830118053044,,,,
draw,28,D2_minus_D1_log_loss_improvement,-0.0018133801435604724,,,,
draw,29,D2_minus_D1_log_loss_improvement,-0.0080281671040614011,,,,
draw,30,D2_minus_D1_log_loss_improvement,-0.0054352907570686115,,,,
draw,31,D2_minus_D1_log_loss_improvement,-0.0065711044749261482,,,,
draw,32,D2_minus_D1_log_loss_improvement,-0.01453401939910226,,,,
draw,33,D2_minus_D1_log_loss_improvement,-0.010327648464408146,,,,
draw,34,D2_minus_D1_log_loss_improvement,-0.01364388841313946,,,,
draw,35,D2_minus_D1_log_loss_improvement,-0.0047612329826342004,,,,
draw,36,D2_minus_D1_log_loss_improvement,-0.0084640337784607222,,,,
draw,37,D2_minus_D1_log_loss_improvement,-0.0081187870725296651,,,,
draw,38,D2_minus_D1_log_loss_improvement,-0.0034064144516244843,,,,
draw,39,D2_minus_D1_log_loss_improvement,-0.0028125871257351776,,,,
draw,40,D2_minus_D1_log_loss_improvement,-0.00551924964382422,,,,
draw,41,D2_minus_D1_log_loss_improvement,-0.015257220705447994,,,,
draw,42,D2_minus_D1_log_loss_improvement,-0.012452390555912851,,,,
draw,43,D2_minus_D1_log_loss_improvement,-0.010968755746833647,,,,
draw,44,D2_minus_D1_log_loss_improvement,-0.002152982695453165,,,,
draw,45,D2_minus_D1_log_loss_improvement,-0.010474748816626467,,,,
draw,46,D2_minus_D1_log_loss_improvement,-0.0019990213528272571,,,,
draw,47,D2_minus_D1_log_loss_improvement,-0.0071332637590137971,,,,
draw,48,D2_minus_D1_log_loss_improvement,-0.011685317779276838,,,,
draw,49,D2_minus_D1_log_loss_improvement,-0.0064979331244353622,,,,
draw,50,D2_minus_D1_log_loss_improvement,-0.0098201748147244139,,,,
draw,51,D2_minus_D1_log_loss_improvement,0.001444735931290464,,,,
draw,52,D2_minus_D1_log_loss_improvement,-0.011923479518464064,,,,
draw,53,D2_minus_D1_log_loss_improvement,-0.014118740113012063,,,,
draw,54,D2_minus_D1_log_loss_improvement,-0.016148015585284892,,,,
draw,55,D2_minus_D1_log_loss_improvement,-0.0011041581769212216,,,,
draw,56,D2_minus_D1_log_loss_improvement,-0.0067070270753593064,,,,
draw,57,D2_minus_D1_log_loss_improvement,-0.0053662936057287114,,,,
draw,58,D2_minus_D1_log_loss_improvement,-0.011102656806351252,,,,
draw,59,D2_minus_D1_log_loss_improvement,-0.011828635458607351,,,,
draw,60,D2_minus_D1_log_loss_improvement,-0.01537010192804511,,,,
draw,61,D2_minus_D1_log_loss_improvement,-0.014128374703569313,,,,
draw,62,D2_minus_D1_log_loss_improvement,-0.0041273002904725908,,,,
draw,63,D2_minus_D1_log_loss_improvement,0.00013531549063627857,,,,
draw,64,D2_minus_D1_log_loss_improvement,-0.0061854324106818126,,,,
draw,65,D2_minus_D1_log_loss_improvement,-0.0075355650156514464,,,,
draw,66,D2_minus_D1_log_loss_improvement,-0.0043727619114612981,,,,
draw,67,D2_minus_D1_log_loss_improvement,-0.006410333944616875,,,,
draw,68,D2_minus_D1_log_loss_improvement,-0.010981046074493683,,,,
draw,69,D2_minus_D1_log_loss_improvement,0.00091913648689878613,,,,
