stage,model,scope_type,scope_value,bin,mean_probability,outcome_rate,rows
onset,A3,month,2025-01,6,0.552137025871,0.777777777778,9
onset,A3,month,2025-01,7,0.651067296071,0.769230769231,13
onset,A3,month,2025-01,8,0.750887533321,0.625,8
onset,A3,month,2025-01,9,0.868985755417,0.625,8
onset,A3,month,2025-01,10,0.964293604254,0.923076923077,13
direction,D0,month,2025-02,1,,,0
direction,D0,month,2025-02,2,,,0
direction,D0,month,2025-02,3,,,0
direction,D0,month,2025-02,4,,,0
direction,D0,month,2025-02,5,0.468445382253,0.511627906977,43
direction,D0,month,2025-02,6,0.517611107994,0.375,8
direction,D0,month,2025-02,7,,,0
direction,D0,month,2025-02,8,,,0
direction,D0,month,2025-02,9,,,0
direction,D0,month,2025-02,10,,,0
direction,D1,month,2025-02,1,,,0
direction,D1,month,2025-02,2,,,0
direction,D1,month,2025-02,3,0.290570649424,0,1
direction,D1,month,2025-02,4,0.371903484678,0.6,10
direction,D1,month,2025-02,5,0.443208215552,0.5,18
direction,D1,month,2025-02,6,0.53646638374,0.357142857143,14
direction,D1,month,2025-02,7,0.647709200304,0.6,5
direction,D1,month,2025-02,8,0.752403976944,1,1
direction,D1,month,2025-02,9,0.852979059613,0.5,2
direction,D1,month,2025-02,10,,,0
direction,D2,month,2025-02,1,,,0
direction,D2,month,2025-02,2,0.114595560626,1,1
direction,D2,month,2025-02,3,0.255428924075,0.4,5
direction,D2,month,2025-02,4,0.346875806797,0.363636363636,11
direction,D2,month,2025-02,5,0.455869463519,0.6,10
direction,D2,month,2025-02,6,0.529512285245,0.4,10
direction,D2,month,2025-02,7,0.655461530889,0.428571428571,7
direction,D2,month,2025-02,8,0.734045470152,0.5,4
direction,D2,month,2025-02,9,0.840202449302,1,3
direction,D2,month,2025-02,10,,,0
direction,D3,month,2025-02,1,0.0635389828655,1,1
direction,D3,month,2025-02,2,,,0
direction,D3,month,2025-02,3,0.257105467843,0.2,5
direction,D3,month,2025-02,4,0.347130075197,0.5,10
direction,D3,month,2025-02,5,0.454454822823,0.363636363636,11
direction,D3,month,2025-02,6,0.539393388452,0.666666666667,9
direction,D3,month,2025-02,7,0.645347193506,0.222222222222,9
direction,D3,month,2025-02,8,0.746091598098,1,3
direction,D3,month,2025-02,9,0.831991674498,1,3
direction,D3,month,2025-02,10,,,0
onset,A0,month,2025-02,1,,,0
onset,A0,month,2025-02,2,0.151681456413,0.124183006536,153
onset,A0,month,2025-02,3,0.244919467136,0.225806451613,62
onset,A0,month,2025-02,4,0.344054145038,0.290322580645,31
onset,A0,month,2025-02,5,0.423636878847,0.375,8
onset,A0,month,2025-02,6,0.552105792403,0.5,10
onset,A0,month,2025-02,7,0.615678831134,1,1
onset,A0,month,2025-02,8,,,0
onset,A0,month,2025-02,9,,,0
onset,A0,month,2025-02,10,,,0
onset,A1,month,2025-02,1,0.0894407989114,0.130434782609,23
onset,A1,month,2025-02,2,0.15017301804,0.125,120
onset,A1,month,2025-02,3,0.246067407178,0.1875,64
onset,A1,month,2025-02,4,0.345727792435,0.441176470588,34
onset,A1,month,2025-02,5,0.44052167,0.166666666667,12
onset,A1,month,2025-02,6,0.533904995681,0.272727272727,11
onset,A1,month,2025-02,7,0.682748413321,1,1
onset,A1,month,2025-02,8,,,0
onset,A1,month,2025-02,9,,,0
onset,A1,month,2025-02,10,,,0
onset,A2,month,2025-02,1,0.0808110577697,0.1,30
onset,A2,month,2025-02,2,0.151418352391,0.160377358491,106
onset,A2,month,2025-02,3,0.246076728675,0.215384615385,65
onset,A2,month,2025-02,4,0.34806266758,0.235294117647,34
onset,A2,month,2025-02,5,0.440277411901,0.315789473684,19
onset,A2,month,2025-02,6,0.542075248758,0.111111111111,9
onset,A2,month,2025-02,7,0.646040220699,1,2
onset,A2,month,2025-02,8,,,0
onset,A2,month,2025-02,9,,,0
onset,A2,month,2025-02,10,,,0
onset,A3,month,2025-02,1,0.0814388934004,0.125,40
onset,A3,month,2025-02,2,0.150366671649,0.141414141414,99
onset,A3,month,2025-02,3,0.248272677412,0.233333333333,60
onset,A3,month,2025-02,4,0.347917075747,0.264705882353,34
onset,A3,month,2025-02,5,0.441144743195,0.285714285714,14
onset,A3,month,2025-02,6,0.561449593922,0.181818181818,11
onset,A3,month,2025-02,7,0.63999746947,0.4,5
onset,A3,month,2025-02,8,0.72319359476,0.5,2
onset,A3,month,2025-02,9,,,0
onset,A3,month,2025-02,10,,,0
direction,D0,month,2025-03,1,,,0
direction,D0,month,2025-03,2,,,0
direction,D0,month,2025-03,3,,,0
direction,D0,month,2025-03,4,,,0
direction,D0,month,2025-03,5,0.462571418962,0.535714285714,28
direction,D0,month,2025-03,6,0.527430233038,0.545454545455,11
direction,D0,month,2025-03,7,,,0
direction,D0,month,2025-03,8,,,0
direction,D0,month,2025-03,9,,,0
direction,D0,month,2025-03,10,,,0
direction,D1,month,2025-03,1,,,0
direction,D1,month,2025-03,2,,,0
direction,D1,month,2025-03,3,0.251645342533,1,3
direction,D1,month,2025-03,4,0.370566978671,0.583333333333,12
direction,D1,month,2025-03,5,0.45793035523,0.333333333333,9
direction,D1,month,2025-03,6,0.538026332926,0.333333333333,6
direction,D1,month,2025-03,7,0.649706597378,0.714285714286,7
direction,D1,month,2025-03,8,0.760049466352,0.5,2
direction,D1,month,2025-03,9,,,0
direction,D1,month,2025-03,10,,,0
direction,D2,month,2025-03,1,,,0
direction,D2,month,2025-03,2,0.185454791429,1,1
direction,D2,month,2025-03,3,0.226426801924,0.5,4
direction,D2,month,2025-03,4,0.359442133404,0.625,8
direction,D2,month,2025-03,5,0.462578588205,0.428571428571,7
direction,D2,month,2025-03,6,0.547423514753,0.571428571429,7
