period,dimension,omitted,remaining_rows,remaining_sessions,down_rate_spread,up_rate_spread,mean_aligned_return,omitted_acted_share
stress,checkpoint,16,519,67,0.007575757575757569,0.04292929292929293,0.0003889941309188241,0.014285714285714285
stress,checkpoint,18,521,67,0.0,0.05882352941176469,0.0005509529532965692,0.02857142857142857
stress,checkpoint,20,511,67,0.006249999999999978,0.04375000000000001,0.00042701097211634144,0.04285714285714286
stress,checkpoint,22,520,67,-0.010416666666666685,0.03819444444444445,0.00020357061298283794,0.02857142857142857
stress,checkpoint,24,524,67,0.007575757575757569,0.04292929292929293,0.0002741394467810175,0.014285714285714285
stress,checkpoint,28,522,67,0.007575757575757569,0.04292929292929293,0.00040128055134370946,0.014285714285714285
stress,checkpoint,30,521,67,-0.004901960784313764,0.04738562091503268,0.00037745101932043084,0.0
stress,checkpoint,32,523,67,-0.022727272727272763,0.04292929292929293,3.149704234537803e-05,0.014285714285714285
stress,checkpoint,34,524,67,0.007575757575757569,0.04292929292929293,0.00029845074378547447,0.014285714285714285
stress,checkpoint,6,83,40,-0.05982905982905978,0.1111111111111111,0.0011138536290159812,0.6857142857142857
stress,checkpoint,8,521,67,0.0117647058823529,0.05294117647058824,0.0006353647259669797,0.014285714285714285
