period,dimension,value,acted_rows,acted_share,sessions,stocks,mean_aligned_return,down_rate,up_rate
stress,session,2025-09-09,1,0.014285714285714285,1,1,-0.03541834739142376,0.0,1.0
stress,session,2025-09-10,1,0.014285714285714285,1,1,0.0007733525044696342,0.0,0.0
stress,session,2025-09-11,1,0.014285714285714285,1,1,0.0044871349705463545,0.0,0.0
stress,session,2025-09-12,3,0.04285714285714286,1,3,0.02442816118326226,0.0,1.0
stress,session,2025-09-19,1,0.014285714285714285,1,1,-0.0022855450229061856,0.0,0.0
stress,session,2025-09-25,1,0.014285714285714285,1,1,0.009987233695733313,0.0,0.0
stress,session,2025-09-26,1,0.014285714285714285,1,1,0.03713473560523856,1.0,0.0
stress,session,2025-10-03,1,0.014285714285714285,1,1,-0.005097802250548184,0.0,0.0
stress,session,2025-10-07,4,0.05714285714285714,1,4,0.0009598184711210501,0.25,0.25
stress,session,2025-10-08,1,0.014285714285714285,1,1,-0.03213383675603398,1.0,0.0
stress,session,2025-10-10,1,0.014285714285714285,1,1,0.022505020466919066,1.0,0.0
stress,session,2025-10-14,1,0.014285714285714285,1,1,0.0032907640995076654,0.0,0.0
stress,session,2025-10-15,1,0.014285714285714285,1,1,0.0180833395711605,1.0,0.0
stress,session,2025-10-24,2,0.02857142857142857,1,1,0.009824682647827465,0.0,1.0
stress,session,2025-10-28,2,0.02857142857142857,1,1,-0.0010734554697281948,0.5,0.5
stress,session,2025-11-04,4,0.05714285714285714,1,4,-0.004522880166441193,0.75,0.0
stress,session,2025-11-06,4,0.05714285714285714,1,3,0.005200193138043901,0.5,0.0
stress,session,2025-11-11,4,0.05714285714285714,1,4,0.011660615417894947,0.5,0.0
stress,session,2025-11-12,3,0.04285714285714286,1,3,-0.010981713443693607,0.6666666666666666,0.0
stress,session,2025-11-13,4,0.05714285714285714,1,3,-0.0026379918218031005,0.25,0.25
stress,session,2025-11-14,3,0.04285714285714286,1,3,-0.02415461487333601,0.6666666666666666,0.0
stress,session,2025-11-20,5,0.07142857142857142,1,4,0.0065486399917024235,0.2,0.0
stress,session,2025-11-21,5,0.07142857142857142,1,4,-0.013353735413091686,0.8,0.0
stress,session,2025-11-25,3,0.04285714285714286,1,3,0.016120599077114526,0.6666666666666666,0.0
stress,session,2025-12-04,1,0.014285714285714285,1,1,-0.014185640285005803,1.0,0.0
stress,session,2025-12-11,1,0.014285714285714285,1,1,-0.02056163844951919,0.0,1.0
stress,session,2025-12-12,1,0.014285714285714285,1,1,-0.005831835550248161,0.0,0.0
stress,session,2025-12-17,3,0.04285714285714286,1,3,-0.0068779003964527866,0.0,0.6666666666666666
stress,session,2025-12-26,2,0.02857142857142857,1,2,0.012705368706314524,1.0,0.0
stress,session,2025-12-30,1,0.014285714285714285,1,1,0.00465708719440929,0.0,0.0
stress,checkpoint,6,48,0.6857142857142857,27,19,3.9933156543303594e-05,0.4166666666666667,0.22916666666666666
stress,checkpoint,8,1,0.014285714285714285,1,1,-0.017418594739291436,1.0,0.0
stress,checkpoint,10,2,0.02857142857142857,1,2,-0.0020363508511087444,0.0,0.0
stress,checkpoint,14,7,0.1,7,7,0.0015359736066068266,0.42857142857142855,0.14285714285714285
stress,checkpoint,16,1,0.014285714285714285,1,1,-0.0004190236809687198,0.0,0.0
stress,checkpoint,18,2,0.02857142857142857,2,2,-0.005521614735868274,0.5,0.0
stress,checkpoint,20,3,0.04285714285714286,3,2,-0.0007293879264549204,0.6666666666666666,0.0
stress,checkpoint,22,2,0.02857142857142857,1,2,0.006289384834798571,0.5,0.0
stress,checkpoint,24,1,0.014285714285714285,1,1,0.007505949524539944,0.0,0.0
stress,checkpoint,28,1,0.014285714285714285,1,1,-0.001266786690285816,0.0,0.0
stress,checkpoint,32,1,0.014285714285714285,1,1,0.024248275430599077,1.0,0.0
stress,checkpoint,34,1,0.014285714285714285,1,1,0.005828470031232406,0.0,0.0
stress,time_of_day,14:00:00+0000,18,0.2571428571428571,14,13,0.006786191076264404,0.2222222222222222,0.3888888888888889
stress,time_of_day,14:20:00+0000,2,0.02857142857142857,1,2,-0.0020363508511087444,0.0,0.0
stress,time_of_day,14:40:00+0000,4,0.05714285714285714,4,4,-0.0017695307130865814,0.25,0.25
stress,time_of_day,15:00:00+0000,30,0.42857142857142855,13,16,-0.004007821595289356,0.5333333333333333,0.13333333333333333
stress,time_of_day,15:10:00+0000,3,0.04285714285714286,3,2,-0.006193242927350055,1.0,0.0
stress,time_of_day,15:40:00+0000,3,0.04285714285714286,3,3,0.005943312699531372,0.6666666666666666,0.0
stress,time_of_day,15:50:00+0000,1,0.014285714285714285,1,1,-0.0004190236809687198,0.0,0.0
stress,time_of_day,16:00:00+0000,2,0.02857142857142857,2,2,-0.005521614735868274,0.5,0.0
stress,time_of_day,16:10:00+0000,1,0.014285714285714285,1,1,-0.0010270297366060332,0.0,0.0
stress,time_of_day,16:20:00+0000,2,0.02857142857142857,1,2,0.006289384834798571,0.5,0.0
stress,time_of_day,16:30:00+0000,1,0.014285714285714285,1,1,0.007505949524539944,0.0,0.0
stress,time_of_day,16:50:00+0000,1,0.014285714285714285,1,1,-0.001266786690285816,0.0,0.0
stress,time_of_day,17:10:00+0000,1,0.014285714285714285,1,1,0.024248275430599077,1.0,0.0
stress,time_of_day,17:20:00+0000,1,0.014285714285714285,1,1,0.005828470031232406,0.0,0.0
