signature_id,direction,stage,condition_count,rows,sessions,stocks,mean_directional_net_bps,directional_lift,raw_p_value,fdr_q_value,discovery_score,discovery_supported_effect,discovery_eligible,rejection_reasons_json,conditions_json
long__close_location_bin__high__scheduled_bars_remaining_bin__41__state_motif_2__3gt0__2f6ae69a51,LONG,three_condition,3,44,40,13,1.59050491479,-0.0093883621491,1,1,-0.443603338864,False,False,"[""fdr_not_passed"",""insufficient_rows"",""non_positive_discovery_lift""]","[{""family"":""bar_shape"",""feature"":""close_location_bin"",""operator"":""=="",""value"":""high""},{""family"":""clock"",""feature"":""scheduled_bars_remaining_bin"",""operator"":""=="",""value"":""41""},{""family"":""state_history"",""feature"":""state_motif_2"",""operator"":""=="",""value"":""3>0""}]"
long__close_location_bin__high__scheduled_bars_remaining_bin__41__state_motif_2__4gt6__04f482018e,LONG,three_condition,3,28,24,12,-22.1678789076,0.094507741747,1,1,-0.453038270523,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_rows"",""insufficient_sessions"",""non_positive_discovery_payoff""]","[{""family"":""bar_shape"",""feature"":""close_location_bin"",""operator"":""=="",""value"":""high""},{""family"":""clock"",""feature"":""scheduled_bars_remaining_bin"",""operator"":""=="",""value"":""41""},{""family"":""state_history"",""feature"":""state_motif_2"",""operator"":""=="",""value"":""4>6""}]"
long__close_location_bin__high__scheduled_bars_remaining_bin__41__state_motif_3__3gt6gt3__493bd28fbc,LONG,three_condition,3,23,20,14,1.86577044318,-0.00642393527163,1,1,-0.456425575595,False,False,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_rows"",""insufficient_sessions"",""non_positive_discovery_lift""]","[{""family"":""bar_shape"",""feature"":""close_location_bin"",""operator"":""=="",""value"":""high""},{""family"":""clock"",""feature"":""scheduled_bars_remaining_bin"",""operator"":""=="",""value"":""41""},{""family"":""state_history"",""feature"":""state_motif_3"",""operator"":""=="",""value"":""3>6>3""}]"
long__close_location_bin__low__compatibility_entropy_bin__diffuse__decision_clock__clock_36__8d4e981da8,LONG,three_condition,3,4,4,4,126.776466885,0.558793456033,1,1,-1.00926872499,False,False,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks""]","[{""family"":""bar_shape"",""feature"":""close_location_bin"",""operator"":""=="",""value"":""low""},{""family"":""loop"",""feature"":""compatibility_entropy_bin"",""operator"":""=="",""value"":""diffuse""},{""family"":""clock"",""feature"":""decision_clock"",""operator"":""=="",""value"":""clock_36""}]"
long__close_location_bin__low__departure_probability_bin__high__return_12_bin__zero_to_plus_one__c3d1000789,LONG,three_condition,3,164,114,20,-19.8114629093,-0.0448650805526,0.707553099511,0.999955450325,-0.482654995262,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]","[{""family"":""bar_shape"",""feature"":""close_location_bin"",""operator"":""=="",""value"":""low""},{""family"":""structural_state"",""feature"":""departure_probability_bin"",""operator"":""=="",""value"":""high""},{""family"":""price_displacement"",""feature"":""return_12_bin"",""operator"":""=="",""value"":""zero_to_plus_one""}]"
long__close_location_bin__low__historical_activity_bin__middle__state_motif_2__1gt3__00743a402d,LONG,three_condition,3,104,69,20,-36.0570876187,-0.0950526978134,0.984573867243,0.999955450325,-0.469521787006,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]","[{""family"":""bar_shape"",""feature"":""close_location_bin"",""operator"":""=="",""value"":""low""},{""family"":""liquidity_cost"",""feature"":""historical_activity_bin"",""operator"":""=="",""value"":""middle""},{""family"":""state_history"",""feature"":""state_motif_2"",""operator"":""=="",""value"":""1>3""}]"
long__close_location_bin__low__prior_completed_dwell_bin__missing__state_motif_2__3gt1__904166ed5c,LONG,three_condition,3,0,0,0,,,1,1,,False,False,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_months"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""zero_discovery_support""]","[{""family"":""bar_shape"",""feature"":""close_location_bin"",""operator"":""=="",""value"":""low""},{""family"":""structural_state"",""feature"":""prior_completed_dwell_bin"",""operator"":""=="",""value"":""missing""},{""family"":""state_history"",""feature"":""state_motif_2"",""operator"":""=="",""value"":""3>1""}]"
long__close_location_bin__low__state_age_bin__2_3__state_motif_2__3gt4__c89b21e887,LONG,three_condition,3,43,35,17,-46.7870444159,0.000653921148999,1,1,-0.500380463214,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_rows"",""non_positive_discovery_payoff""]","[{""family"":""bar_shape"",""feature"":""close_location_bin"",""operator"":""=="",""value"":""low""},{""family"":""structural_state"",""feature"":""state_age_bin"",""operator"":""=="",""value"":""2_3""},{""family"":""state_history"",""feature"":""state_motif_2"",""operator"":""=="",""value"":""3>4""}]"
long__close_location_bin__middle__departure_probability_bin__high__realised_volatility_bin__middle__22dfa444d9,LONG,three_condition,3,273,159,20,-3.81928972475,0.00567990291917,0.711311884991,0.999955450325,-0.45,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]","[{""family"":""bar_shape"",""feature"":""close_location_bin"",""operator"":""=="",""value"":""middle""},{""family"":""structural_state"",""feature"":""departure_probability_bin"",""operator"":""=="",""value"":""high""},{""family"":""range"",""feature"":""realised_volatility_bin"",""operator"":""=="",""value"":""middle""}]"
long__close_location_bin__middle__historical_activity_bin__high__previous_state__6.0__6328fe4b89,LONG,three_condition,3,78,69,19,55.6151929067,0.0587934560327,1,1,-0.45,False,False,"[""fdr_not_passed"",""insufficient_rows""]","[{""family"":""bar_shape"",""feature"":""close_location_bin"",""operator"":""=="",""value"":""middle""},{""family"":""liquidity_cost"",""feature"":""historical_activity_bin"",""operator"":""=="",""value"":""high""},{""family"":""structural_state"",""feature"":""previous_state"",""operator"":""=="",""value"":6.0}]"
