signature_id,direction,dimension,value,rows,total_net_bps,mean_net_bps
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-01-17|clock_12,2,-337.985725159,-168.992862579
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-01-17|clock_36,1,-71.6268245457,-71.6268245457
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-01-21|clock_12,1,535.190399698,535.190399698
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-01-21|clock_36,1,-188.214883139,-188.214883139
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-01-23|clock_36,1,-48.022230946,-48.022230946
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-01-24|clock_12,2,-502.710016032,-251.355008016
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-01-24|clock_36,1,-665.262255742,-665.262255742
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-01-27|clock_12,2,-1741.65263433,-870.826317164
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-01-31|clock_12,2,-389.364706892,-194.682353446
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-01-31|clock_36,1,-178.918918919,-178.918918919
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-02-04|clock_12,1,17.2186986643,17.2186986643
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-02-05|clock_36,1,27.0975592235,27.0975592235
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-02-11|clock_36,1,-31.8435109718,-31.8435109718
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-02-14|clock_12,1,344.231672546,344.231672546
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-02-18|clock_12,1,-188.763062257,-188.763062257
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-02-19|clock_12,1,573.384726644,573.384726644
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-02-19|clock_36,3,308.224636328,102.741545443
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-02-20|clock_36,2,-398.18213186,-199.09106593
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-02-21|clock_12,1,-294.326332333,-294.326332333
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-02-21|clock_36,1,-79.5306631962,-79.5306631962
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-02-24|clock_12,1,180.70227704,180.70227704
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-02-26|clock_36,1,-138.754655639,-138.754655639
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-02-27|clock_12,3,-693.381981153,-231.127327051
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-02-27|clock_36,1,-402.738141993,-402.738141993
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-03-04|clock_12,1,414.765658747,414.765658747
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-03-10|clock_36,2,-887.409865415,-443.704932707
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-03-14|clock_12,1,-45.8096406121,-45.8096406121
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-03-17|clock_12,1,327.077715356,327.077715356
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-03-17|clock_36,1,128.614757809,128.614757809
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-03-19|clock_12,1,113.196506119,113.196506119
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-04-04|clock_12,1,-167.590781072,-167.590781072
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-04-04|clock_36,1,719.48372613,719.48372613
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-04-14|clock_36,1,23.1736097742,23.1736097742
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-04-15|clock_12,1,-632.67747646,-632.67747646
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-04-15|clock_36,1,-622.855007474,-622.855007474
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-04-16|clock_36,1,-298.695652174,-298.695652174
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-04-29|clock_12,1,566.216098081,566.216098081
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-04-29|clock_36,1,-97.5605330124,-97.5605330124
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-05-06|clock_36,1,735.609725932,735.609725932
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-05-07|clock_12,1,-254.139120326,-254.139120326
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-05-09|clock_12,2,-433.288380338,-216.644190169
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-05-13|clock_36,1,92.2389068732,92.2389068732
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-05-14|clock_12,1,253.791752842,253.791752842
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-05-15|clock_12,2,-68.07922808,-34.03961404
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-05-15|clock_36,1,-75.0128884706,-75.0128884706
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-05-16|clock_12,1,126.467041163,126.467041163
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-05-20|clock_36,2,-98.3470012926,-49.1735006463
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-05-21|clock_36,3,-1447.33333229,-482.444444096
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-05-22|clock_12,1,525.474322826,525.474322826
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-05-22|clock_36,2,462.636110811,231.318055405
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-05-27|clock_12,1,3012.56378061,3012.56378061
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-05-29|clock_36,1,-530.073148974,-530.073148974
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-06-02|clock_12,2,-337.212777483,-168.606388742
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-06-02|clock_36,3,457.057051711,152.35235057
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-06-03|clock_36,2,-390.435746142,-195.217873071
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-06-04|clock_12,2,650.182414301,325.09120715
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-06-04|clock_36,1,334.774192269,334.774192269
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-06-05|clock_36,2,22.6380150685,11.3190075343
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-06-06|clock_12,2,-522.225945896,-261.112972948
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-06-09|clock_12,2,262.591199667,131.295599834
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-06-09|clock_36,2,-101.410067332,-50.705033666
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-06-11|clock_12,1,-514.161486425,-514.161486425
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-06-11|clock_36,1,181.341016351,181.341016351
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-06-12|clock_12,1,-532.131077876,-532.131077876
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-06-13|clock_12,2,699.147827774,349.573913887
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-06-13|clock_36,2,-850.29424196,-425.14712098
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-06-16|clock_12,1,-351.085315386,-351.085315386
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-06-16|clock_36,2,-220.367761676,-110.183880838
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-06-17|clock_12,1,107.054051654,107.054051654
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-06-17|clock_36,2,-137.82587753,-68.9129387648
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-06-18|clock_36,1,-130.623842697,-130.623842697
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-06-20|clock_12,1,181.489637845,181.489637845
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-06-23|clock_12,1,-236.4107309,-236.4107309
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-06-23|clock_36,1,239.923656482,239.923656482
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2025-06-24|clock_12,1,347.77318117,347.77318117
