population,scope_type,scope_value,target,model,bin,lower_bound_inclusive,upper_bound_exclusive_except_last,rows,mean_probability,observed_rate
primary_high_movement,checkpoint,6,up_given_onset,D3,4,0.3,0.4,60,0.354096876411,0.516666666667
primary_high_movement,checkpoint,6,up_given_onset,D3,5,0.4,0.5,67,0.438017222183,0.522388059701
primary_high_movement,checkpoint,6,up_given_onset,D3,6,0.5,0.6,60,0.549153117357,0.55
primary_high_movement,checkpoint,6,up_given_onset,D3,7,0.6,0.7,49,0.647708083348,0.612244897959
primary_high_movement,checkpoint,6,up_given_onset,D3,8,0.7,0.8,42,0.751846110091,0.571428571429
primary_high_movement,checkpoint,6,up_given_onset,D3,9,0.8,0.9,23,0.835467682531,0.652173913043
primary_high_movement,checkpoint,6,up_given_onset,D3,10,0.9,1,0,,
primary_high_movement,month,2025-01,directional_onset,A0,1,0,0.1,0,,
primary_high_movement,month,2025-01,directional_onset,A0,2,0.1,0.2,0,,
primary_high_movement,month,2025-01,directional_onset,A0,3,0.2,0.3,0,,
primary_high_movement,month,2025-01,directional_onset,A0,4,0.3,0.4,68,0.381122996768,0.352941176471
primary_high_movement,month,2025-01,directional_onset,A0,5,0.4,0.5,98,0.443093358751,0.428571428571
primary_high_movement,month,2025-01,directional_onset,A0,6,0.5,0.6,43,0.546417724168,0.558139534884
primary_high_movement,month,2025-01,directional_onset,A0,7,0.6,0.7,30,0.650949139408,0.533333333333
primary_high_movement,month,2025-01,directional_onset,A0,8,0.7,0.8,21,0.739928217465,0.809523809524
primary_high_movement,month,2025-01,directional_onset,A0,9,0.8,0.9,19,0.844635683299,0.736842105263
primary_high_movement,month,2025-01,directional_onset,A0,10,0.9,1,19,0.924011640686,1
primary_high_movement,month,2025-01,directional_onset,A1,1,0,0.1,0,,
primary_high_movement,month,2025-01,directional_onset,A1,2,0.1,0.2,0,,
primary_high_movement,month,2025-01,directional_onset,A1,3,0.2,0.3,2,0.291283817975,0
primary_high_movement,month,2025-01,directional_onset,A1,4,0.3,0.4,74,0.364165084208,0.351351351351
primary_high_movement,month,2025-01,directional_onset,A1,5,0.4,0.5,86,0.444674385867,0.476744186047
primary_high_movement,month,2025-01,directional_onset,A1,6,0.5,0.6,33,0.554779707462,0.545454545455
primary_high_movement,month,2025-01,directional_onset,A1,7,0.6,0.7,35,0.64916731848,0.428571428571
primary_high_movement,month,2025-01,directional_onset,A1,8,0.7,0.8,26,0.740089081514,0.730769230769
primary_high_movement,month,2025-01,directional_onset,A1,9,0.8,0.9,23,0.857173874311,0.826086956522
primary_high_movement,month,2025-01,directional_onset,A1,10,0.9,1,19,0.942638873365,0.947368421053
primary_high_movement,month,2025-01,directional_onset,A2,1,0,0.1,0,,
primary_high_movement,month,2025-01,directional_onset,A2,2,0.1,0.2,0,,
primary_high_movement,month,2025-01,directional_onset,A2,3,0.2,0.3,9,0.268141564354,0.222222222222
primary_high_movement,month,2025-01,directional_onset,A2,4,0.3,0.4,57,0.357191037704,0.350877192982
primary_high_movement,month,2025-01,directional_onset,A2,5,0.4,0.5,73,0.445661607486,0.452054794521
primary_high_movement,month,2025-01,directional_onset,A2,6,0.5,0.6,51,0.545410016121,0.549019607843
primary_high_movement,month,2025-01,directional_onset,A2,7,0.6,0.7,34,0.651597367201,0.441176470588
primary_high_movement,month,2025-01,directional_onset,A2,8,0.7,0.8,26,0.733496377631,0.692307692308
primary_high_movement,month,2025-01,directional_onset,A2,9,0.8,0.9,25,0.854065278791,0.72
primary_high_movement,month,2025-01,directional_onset,A2,10,0.9,1,23,0.949768899592,0.95652173913
primary_high_movement,month,2025-01,directional_onset,A3,1,0,0.1,0,,
primary_high_movement,month,2025-01,directional_onset,A3,2,0.1,0.2,0,,
primary_high_movement,month,2025-01,directional_onset,A3,3,0.2,0.3,25,0.26331436372,0.32
primary_high_movement,month,2025-01,directional_onset,A3,4,0.3,0.4,51,0.355915041201,0.294117647059
primary_high_movement,month,2025-01,directional_onset,A3,5,0.4,0.5,61,0.44867207549,0.491803278689
primary_high_movement,month,2025-01,directional_onset,A3,6,0.5,0.6,45,0.543620408119,0.422222222222
primary_high_movement,month,2025-01,directional_onset,A3,7,0.6,0.7,39,0.651821820365,0.666666666667
primary_high_movement,month,2025-01,directional_onset,A3,8,0.7,0.8,29,0.745608816181,0.586206896552
primary_high_movement,month,2025-01,directional_onset,A3,9,0.8,0.9,20,0.846998363428,0.85
primary_high_movement,month,2025-01,directional_onset,A3,10,0.9,1,28,0.948507786816,0.857142857143
primary_high_movement,month,2025-01,up_given_onset,D0,1,0,0.1,0,,
primary_high_movement,month,2025-01,up_given_onset,D0,2,0.1,0.2,0,,
primary_high_movement,month,2025-01,up_given_onset,D0,3,0.2,0.3,0,,
primary_high_movement,month,2025-01,up_given_onset,D0,4,0.3,0.4,0,,
primary_high_movement,month,2025-01,up_given_onset,D0,5,0.4,0.5,76,0.474816290086,0.526315789474
primary_high_movement,month,2025-01,up_given_onset,D0,6,0.5,0.6,80,0.523672235944,0.425
primary_high_movement,month,2025-01,up_given_onset,D0,7,0.6,0.7,0,,
primary_high_movement,month,2025-01,up_given_onset,D0,8,0.7,0.8,0,,
primary_high_movement,month,2025-01,up_given_onset,D0,9,0.8,0.9,0,,
primary_high_movement,month,2025-01,up_given_onset,D0,10,0.9,1,0,,
primary_high_movement,month,2025-01,up_given_onset,D1,1,0,0.1,0,,
primary_high_movement,month,2025-01,up_given_onset,D1,2,0.1,0.2,0,,
primary_high_movement,month,2025-01,up_given_onset,D1,3,0.2,0.3,0,,
primary_high_movement,month,2025-01,up_given_onset,D1,4,0.3,0.4,26,0.376006150842,0.5
primary_high_movement,month,2025-01,up_given_onset,D1,5,0.4,0.5,79,0.450124829824,0.430379746835
primary_high_movement,month,2025-01,up_given_onset,D1,6,0.5,0.6,47,0.545973589485,0.510638297872
primary_high_movement,month,2025-01,up_given_onset,D1,7,0.6,0.7,3,0.612395517769,1
primary_high_movement,month,2025-01,up_given_onset,D1,8,0.7,0.8,1,0.732312207037,0
primary_high_movement,month,2025-01,up_given_onset,D1,9,0.8,0.9,0,,
primary_high_movement,month,2025-01,up_given_onset,D1,10,0.9,1,0,,
primary_high_movement,month,2025-01,up_given_onset,D2,1,0,0.1,0,,
primary_high_movement,month,2025-01,up_given_onset,D2,2,0.1,0.2,1,0.199260949972,1
primary_high_movement,month,2025-01,up_given_onset,D2,3,0.2,0.3,16,0.250074574804,0.625
primary_high_movement,month,2025-01,up_given_onset,D2,4,0.3,0.4,38,0.358027097571,0.421052631579
primary_high_movement,month,2025-01,up_given_onset,D2,5,0.4,0.5,40,0.451986977881,0.5
primary_high_movement,month,2025-01,up_given_onset,D2,6,0.5,0.6,30,0.546976283388,0.433333333333
primary_high_movement,month,2025-01,up_given_onset,D2,7,0.6,0.7,21,0.63907806216,0.380952380952
primary_high_movement,month,2025-01,up_given_onset,D2,8,0.7,0.8,9,0.74033637906,0.555555555556
primary_high_movement,month,2025-01,up_given_onset,D2,9,0.8,0.9,1,0.803515177882,1
primary_high_movement,month,2025-01,up_given_onset,D2,10,0.9,1,0,,
primary_high_movement,month,2025-01,up_given_onset,D3,1,0,0.1,0,,
primary_high_movement,month,2025-01,up_given_onset,D3,2,0.1,0.2,6,0.167712466795,0.666666666667
primary_high_movement,month,2025-01,up_given_onset,D3,3,0.2,0.3,15,0.259893733352,0.733333333333
primary_high_movement,month,2025-01,up_given_onset,D3,4,0.3,0.4,31,0.35506333661,0.483870967742
primary_high_movement,month,2025-01,up_given_onset,D3,5,0.4,0.5,37,0.439327511185,0.351351351351
primary_high_movement,month,2025-01,up_given_onset,D3,6,0.5,0.6,40,0.545700272921,0.45
primary_high_movement,month,2025-01,up_given_onset,D3,7,0.6,0.7,16,0.651405184974,0.375
primary_high_movement,month,2025-01,up_given_onset,D3,8,0.7,0.8,6,0.745690301637,0.666666666667
primary_high_movement,month,2025-01,up_given_onset,D3,9,0.8,0.9,5,0.841110003975,0.6
primary_high_movement,month,2025-01,up_given_onset,D3,10,0.9,1,0,,
primary_high_movement,month,2025-02,directional_onset,A0,1,0,0.1,0,,
primary_high_movement,month,2025-02,directional_onset,A0,2,0.1,0.2,0,,
primary_high_movement,month,2025-02,directional_onset,A0,3,0.2,0.3,0,,
primary_high_movement,month,2025-02,directional_onset,A0,4,0.3,0.4,50,0.378999364707,0.4
primary_high_movement,month,2025-02,directional_onset,A0,5,0.4,0.5,97,0.435117017481,0.474226804124
primary_high_movement,month,2025-02,directional_onset,A0,6,0.5,0.6,58,0.541120090895,0.448275862069
primary_high_movement,month,2025-02,directional_onset,A0,7,0.6,0.7,32,0.647861411247,0.59375
primary_high_movement,month,2025-02,directional_onset,A0,8,0.7,0.8,16,0.729106151923,0.625
primary_high_movement,month,2025-02,directional_onset,A0,9,0.8,0.9,12,0.836430973916,0.75
primary_high_movement,month,2025-02,directional_onset,A0,10,0.9,1,0,,
primary_high_movement,month,2025-02,directional_onset,A1,1,0,0.1,0,,
primary_high_movement,month,2025-02,directional_onset,A1,2,0.1,0.2,0,,
primary_high_movement,month,2025-02,directional_onset,A1,3,0.2,0.3,2,0.296333253427,1
primary_high_movement,month,2025-02,directional_onset,A1,4,0.3,0.4,62,0.363118913834,0.387096774194
primary_high_movement,month,2025-02,directional_onset,A1,5,0.4,0.5,86,0.445829709978,0.418604651163
primary_high_movement,month,2025-02,directional_onset,A1,6,0.5,0.6,49,0.552323491015,0.510204081633
primary_high_movement,month,2025-02,directional_onset,A1,7,0.6,0.7,34,0.649890981023,0.705882352941
primary_high_movement,month,2025-02,directional_onset,A1,8,0.7,0.8,20,0.739823231735,0.55
primary_high_movement,month,2025-02,directional_onset,A1,9,0.8,0.9,10,0.845519613721,0.6
primary_high_movement,month,2025-02,directional_onset,A1,10,0.9,1,2,0.926791344801,1
primary_high_movement,month,2025-02,directional_onset,A2,1,0,0.1,0,,
primary_high_movement,month,2025-02,directional_onset,A2,2,0.1,0.2,0,,
primary_high_movement,month,2025-02,directional_onset,A2,3,0.2,0.3,12,0.263546443305,0.333333333333
primary_high_movement,month,2025-02,directional_onset,A2,4,0.3,0.4,53,0.359063757598,0.396226415094
primary_high_movement,month,2025-02,directional_onset,A2,5,0.4,0.5,76,0.446852808699,0.434210526316
primary_high_movement,month,2025-02,directional_onset,A2,6,0.5,0.6,52,0.549552241048,0.480769230769
primary_high_movement,month,2025-02,directional_onset,A2,7,0.6,0.7,41,0.643370042519,0.658536585366
primary_high_movement,month,2025-02,directional_onset,A2,8,0.7,0.8,17,0.742056275813,0.647058823529
primary_high_movement,month,2025-02,directional_onset,A2,9,0.8,0.9,10,0.841617037595,0.6
primary_high_movement,month,2025-02,directional_onset,A2,10,0.9,1,4,0.928885503703,0.75
primary_high_movement,month,2025-02,directional_onset,A3,1,0,0.1,0,,
primary_high_movement,month,2025-02,directional_onset,A3,2,0.1,0.2,3,0.167428497058,0
primary_high_movement,month,2025-02,directional_onset,A3,3,0.2,0.3,19,0.271057604336,0.368421052632
primary_high_movement,month,2025-02,directional_onset,A3,4,0.3,0.4,55,0.355809609523,0.4
primary_high_movement,month,2025-02,directional_onset,A3,5,0.4,0.5,59,0.44817923608,0.406779661017
primary_high_movement,month,2025-02,directional_onset,A3,6,0.5,0.6,54,0.549283144064,0.518518518519
primary_high_movement,month,2025-02,directional_onset,A3,7,0.6,0.7,35,0.646310266421,0.571428571429
primary_high_movement,month,2025-02,directional_onset,A3,8,0.7,0.8,25,0.742919152957,0.76
primary_high_movement,month,2025-02,directional_onset,A3,9,0.8,0.9,9,0.852897123051,0.666666666667
primary_high_movement,month,2025-02,directional_onset,A3,10,0.9,1,6,0.925910130367,0.666666666667
primary_high_movement,month,2025-02,up_given_onset,D0,1,0,0.1,0,,
primary_high_movement,month,2025-02,up_given_onset,D0,2,0.1,0.2,0,,
primary_high_movement,month,2025-02,up_given_onset,D0,3,0.2,0.3,0,,
primary_high_movement,month,2025-02,up_given_onset,D0,4,0.3,0.4,0,,
primary_high_movement,month,2025-02,up_given_onset,D0,5,0.4,0.5,64,0.47359530799,0.53125
primary_high_movement,month,2025-02,up_given_onset,D0,6,0.5,0.6,66,0.520416223469,0.454545454545
primary_high_movement,month,2025-02,up_given_onset,D0,7,0.6,0.7,0,,
primary_high_movement,month,2025-02,up_given_onset,D0,8,0.7,0.8,0,,
primary_high_movement,month,2025-02,up_given_onset,D0,9,0.8,0.9,0,,
primary_high_movement,month,2025-02,up_given_onset,D0,10,0.9,1,0,,
primary_high_movement,month,2025-02,up_given_onset,D1,1,0,0.1,0,,
primary_high_movement,month,2025-02,up_given_onset,D1,2,0.1,0.2,0,,
primary_high_movement,month,2025-02,up_given_onset,D1,3,0.2,0.3,0,,
primary_high_movement,month,2025-02,up_given_onset,D1,4,0.3,0.4,11,0.382354498722,0.545454545455
primary_high_movement,month,2025-02,up_given_onset,D1,5,0.4,0.5,43,0.459537804251,0.581395348837
primary_high_movement,month,2025-02,up_given_onset,D1,6,0.5,0.6,65,0.539616215907,0.446153846154
