record_type,draw,comparison,metric,real_value,null_value,null_q90,real_percentile,draws,activity_bundle_sha256
draw,36,A3_minus_A2,brier,-0.00355079840748,-0.00177708135699,,,50,bebea73de867d68237f555d8a874470104a71a165cb67b483d9f1edfaf87d869
draw,37,A3_minus_A2,brier,-0.00355079840748,-0.00192822499592,,,50,b8b782662cbddd6a221350abab4680e9634ef0826042badab4785227133c2d32
draw,38,A3_minus_A2,brier,-0.00355079840748,-0.00347259578094,,,50,53b403afba41e33e67c85a0b2805e512b7f0af9282e20d4dd379f18832feec93
draw,39,A3_minus_A2,brier,-0.00355079840748,-0.00255299061763,,,50,a6d57eeb55be9153ef35c9a41b181d90bed2991dc29fa44e33fcab06f1fa9c3b
draw,40,A3_minus_A2,brier,-0.00355079840748,-0.00329784881292,,,50,fc75a225e87ec9b9f432769dbc55f56432a616bd4827768e442695c7bca57efc
draw,41,A3_minus_A2,brier,-0.00355079840748,-0.000391605381672,,,50,1aaba12dde7c32b150eb4a536c428b93c0151f440019fb1c0cc2033ff19331dd
draw,42,A3_minus_A2,brier,-0.00355079840748,-0.00157095016242,,,50,d0bad1a21216e9a7c03c87f2633caa051fc2c2f3ac6cafea089d5f25acf8d274
draw,43,A3_minus_A2,brier,-0.00355079840748,0.00022556386802,,,50,a79057aa06eba761f4e84608521686e8cbd36965ee53cd0f833e13bf36ffa371
draw,44,A3_minus_A2,brier,-0.00355079840748,-0.00164182530331,,,50,8195e65affa43e39851cab5c95de4a83500cabb658ed1ecae95d7e387ce6038f
draw,45,A3_minus_A2,brier,-0.00355079840748,-0.00305888565973,,,50,3e1b15ee220d093dddf4e96c0259e8c2a2cce8602824ac8ec4d5de284795302f
draw,46,A3_minus_A2,brier,-0.00355079840748,0.000118367506836,,,50,8ef441ed723d451db5da25ab98491c4cad4117a100d27cc72f5433c9f7f398e6
draw,47,A3_minus_A2,brier,-0.00355079840748,-0.000205973058574,,,50,198fb6be848db87530b27373b902c531b0b7db7031eb699841e0aed8f7a9728f
draw,48,A3_minus_A2,brier,-0.00355079840748,-0.00101826826874,,,50,9d922e8d9df99aa4a9a0693c9eca2221ce0ee4c9f41a5adee10d03ff7bbb1b5b
draw,49,A3_minus_A2,brier,-0.00355079840748,-0.00201683843828,,,50,d8dd622605e027b7842be97b2cc5cc75292bc97fe6afd6bf93a0bc10c3a815d0
