candidate,scope_type,scope_value,horizon,friction_bps,mean_signed_return_bps,mean_cohort_relative_signed_return_bps,positive_selection_pct,rows
strongest_one_minute_reversal,month,2025-03,30_minute_terminal,20,46.9067653085,21.4318955615,0.605263157895,38
activity_system,month,2025-04,15_minute_terminal,0,15.3545737162,8.87652341174,0.6,35
activity_system,month,2025-04,15_minute_terminal,10,5.35457371619,-1.12347658826,0.571428571429,35
activity_system,month,2025-04,15_minute_terminal,20,-4.64542628381,-11.1234765883,0.571428571429,35
activity_system,month,2025-04,30_minute_terminal,0,44.6297503233,21.9005326171,0.571428571429,35
activity_system,month,2025-04,30_minute_terminal,10,34.6297503233,11.9005326171,0.542857142857,35
activity_system,month,2025-04,30_minute_terminal,20,24.6297503233,1.90053261708,0.542857142857,35
highest_one_minute_relative_momentum,month,2025-04,15_minute_terminal,0,-10.922812451,-0.417620268939,0.457142857143,35
highest_one_minute_relative_momentum,month,2025-04,15_minute_terminal,10,-20.922812451,-10.4176202689,0.457142857143,35
highest_one_minute_relative_momentum,month,2025-04,15_minute_terminal,20,-30.922812451,-20.4176202689,0.371428571429,35
highest_one_minute_relative_momentum,month,2025-04,30_minute_terminal,0,-4.90312452221,2.41565543482,0.485714285714,35
highest_one_minute_relative_momentum,month,2025-04,30_minute_terminal,10,-14.9031245222,-7.58434456518,0.4,35
highest_one_minute_relative_momentum,month,2025-04,30_minute_terminal,20,-24.9031245222,-17.5843445652,0.314285714286,35
interaction_system,month,2025-04,15_minute_terminal,0,12.9532296515,21.2509549327,0.542857142857,35
interaction_system,month,2025-04,15_minute_terminal,10,2.95322965152,11.2509549327,0.514285714286,35
interaction_system,month,2025-04,15_minute_terminal,20,-7.04677034848,1.2509549327,0.514285714286,35
interaction_system,month,2025-04,30_minute_terminal,0,27.3557517747,22.3108909507,0.485714285714,35
interaction_system,month,2025-04,30_minute_terminal,10,17.3557517747,12.3108909507,0.457142857143,35
interaction_system,month,2025-04,30_minute_terminal,20,7.35575177468,2.3108909507,0.457142857143,35
