model_name,dimension,value,opportunities,accepted_signals,accepted_trades,gross_pnl_bps,total_cost_bps,net_pnl_bps,mean_net_trade_bps,hit_rate
ewma_short_memory,stock,QBTS,645,12,12,-1787.3732654949229,120.0,-1907.3732654949226,-158.9477721245769,0.3333333333333333
ewma_short_memory,stock,RGTI,651,8,8,-891.1970400763703,80.0,-971.1970400763703,-121.39963000954629,0.375
ewma_short_memory,stock,RIOT,539,7,6,-381.34459286213286,60.0,-441.3445928621329,-73.55743214368881,0.5
ewma_short_memory,stock,RIVN,436,7,7,6.751018557440418,70.0,-63.24898144255957,-9.03556877750851,0.42857142857142855
ewma_short_memory,stock,SMCI,428,10,10,243.16238350627788,100.0,143.16238350627788,14.316238350627788,0.5
ewma_short_memory,stock,SOFI,411,6,5,269.0020251958691,50.0,219.00202519586915,43.80040503917383,0.6
ewma_short_memory,stock,WULF,713,9,9,425.58231899596404,90.0,335.58231899596404,37.286924332884894,0.5555555555555556
ewma_short_memory,state_change_phase,after_change_1_3,1474,41,41,-590.0670141186303,410.0,-1000.0670141186303,-24.391878393137322,0.5121951219512195
ewma_short_memory,state_change_phase,change_session,680,14,14,-418.7988191310545,140.0,-558.7988191310544,-39.91420136650389,0.42857142857142855
ewma_short_memory,state_change_phase,other,8228,113,110,-701.9593978472135,1100.0,-1801.9593978472133,-16.381449071338302,0.4727272727272727
hierarchical_change_point,year,2023,5120,137,130,-989.8865573183025,1300.0,-2289.886557318302,-17.614511979371553,0.45384615384615384
hierarchical_change_point,year,2025,5262,160,153,-2236.7006814744614,1530.0,-3766.7006814744614,-24.61895870244746,0.45751633986928103
hierarchical_change_point,month,2023-03,51,0,0,0.0,0.0,0.0,,
hierarchical_change_point,month,2023-04,480,12,11,-1910.708822634879,110.0,-2020.708822634879,-183.70080205771626,0.36363636363636365
hierarchical_change_point,month,2023-05,572,42,38,3134.8536305605726,380.0,2754.8536305605726,72.49614817264664,0.4473684210526316
hierarchical_change_point,month,2023-06,632,20,20,-1251.1321607672842,200.0,-1451.1321607672842,-72.5566080383642,0.45
hierarchical_change_point,month,2023-07,581,29,27,1099.7281461509715,270.0,829.7281461509714,30.730672079665606,0.5555555555555556
hierarchical_change_point,month,2023-08,635,5,5,102.28371128257365,50.0,52.28371128257365,10.45674225651473,0.4
hierarchical_change_point,month,2023-09,488,1,1,0.0,10.0,-10.0,-10.0,0.0
hierarchical_change_point,month,2023-10,563,8,8,-2352.557093692487,80.0,-2432.557093692487,-304.06963671156086,0.25
hierarchical_change_point,month,2023-11,567,5,5,-454.38375369511016,50.0,-504.38375369511016,-100.87675073902203,0.2
hierarchical_change_point,month,2023-12,551,15,15,642.0297854773414,150.0,492.0297854773416,32.80198569848944,0.6
hierarchical_change_point,month,2025-04,670,40,40,-1939.6412550211207,400.0,-2339.6412550211207,-58.49103137552802,0.475
hierarchical_change_point,month,2025-05,575,3,1,-858.2810123984275,10.0,-868.2810123984275,-868.2810123984275,0.0
hierarchical_change_point,month,2025-06,563,26,25,-308.33373717358285,250.0,-558.3337371735829,-22.333349486943316,0.44
hierarchical_change_point,month,2025-07,565,12,11,-1791.8090370471793,110.0,-1901.8090370471796,-172.8917306406527,0.09090909090909091
hierarchical_change_point,month,2025-08,486,1,1,60.645675373949274,10.0,50.645675373949274,50.645675373949274,1.0
hierarchical_change_point,month,2025-09,548,8,8,-248.6980248495885,80.0,-328.6980248495885,-41.08725310619856,0.5
hierarchical_change_point,month,2025-10,672,23,21,1196.7952625029802,210.0,986.79526250298,46.99025059538,0.47619047619047616
hierarchical_change_point,month,2025-11,618,36,35,3383.5545503244794,350.0,3033.55455032448,86.67298715212799,0.6
hierarchical_change_point,month,2025-12,565,11,11,-1730.933103185972,110.0,-1840.933103185972,-167.35755483508837,0.2727272727272727
hierarchical_change_point,loop,cycle_01,72,0,0,0.0,0.0,0.0,,
hierarchical_change_point,loop,cycle_02,37,0,0,0.0,0.0,0.0,,
hierarchical_change_point,loop,cycle_04,248,36,36,977.0034152425436,360.0,617.0034152425434,17.138983756737318,0.4722222222222222
hierarchical_change_point,loop,cycle_05,255,0,0,0.0,0.0,0.0,,
hierarchical_change_point,loop,cycle_06,5302,82,77,2443.4707508729675,770.0,1673.4707508729675,21.733386374973605,0.4935064935064935
hierarchical_change_point,loop,cycle_07,2177,136,131,-4653.089387301505,1310.0,-5963.089387301505,-45.51976631527866,0.4351145038167939
hierarchical_change_point,loop,cycle_08,68,0,0,0.0,0.0,0.0,,
hierarchical_change_point,loop,cycle_09,246,0,0,0.0,0.0,0.0,,
hierarchical_change_point,loop,cycle_10,31,0,0,0.0,0.0,0.0,,
hierarchical_change_point,loop,cycle_11,451,3,3,-72.99421872511314,30.0,-102.99421872511314,-34.33140624170438,0.3333333333333333
hierarchical_change_point,loop,cycle_13,1488,40,36,-1920.9777988816556,360.0,-2280.9777988816554,-63.360494413379314,0.4444444444444444
hierarchical_change_point,loop,cycle_20,7,0,0,0.0,0.0,0.0,,
hierarchical_change_point,orientation,state_0,255,0,0,0.0,0.0,0.0,,
hierarchical_change_point,orientation,state_1,103,0,0,0.0,0.0,0.0,,
hierarchical_change_point,orientation,state_2,41,0,0,0.0,0.0,0.0,,
hierarchical_change_point,orientation,state_3,72,0,0,0.0,0.0,0.0,,
hierarchical_change_point,orientation,state_4,2229,111,106,3205.0235218651246,1060.0,2145.0235218651246,20.236070960991743,0.4811320754716981
hierarchical_change_point,orientation,state_5,2304,147,140,-5103.789752834631,1400.0,-6503.789752834631,-46.455641091675936,0.4357142857142857
hierarchical_change_point,orientation,state_6,4264,21,20,-110.97651143514574,200.0,-310.97651143514577,-15.548825571757288,0.5
hierarchical_change_point,orientation,state_7,1114,18,17,-1216.844496388112,170.0,-1386.844496388112,-81.57908802283012,0.4117647058823529
hierarchical_change_point,sector,unavailable,10382,297,283,-3226.587238792764,2830.0,-6056.587238792763,-21.40136833495676,0.4558303886925795
hierarchical_change_point,stock,AAL,292,9,8,-67.11081649688703,80.0,-147.11081649688703,-18.388852062110878,0.5
hierarchical_change_point,stock,AAOI,536,14,13,2184.9893815350974,130.0,2054.9893815350974,158.07610627193057,0.6923076923076923
hierarchical_change_point,stock,APLD,614,16,16,1917.5174783235602,160.0,1757.5174783235605,109.84484239522253,0.5625
