period,horizon,selector,deleted_symbol,sessions,cumulative_return,annualized_return,annualized_volatility,descriptive_sharpe_zero_rate,maximum_drawdown,mean_daily_return
2025,12,loop_only,AAL,190,-0.012852270876335226,-0.017010321114350302,0.1146147548565255,-0.09315986529681052,-0.13022691454298363,-4.237101239468601e-05
2025,12,loop_only,AAOI,190,-0.015694225755154223,-0.020762009394660996,0.12150316585815625,-0.11306690286610865,-0.13283037726352143,-5.451582004765413e-05
2025,12,loop_only,APLD,190,-0.0410498821914701,-0.05407703420492671,0.10625576477742661,-0.470652496862733,-0.1512888054163728,-0.0001984505595180757
2025,12,loop_only,ASTS,190,-0.017099243481867643,-0.022615480310295255,0.11109995127714598,-0.15110360934075567,-0.12722033744302486,-6.661747474428116e-05
2025,12,loop_only,CIFR,190,-0.011803022701180721,-0.015624308250045349,0.11508097483646762,-0.08014780614660329,-0.14228839290079653,-3.6601141517283085e-05
2025,12,loop_only,HIMS,190,0.005917079135261849,0.007855481962468769,0.11234424197583823,0.12497805706076129,-0.11136155846007323,5.571652811152493e-05
2025,12,loop_only,IONQ,190,-0.0016885997040250178,-0.002238999182324397,0.11844211316946253,0.03929896931674498,-0.1292966513376862,1.8470845124036285e-05
2025,12,loop_only,IREN,190,-0.02770076921480258,-0.03657287259246633,0.11046460370734298,-0.28276167567595445,-0.13611642089560327,-0.00012394903352051011
2025,12,loop_only,MARA,190,-0.018078695946320056,-0.023907042903961395,0.10989336918929325,-0.16592015690616424,-0.1286634068190431,-7.235525816997846e-05
2025,12,loop_only,MP,190,-0.001381323451818739,-0.0018316580754899059,0.1157777779428597,0.04101873138460732,-0.12777780568146546,1.884546656247967e-05
2025,12,loop_only,MRNA,190,-0.007616296235862907,-0.01008903955667284,0.12081262102057873,-0.024524009082973246,-0.13841282023718982,-1.1757181806533639e-05
2025,12,loop_only,MSTR,190,-0.012765599542930217,-0.01689585012240724,0.11411786851846381,-0.09303223335444429,-0.13836572604761066,-4.212952449968855e-05
2025,12,loop_only,NVTS,190,0.012369130615546453,0.016438389781786356,0.10892737849873925,0.20336408488673718,-0.11344176025400898,8.79044311409022e-05
2025,12,loop_only,QBTS,190,0.044327337261003574,0.05921309638643435,0.11135543066798911,0.5713501935489057,-0.10730653539640633,0.0002524720113685608
2025,12,loop_only,RGTI,190,0.02536284369073405,0.033777559263558965,0.11113329452458125,0.35367439915241444,-0.09708895677504248,0.00015597222685241897
2025,12,loop_only,RIOT,190,-0.013473595942038896,-0.01783083892649817,0.1143238727835775,-0.10104949328529866,-0.1362238992339948,-4.584273577457719e-05
2025,12,loop_only,RIVN,190,-0.01349668108625146,-0.017861321768412597,0.1166466597635892,-0.09703545978833066,-0.1360936915055747,-4.4916120091003366e-05
2025,12,loop_only,SMCI,190,0.0036727187317213694,0.004874101415424548,0.11644546322027412,0.09907049914601505,-0.12845454439436887,4.5779008589371005e-05
2025,12,loop_only,SOFI,190,-0.010711813274691728,-0.014182356836847654,0.11222202958069634,-0.0719361589397013,-0.13241637314989907,-3.203500697005092e-05
2025,12,loop_only,WULF,190,0.0038227806922539465,0.005073374059572977,0.11304569772515347,0.1003958398171646,-0.1276026880376091,4.503697524140522e-05
2025,12,loop_current_regime,AAL,190,-0.12038062969469088,-0.15643744582612462,0.12212227606899333,-1.3321908197004353,-0.1826287634447601,-0.0006455959327779169
2025,12,loop_current_regime,AAOI,190,-0.10665243827784743,-0.13893158725869303,0.1273840502861286,-1.1112662462013656,-0.1796465051999947,-0.0005617364896325083
2025,12,loop_current_regime,APLD,190,-0.14796909267796143,-0.19134769026638465,0.11350830081412587,-1.814089081139206,-0.20014799229158609,-0.0008171197187522626
2025,12,loop_current_regime,ASTS,190,-0.10714660876113191,-0.13956327396828228,0.11711594866634645,-1.2252069940592745,-0.16897974401272442,-0.0005694098389757722
2025,12,loop_current_regime,CIFR,190,-0.10165983744151208,-0.13254327238384445,0.12117049034649731,-1.113298384215115,-0.17023056236770195,-0.0005353131393543994
2025,12,loop_current_regime,HIMS,190,-0.09283730431338733,-0.12122601860206617,0.12115267448760395,-1.0065523508081655,-0.16051725897417035,-0.00048391471949283413
2025,12,loop_current_regime,IONQ,190,-0.08949431494532578,-0.1169283317335581,0.12563848987862408,-0.9275881915618743,-0.16354442045106,-0.00046246341117888
2025,12,loop_current_regime,IREN,190,-0.11776988600487281,-0.1531151078875509,0.11735130927215386,-1.357641187571548,-0.18289629774977612,-0.0006322260749338212
2025,12,loop_current_regime,MARA,190,-0.1145929452533263,-0.14906791925893648,0.11834176019372435,-1.3050327129182018,-0.17857639832122696,-0.0006128566204648069
2025,12,loop_current_regime,MP,190,-0.10438050806372368,-0.13602596473432382,0.12167436478177526,-1.1414095584678936,-0.17445242427826968,-0.0005511122340572521
2025,12,loop_current_regime,MRNA,190,-0.10591834224694074,-0.13799299875652382,0.1287251611921675,-1.0897757452036825,-0.18313744005543975,-0.000556672851050232
2025,12,loop_current_regime,MSTR,190,-0.10582330135740903,-0.13787146453818533,0.12127995789116765,-1.1628924457036671,-0.17466873844955877,-0.0005596648684400703
2025,12,loop_current_regime,NVTS,190,-0.08371215000669041,-0.10948272968571715,0.11603236656620655,-0.9417496508780316,-0.1555492093864005,-0.0004336247646995111
2025,12,loop_current_regime,QBTS,190,-0.06955832353502056,-0.09119243797475352,0.11961140156433216,-0.7403362376142758,-0.1512962545483998,-0.0003513994246424919
2025,12,loop_current_regime,RGTI,190,-0.08834005751632301,-0.11544324198159261,0.11782092150641905,-0.982701176143744,-0.1574798726227089,-0.0004594553894392767
2025,12,loop_current_regime,RIOT,190,-0.12338862130136308,-0.16026131920449427,0.12217126169855108,-1.368827744717995,-0.1925908168047018,-0.0006636167167467446
2025,12,loop_current_regime,RIVN,190,-0.11428716141815864,-0.1486781228342009,0.12314396096093973,-1.2458887495696893,-0.18053048767696123,-0.0006088241092804913
2025,12,loop_current_regime,SMCI,190,-0.10318640965732695,-0.1344978405554339,0.12430307640336913,-1.1003708426182581,-0.17933501237281124,-0.0005427757179445119
2025,12,loop_current_regime,SOFI,190,-0.11445406681770431,-0.1488908901071062,0.11972322043304738,-1.2869410381074144,-0.17997889688133129,-0.0006114155777367809
2025,12,loop_current_regime,WULF,190,-0.08718002179277973,-0.11395009945800283,0.11731217662734322,-0.9731601507992322,-0.16170508414147766,-0.000453029902766871
